company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Champ Transportation,2020-01-01,https://sites.google.com/champtransportation.com/champ,"North Salt Lake, Utah, United States","Transportation, Travel and Tourism","Freight Service, Transportation, Travel Agency",2119634.0,Champ Transportation offers Class A CDL truck drivers for the contracted FedEx team. Their fleet consists of over 30 Freightliner trucks. They continuously monitor and update equipment on the road to get home safely. They want their drivers to be safe on the road and return safely home to their families.,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,74543,False,False
Mindspun,2019-01-01,https://www.mindspun.com,"Las Vegas, Nevada, United States","Science and Engineering, Software","Developer Tools, Software, Software Engineering, Web Development",1696471.0,"Mindspun offers a service to boost the performance of WordPress sites by deploying them from a global edge network, optimizing the pages and assets, and managing the core web vitals. The company utilizes concepts that are currently employed by the world’s largest, and fastest, sites. It embraces the JAMstack philosophy while recognizing that not everyone has the time or money to migrate their entire website to a more modern architecture. Mindspun was founded in 2019 and is based in Las Vegas, Nevada.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,66595,False,False
Kokotree,2021-01-01,https://kokotree.com,"Wilmington, Delaware, United States","Content and Publishing, Education, Media and Entertainment, Software, Video","E-Learning, Education, Edutainment, Video Streaming",892628.0,"Kokotree is a new early childhood development platform and educational streaming service. The company aims to help kids develop a lifelong love for learning. Kokotree was founded in 2021 and is based in Wilmington, Delaware.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,3,2021,49703,False,False
Yaass,2019-01-01,https://www.yaass.com/,"Chicago, Illinois, United States","Community and Lifestyle, Internet Services","Dating, Internet, Social Network",110734.0,,11-50,1.0,Seed,2022-01-21,250000.0,Pre-Seed,250000.0,1.0,11-50,Private,,,0.0,2.0,,0,5,2019,14478,False,False
SuperFocus,2020-01-01,https://superfocus.ai,"Ann Arbor, Michigan, United States","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Computer, Information Technology, Internet, Software",205112.0,"SuperFocus develops LLM AIs utilizing private data for hallucination prevention in memory modules. The company develops AIs that use the Large Language Model (LLM) for language capability without training data. They connected the LLM to a memory module based on user-defined ground truth information, achieving 100% accuracy in answering college textbook questions.",1-10,1.0,Seed,2023-06-23,0.0,Seed,0.0,,1-10,Private,,,,,,2,4,2020,22524,False,False
Fortreum,2021-07-01,https://www.fortreum.com,"Ashburn, Virginia, United States","Information Technology, Privacy and Security","Cloud Security, Cyber Security",226965.0,"Fortreum is a premier cloud and cybersecurity service provider. Our focus is to simplify the cybersecurity complexities companies must meet to enable their business outcomes- to reducing risk, costs and improving viability for Public Sector business. This includes advisory and/or assessment services for FedRAMP, DoD SRG, FISMA, NIST SP 800/171, CMMC, cybersecurity program development and technical penetration testing services.",51-100,0.0,,,0.0,,0.0,2.0,51-100,Private,,,0.0,0.0,,6,2,2021,24188,False,False
VRIZE,2020-01-01,https://www.vrize.com,"Tampa, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Consulting",193664.0,"VRIZE team is made up of a collection of seasoned professionals who aim for exceptional outcomes. The company offers a range of services, such as platform engineering, advanced analytics, and artificial intelligence, with the goal of giving its clients a frictionless digital engineering experience.",251-500,0.0,,,0.0,,0.0,,251-500,Private,,,,,,6,4,2020,21660,False,False
Folding Scooter Store,2020-01-01,https://foldingscooterstore.com,"Coral Gables, Florida, United States","Commerce and Shopping, Transportation","Automotive, E-Commerce, Shopping",344340.0,,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2020,31190,False,False
Toccoa Capital Management,2020-01-01,https://toccoacapital.com,"Peachtree City, Georgia, United States","Financial Services, Lending and Investments, Other, Real Estate","Commercial, Real Estate Investment, Residential, Venture Capital",2325471.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,79403,False,False
CryptoFi,2020-01-01,https://www.cryptofi.tech/,"Dover, Delaware, United States","Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Finance, Financial Services, FinTech",168370.0,"CryptoFi is a Crypto as a Service (CaaS) company that builds innovative technology solutions to expand access to digital assets. By leveraging their portable technical infrastructure, they serve those that benefit from a seamless, secure and scalable digital asset platform.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,0.0,0.0,,6,4,2020,19738,False,False
Space Bridge Analytics,2021-01-01,https://www.spacebridgeanalytics.com,"Forney, Texas, United States","Data and Analytics, Education, Information Technology, Professional Services","Business Intelligence, Consulting, Information Technology, Training",2577690.0,"Space Bridge Analytics provides data-driven solutions that help companies translate their data into meaningful information to solve complex business problems. They provide specialized consulting in power BI, SQL BI, and data engineering solutions to meet business requirements. They respond to customer inquiries by phone, contact form, and email.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,83225,False,False
Herron Real Estate,2020-01-01,https://www.movetojacksonville.com,"Orange Park, Florida, United States",Real Estate,"Property Management, Real Estate, Residential",1709215.0,,51-100,0.0,,,0.0,,0.0,1.0,51-100,Private,,,,,,6,4,2020,66353,False,False
Birdie,2021-01-01,http://www.sendbirdie.com/,"Los Angeles, California, United States",Commerce and Shopping,E-Commerce,219870.0,,1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,,,,6,3,2021,23666,False,False
Bronson Equity,2020-01-01,https://bronsonequity.com,"Pasadena, California, United States","Education, Financial Services, Real Estate","Education, Real Estate, Real Estate Investment, Residential",1839724.0,,51-100,0.0,,,0.0,,0.0,1.0,51-100,Private,,,,,,6,4,2020,68443,False,False
Can It Be Automated?,2020-01-01,https://canitbeautomated.com,"Yuba City, California, United States","Professional Services, Sales and Marketing","Consulting, Marketing",1405202.0,"CIBA is a full service automations consultancy that helps to streamline a day to day work and eliminate unnecessary manual tasks. CIBA offers services that includes Zapier automation, API/Webhook automation, CRM setup and workflow creation, operations consulting. The company was founded in 2020 and is based in Yuba City, California.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,61389,False,False
CoachablePros,2019-01-01,https://coachablepros.com/,"Keller, Texas, United States","Apps, Information Technology, Software","Apps, Information Technology, Software",1199222.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,56314,False,False
Decision Support Group,2019-01-01,https://decisionsupportgroup.com/,"Rockville, Maryland, United States",Transportation,Transportation,760934.0,Decision Support Group provides the real-world problem solving that organizations need to provide great service at an acceptable cost.,1-10,0.0,M&A,,0.0,,0.0,,1-10,Private,,,,,,5,5,2019,46184,False,False
Gravity Well,2020-01-01,https://gravitywell.games,"Los Angeles, California, United States","Gaming, Information Technology","Gaming, Information Technology, Online Games, Video Games",262624.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,26561,False,False
ANONM,2019-01-01,https://www.anonmstudio.com,"San Diego, California, United States","Advertising, Design, Media and Entertainment, Sales and Marketing","Advertising, Digital Media, Graphic Design, Marketing",1057305.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,52881,False,False
Logo Infinix | LogoInfinix,2019-01-01,https://www.logoinfinix.com/,"Los Angeles, California, United States","Advertising, Design, Media and Entertainment, Sales and Marketing, Video","Advertising, Marketing, Product Design, Video, Web Design",1577132.0,"If you are looking for the high-quality logo designing, video animation, or any digital marketing services, then Logo Infinix should be your next stop to get the perfect solution for your query. Our team of professional struggles round the clock to serve the excellent quality services for the clients to uphold their trust that they put in us. If you want to avail our services, then collaborate with us today and get the quotations to form one of our experts. - LogoInfinix",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,5,2019,64250,False,False
LifterRun,2021-01-07,https://www.lifterrun.com,"New York, New York, United States",Commerce and Shopping,Marketplace,2753817.0,LifterRun is a two-sided marketplace designed to expand access to affordable personal training for New Yorkers.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,0.0,1.0,,6,3,2021,85215,False,False
SunSource,2021-01-01,https://www.sunsourceus.com,"Sacramento, California, United States","Energy, Natural Resources, Sustainability","Energy, Renewable Energy, Solar",1868156.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,69405,False,False
Local Mortgage,2019-01-01,http://www.localmortgage.com,"Memphis, Tennessee, United States","Financial Services, Real Estate","Financial Services, Real Estate, Rental Property",1440863.0,"Local Mortgage provides mortgage, purchase, refinance, lowrates, conforming loans, FHA loans, VA loans, and USDA loan services. They also offer purchase, refinance, real estate, residential property, and commercial property services.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,60630,False,False
"Hyprlift, Inc.",2019-04-03,https://hyprlift.com/,"Santa Clara, California, United States","Manufacturing, Real Estate","Building Maintenance, Machinery Manufacturing, Smart Building",65679.0,"At Hyprlift, we're building a next-generation elevator for the next generation of tall buildings.",1-10,3.0,Seed,2023-12-26,0.0,Seed,1255857.0,1.0,1-10,Private,,,,,,1,4,2019,8941,False,False
Prime Partners Engineering,2019-11-01,https://primepartnersengineering.com,"Washington, District of Columbia, United States","Administrative Services, Other, Professional Services, Real Estate","Construction, Consulting, Project Management",945770.0,,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2019,50999,False,False
R2M Advisory,2022-01-01,https://www.r2madvisory.com,"Greensboro, Georgia, United States","Other, Professional Services","Business Development, Consulting, Professional Services",1569338.0,"R2M Advisory enables enterprise software companies in accelerating their growth by broadening their market reach. R2M Advisory is headquartered in Greensboro, Georgia and was founded in 2022.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2022,64409,False,False
Concord Adams,2019-01-01,http://concordadams.com/,"Fayetteville, Arkansas, United States","Advertising, Internet Services, Sales and Marketing","Advertising, Marketing, SEO",2948623.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,88365,False,False
DeliverIT USA,2019-07-11,http://deliveritus.com,"Atlanta, Georgia, United States","Administrative Services, Food and Beverage, Software","Delivery, Developer Tools, Restaurants, Software",2821595.0,"DeliverIT offers a comprehensive solution to integrate multiple delivery platforms in a single place. This saves you time and eliminates the possibility of missing orders when it gets busy. As a result, you end up with happier customers.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2019,87262,False,False
Rancho Santa Fe Bio,2019-01-01,https://rsfbio.com,"Rancho Santa Fe, California, United States","Biotechnology, Design, Health Care, Science and Engineering","Biotechnology, Health Care, Product Design, Therapeutics",205501.0,Rancho Santa Fe Bio is a cardiovascular therapeutics company that develops cardiovascular drugs intended to slow the progression of calcification in patients with aortic valve stenosis.,11-50,2.0,Seed,2023-06-09,0.0,Pre-Seed,0.0,1.0,11-50,Private,,,0,3,,2,5,2019,22546,False,False
Infiemail,2020-01-01,https://www.infiemail.com,"Trenton, New Jersey, United States","Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software","Email, Email Marketing, Information Technology, Software",685845.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,44047,False,False
Brief,2020-01-01,https://thinkbrief.com/,"Los Angeles, California, United States",Commerce and Shopping,Marketplace,327316.0,"Brief is a multi-role asynchronous online arbitration marketplace allowing companies and individuals to resolve monetary disputes without requiring lawyers or in-person hearings. Due to the high cost of litigation, many monetary claims are either not pursued or left unresolved and uncollected, leaving money on the table that otherwise would not be collected or negotiated. Brief, with its technology and process, revives these claims using binding arbitration as a settlement strategy which circumvents time-consuming traditional (and costly) collection efforts. Arbitration matters with Brief are resolved 80% quicker, from an average of 12 months to just 45 days.",1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,0.0,1.0,,6,4,2020,30280,False,False
Algorizin,2020-07-29,https://algorizin.com/,"New York, New York, United States","Education, Information Technology, Professional Services, Science and Engineering, Software","Career Planning, EdTech, Information Technology, Software, STEM Education",228227.0,Helping immigrants in the US land their first jobs. Learn hands-on software skills by working with industry experts.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,24293,False,False
DTP Thermoelectrics,2020-01-01,https://dtpthermoelectrics.com/,"Altadena, California, United States",Professional Services,Environmental Consulting,1271240.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,6.0,0.0,Refrigeration Or Cooling,6,4,2020,57639,False,False
Trans Zygos Logistics,2020-01-01,https://tzl-usa.com,"Westbury, New York, United States",Transportation,"Freight Service, Logistics, Transportation",2668292.0,"Trans Zygos Logistics provides flatbed and heavy specialized transportation services. Their services include open-top trailers, Mexico intermodal, full truckload, drop trailers, truckload, LTL, temperature-controlled reefer trailers, and oversized, over-dimensional truck loads. They address inquiries through phone calls and emails.",101-250,0.0,,,0.0,,0.0,,101-250,Private,,,,,,6,4,2020,84909,False,False
America's Hotline Directory,2019-01-01,https://www.4help.org,"Hudson, New Hampshire, United States","Hardware, Other, Professional Services, Social Impact","Customer Service, Non Profit, Telecommunications",2692549.0,"America's Hotline Directory offers helpline service from scratch people. They built it to help the hotline industry develop self-oversight. They also offer adding photos, videos, brochures, and other content to their agency services.",51-100,0.0,,,0.0,,0.0,1.0,51-100,Private,,,,,,6,5,2019,84541,False,False
ESICloud,2019-01-01,http://esicloud.com,"Los Angeles, California, United States","Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Data Services, Cyber Security, Data Storage",2162527.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,73877,False,False
