company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Student Connect,2019-01-01,https://lawstudentconnect.com/,"Boise, Idaho, United States","Administrative Services, Professional Services","Employment, Human Resources, Legal, Legal Tech",144249.0,"Law Student Connect is an online platform that brings law students and legal practitioners together to supplement practical legal education, reduce the cost of routine legal services, and expand law student placement opportunities. Law Student Connect supplies answers to the questions that matter most to legal employers. Through its Marketplace, law students prove their skills and value through short-term, project-based internships and performance reviews from practicing attorneys. And Law Student Connect is the only online community that connects law students across the nation with their peers, professors, lawyers, and judges to support legal education and expand law student placement opportunities. The company was founded in 2019 and is based in Boise, Idaho.",1-10,1.0,Seed,2019-06-06,500000.0,Seed,500000.0,2.0,1-10,Private,,,,,,0,2019,17810,False,False
Irazu Oncology,2022-01-01,http://www.irazuoncology.com,"Baltimore, Maryland, United States","Biotechnology, Health Care, Science and Engineering","Biopharma, Biotechnology, Life Science, Pharmaceutical",76080.0,Our mission is to develop a superior vaccine platform to improve clinical outcomes for cancer patients,1-10,1.0,,2023-12-14,2601180.0,Debt Financing,2601180.0,1.0,1-10,Private,,,0.0,0.0,,1,2022,10329,False,False
First Source Lending,2018-01-01,https://firstsourcelending.org/,"Fort Lauderdale, Florida, United States","Financial Services, Lending and Investments, Real Estate","Credit, Financial Services, Real Estate",1782813.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,67939,False,False
Finch,2020-01-01,https://www.legalfinch.co,"Boston, Massachusetts, United States",Professional Services,Legal,2562910.0,"Finch is a legal marketplace for small businesses, entrepreneurs, and busy people. Finch platform matches and connects users with experienced attorneys for virtual advice or projects for up to two hours customers enjoy fast, affordable service while attorneys create a second income stream.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,81873,False,False
"BitPlus Holdings, Ltd.",2018-01-23,http://bitplus.org,"Michigan, North Dakota, United States","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software","Banking, Bitcoin, Financial Exchanges",90100.0,"BitPlus Holdings, LTD (BPHL) is a financial technology management company focused on wealth creation through its subsidiaries; Bitplus Hosting (BPH), Global Northern Resources LLC (GNR), BitPlus Technologies LLC (BPT), Bitplus Capital LLC (BPC). BitPlus Hosting (BPH) BPH will offer the only known Single-Phase Liquid Immersion Cooling (SLIC) hosting solution available in North America providing its Cryptomining and Data Center customers a competitive advantage through increased equipment efficiencies. The use of immersion cooling, over time we believe it will render current air-cooled technology obsolete.  In providing greater efficiency to our hosted clients BPH experiences superior client retention and will establish itself as an industry leader in both quality and quantity of clients served, both in Cryptomining and Data. In preparation to capitalize on our power build out, BitPlus Hosting intends to acquire current cryptomining hosting and mining companies and convert them to immersion at their facilities or consolidate their operations to our facilities with extremely low electricity costs.  An added benefit to BPH is that profitability in our own mining operations will be superior to traditional mining and hosting companies, see “BitPlus Capital” below.  Our internal mining expertise is magnified with superior low-cost electricity rates. We produce our own electricity, with our own equipment, from surplus natural gas at rates under $0.03/kWh by way of our owned company, Global Northern Resources, LLC. Global Northern Resources, LLC (GNR)  GNR produces large volume, low cost electricity on owned real estate. We then lease space and land, in conjunction with long-term high margin electricity contracts to clients with large megawatt power needs including; Data processing, Data storage, High-tech manufacturing (I.e. plastics & electronics), Gaming, Cryptomining, Vertical Farming, Logistics & Distribution, Warehousing and Multi-use Land Development projects. Low cost power acquisition is a cornerstone for GNR’s immediate and long-term growth.  Our short-term objective will be to produce 250 MW of electricity by year-end 2021, 500 MW of electricity by year-end 2022 and 1,000MW of electricity by year-end 2024.  We currently have 40MW completed in Colorado Springs, CO with an additional 50MW ready for build out.  In Grand Forks, ND we have 30MW completed with an additional 100MW site identified and in Sarnia, Ontario, Canada we have 58MW available for acquisition.  Our 250MW objective in 2021 will be realized upon meeting our funding objectives.   BitPlus Technologies (BPT) BPT is developing a new, disruptive technology for cryptomining.  Our team of computer scientists have vast experience developing the microchips currently used in the most efficient miners available today.  Our goal is to manufacture a miner specifically designed for immersion cooling.  Once completed and in production our miners will use less electricity and produce the highest possible hashrate currently available in cryptomining.   BitPlus Capital (BPC)   BitPlus Holdings, Ltd (BPHL) also mines cryptocurrency for its own portfolio through our investment firm BitPlus Capital (BPC).  The goal of BitPlus Capital is to generate coins, at institutional volume, below market prices greatly enhancing profitability prior to the management of mined coins. BPC has consistently demonstrated an expertise to generate digital currency far below retail market cost.  Collectively, BPHL encompasses electric power supply and real estate through Global Northern Resources, mining and data hosting through BitPlus Hosting, equipment manufacturing through BitPlus Technologies, and portfolio management through BitPlus Capital.  BPHL in conjunction with BPC, BPH and BPT has as its objective to launch a successful public company while controlling in excess of 10% of Bitcoin hashrate.",1-10,1.0,Seed,2018-04-27,406957.0,Seed,406957.0,4.0,1-10,Private,,,,,,0,2018,12106,False,False
Meridian Adhesives Group,2018-01-01,https://www.meridianadhesives.com/,"New York, New York, United States","Manufacturing, Other","Industrial, Manufacturing, Service Industry",42438.0,"Meridian Adhesives Group is a leading manufacturer of high-value adhesive technologies. With a broad portfolio of dynamic solutions, Meridian serves the electronics, infrastructure, flooring, packaging, and product assembly markets. The group’s operations are located in the Americas and EMEA, with a multitude of sales/service offices worldwide that are positioned to serve Meridian’s global customer base.",501-1000,1.0,M&A,2018-06-14,48275141.0,Venture - Series Unknown,48275141.0,1.0,501-1000,Private,,,,,,0,2018,5428,False,False
Tangram Flex,2018-01-01,https://www.tangramflex.com/,"Dayton, Ohio, United States","Hardware, Information Technology, Privacy and Security, Science and Engineering, Software","Cyber Security, Embedded Systems, Information Technology, SaaS",34276.0,"Tangram Flex develops AI-based software development tools to serve the defense, automotive, aerospace, and industrial system industries. It allows engineers to reconfigure existing systems and reuse components across different systems by automating integration workflows and managing distributed component lifecycles.",51-100,2.0,,2023-09-14,2000000.0,Venture - Series Unknown,6500000.0,1.0,51-100,Private,,,0.0,6.0,,1,2018,4009,False,False
FeMMA,2022-01-01,https://www.realfemma.com/,"Cambridge, Massachusetts, United States","Community and Lifestyle, Information Technology, Internet Services, Sports","Fitness, Information Technology, Internet, Social",419975.0,,1-10,1.0,Seed,2024-01-01,,Seed,,,1-10,Private,,,,,,2,2022,34739,False,False
Odeon,2018-04-01,https://odeon.tv/,"Los Angeles, California, United States",Internet Services,Internet,885303.0,,1-10,,,,,,,2.0,1-10,Private,,,0.0,1.0,,6,2018,49521,False,False
Signature Dental Care,2018-01-01,https://signaturedentalcare.net,"Hickory Hills, Illinois, United States",Health Care,"Dental, Health Care, Medical",1274476.0,"Signature Dental Care provides services such as dentures, dental implants, dental veneers, dental emergency, Invisalign, same-day crowns, and wisdom teeth removal. They can be reached by phone and email.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,57561,False,False
Capital Boutiq,2018-01-01,https://www.capitalboutiq.com,"Dallas, Texas, United States","Financial Services, Real Estate","Asset Management, Commercial Real Estate, Real Estate Investment",1188282.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,55247,False,False
Anima Iris,2019-01-01,https://animairis.com,"Philadelphia, Pennsylvania, United States","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Manufacturing","Consumer Goods, E-Commerce, Fashion, Manufacturing, Retail",263083.0,"Anima Iris is a high fashion brand that specializes in the manufacturing of women's designer handbags and accessories. The company offers a variety of products including handbags, baby bags, and other accessories. The handbags are colorful and vibrant, handmade in Africa using leathers from Italy. The baby bags are mini versions of the Anima Iris Handbag Styles and are designed to safeguard AirPods. The company also offers free shipping to the US and easy returns.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,26591,False,False
Overlay Foundation,2021-01-01,https://overlay.market,"Pacific Palisades, California, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, FinTech",39447.0,,1-10,3.0,Seed,2023-02-02,,Seed,2215000.0,1.0,1-10,Private,,,,,,1,2021,4911,False,False
Lanyapp,2020-08-18,http://www.lanyapp.io,"Portland, Oregon, United States","Apps, Data and Analytics, Software","Analytics, Consumer Applications, Consumer Software",2400817.0,Consumer data platform,1-10,,,,,,,3.0,1-10,Private,,,,,,6,2020,79728,False,False
Mining Disrupt,2019-01-01,https://miningdisrupt.com,"Miami, Florida, United States","Blockchain and Cryptocurrency, Events, Financial Services, Media and Entertainment, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Event Management, Events",503299.0,"Mining Disrupt is a premier digital asset summit that unites businesses, brands, and disrupters in blockchain minting and mining worldwide. It expanded to the globally recognized Brand and Conference / Expo dedicated to Bitcoin, Bitcoin Mining Industry, including Energy, Services, B2B, Pools, and much more. Mining Disrupt was founded in 2019 and is located in Miami, Florida.",251-500,,,,,,,,251-500,Private,,,,,,6,2019,38026,False,False
BRANWYN,2019-01-01,https://branwyn.com,"Bend, Oregon, United States","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","E-Commerce, Fashion, Retail, Women's",444574.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,35770,False,False
Norris Management,2020-01-01,https://norrismgmt.com/,"Casa Grande, Arizona, United States",Real Estate,"Property Development, Property Management, Real Estate, Rental Property",2586510.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,83093,False,False
Wintelltech,2018-01-01,http://wintelltech.com,"Houston, Texas, United States","Design, Sales and Marketing, Software","Digital Marketing, Software, UX Design, Web Development",849988.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,48608,False,False
Honest Game,2019-01-01,https://honestgame.com/,"Chicago, Illinois, United States","Education, Information Technology, Software","EdTech, Education, Information Technology, Software, Tutoring",274615.0,"Honest Game is a technology solution for high school student-athletes, school counselors, and college coaches that delivers transparency via authenticated academic data to demystify and deliver equal access to academic eligibility and admissibility, credit recovery plans to achieve college admission, and educational tutoring to achieve academic success.",11-50,,,,,,,,11-50,Private,,,0.0,3.0,,6,2019,27308,False,False
Creator Studio AI,2020-10-26,https://creatorstudioai.com,"Los Angeles, California, United States","Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Content, Content Creators, Content Marketing, Digital Marketing, Mobile Advertising, SaaS, Social Media, Social Media Marketing, Software",103130.0,"Our content analysis tool leverages the power of AI to help content creators understand their audience and optimize their content strategy for greater engagement and growth. By analyzing the content engagement patterns of a creator's most engaged followers, our tool categorizes the content and provides data-driven insights and recommendations on what type of content to produce to increase engagement and following.",1-10,2.0,Seed,2021-11-15,92000.0,Pre-Seed,290000.0,2.0,1-10,Private,,,,,,0,2020,13631,False,False
P&THE Manufacturing,2020-01-01,https://www.pthemanufacturing.com/,"Canton, Michigan, United States","Manufacturing, Science and Engineering","Industrial, Industrial Engineering, Industrial Manufacturing, Manufacturing",143706.0,P&THE Manufacturing is a provider of fully-integrated manufacturing services. It manages units that serve lower-middle-market industries to help clients avail of consistent-quality engineering goods.,1-10,1.0,Seed,2023-07-06,60000.0,Seed,60000.0,,1-10,Private,,,,,,0,2020,17768,False,False
Growth Lab SEO,2020-04-01,https://growthlabseo.com,"Leawood, Kansas, United States","Advertising, Design, Sales and Marketing, Software","Advertising, Marketing, Web Design, Web Development",898826.0,"Law Firm digital marketing agency that drives case acquisition and revenue growth for law firms through innovative law firm SEO, PPC, LSA and website solutions.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,49852,False,False
Cash Now Homes,2018-01-01,https://www.cnhnational.com,"Mesa, Arizona, United States",Real Estate,"Property Management, Real Estate, Residential",2035303.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,72801,False,False
Vocinity,2018-02-23,https://www.vocinity.com,"Reston, Virginia, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Natural Language Processing",101210.0,"Vocinity is an interactive voice response system that provides customer support options. The company's software includes video bots, voice bots, live chat, and smart signs. The company's industrial sector includes small business programs, enterprise b2b, commerce, and third-party providers.",11-50,5.0,Seed,2020-07-01,245500.0,Pre-Seed,465500.0,2.0,11-50,Private,,,0.0,1.0,,0,2018,13433,False,False
Commercial Business Unlimited,2019-01-01,https://commercialbusinessunlimited.com/,"Pleasanton, California, United States","Financial Services, Lending and Investments, Real Estate","Property Management, Real Estate, Venture Capital",2860757.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,86690,False,False
Innov8MD,2018-11-01,https://www.Innov8MD.org,"Baltimore, Maryland, United States","Community and Lifestyle, Education, Social Impact","Higher Education, Social Entrepreneurship",1326596.0,"Innov8MD is a nonprofit organization dedicated to supporting student entrepreneurs across the state of Maryland. We are a coalition of college and university entrepreneurship centers from over 15 Maryland institutions   coming together to ensure that all students have the support and resources they need to build successful startups, small businesses, and nonprofits.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,59745,False,False
Unbiased Consulting,2020-01-01,https://www.unbiasedconsulting.com,"Chicago, Illinois, United States",Professional Services,"Business Development, Consulting, Management Consulting",1943442.0,"Unbiased Consulting implements what they recommend, using senior consultants having decades of practical in house and big consultancy work experience. If you want any information please contact them through email or phone call.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,71226,False,False
Digitizing,2021-01-01,https://www.digitizing.io/,"New York, New York, United States","Blockchain and Cryptocurrency, Design, Information Technology, Other, Professional Services","Blockchain, Consulting, Graphic Design, Information Technology",1403016.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2021,59793,False,False
Model FA,2019-01-01,https://www.modelfa.com/,"Austin, Texas, United States","Advertising, Financial Services, Professional Services, Sales and Marketing","Advertising, Consulting, Digital Marketing, Financial Services",921583.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,50395,False,False
Real Estate Agent Pagosa Springs,2019-01-01,https://realestatepagosasprings.com/,"Pagosa Springs, Colorado, United States",Real Estate,Real Estate,2977261.0,"Real Estate Agent Pagosa Springs are committed to helping clients buy and sell homes throughout Pagosa Springs & Durango, using an effective approach that garners the best results. Equipped with the proven marketing strategies to get your home sold in as little time as possible, our Colorado realtors not only help buyers locate the perfect area in which to settle, but we also give detailed statistics on some of the most popular areas in Colorado. Founded by Tony and Christine Kaufman, Real Estate Agent Pagosa Springs’s mission is to provide a quick turnaround time no matter what you’re looking for, whether you are in need of an investment property, or if you’re trying to sell your home in Pagosa Springs. With a vast library of homes for sale in Pagosa Springs, you can search through our all-in-one online database for your dream house.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,87997,False,False
GetDandy,2020-06-09,https://getdandy.com,"Irvine, California, United States",Software,Software,186995.0,"Dandy is the first ever reputation automation software - using AI and Machine Learning to score online reviews, determining their legitimacy, and programmatically disputing them for their customers. Dandy helps over 4,000 businesses across the world in a variety of categories from hospitality to medical turn their online reputation Dandy using proprietary technology.  How Does Dandy Work? Watch this video: https://vimeo.com/772153446 https://getdandy.com",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,21138,False,False
"NoBid, Inc.",2019-04-01,http://www.nobid.io,"New York, New York, United States",Internet Services,Internet,405419.0,"NoBid is a programmatic technology platform that focuses on the bottom of the stack to drive pressure on unfilled and undervalued inventory to increase yield, fill rates, CPMs, and revenue. This product was born from the realization that there are limits to monetizing the top of the ad stack, and the discovery of new techniques to boost revenue at the bottom of the stack. NoBid provides a simple way to increase revenue via a no-risk model and a simple integration approach.",1-10,,,,,,,3.0,1-10,Private,,,,,,6,2019,34104,False,False
Cartographr,2021-06-17,https://www.cartographr.com,"New York, New York, United States",Software,Software,2970986.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,88085,False,False
Bold Estimation,2019-01-01,http://boldestimation.com,"Oklahoma City, Oklahoma, United States","Design, Financial Services, Internet Services, Professional Services, Sales and Marketing","Accounting, Marketing, SEO, Social Media Management, Web Design",1223007.0,,51-100,,,,,,,,51-100,Private,,,,,,6,2019,57161,False,False
Motiv Solutions,2020-01-01,https://motivsolutions.com,"Miami, Florida, United States","Information Technology, Internet Services, Software, Transportation","Cloud Management, Logistics, SaaS, Software",324177.0,"Motive is the most important factor in creating brand value and desire. It drives the consumer experience and is one of the critical variables in determining whether a company succeeds or fails. Organizations all across the world know this and are investing billions of dollars in improving their content creation, management, and delivery processes. Almost every production parameters and process now spans many applications that must manage and share content with other applications and environments, thanks to marketing and IT departments hyper acquisition of software and SaaS solutions. The function is to support individuals and businesses in gaining better control and access to their content. Motivate provides superior business outcomes by delivering content logistic services, whether it's managing existing software, agreed, or starting from scratch with a composable philosophy.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,30098,False,False
The Deep Lab,2020-01-01,http://thedeeplab.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),1853797.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,69670,False,False
Corvus Link,2023-05-31,https://www.corvuslink.com,"Hillsboro, Oregon, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Internet Services, Manufacturing, Messaging and Telecommunications, Other, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Data Visualization, Product Management, Productivity Tools, Project Management, Software, Unified Communications, Virtual Workforce, Wood Processing",221363.0,"Corvus Link is an all-in-one solution for strategy execution and building resilient operating models.  Users can develop plans, build project portfolios, manage projects, manage action items and tasks, build dynamic dashboards, create resource centers, create diagrams, run continuous improvement events, conduct retrospectives, and communicate with each other in a single solution.  Our SaaS solution uses the transformative power of AI, automations, and integrations to help companies transform, optimize, and operate more efficiently with fewer applications.",1-10,1.0,Seed,2023-10-26,,Seed,,1.0,1-10,Private,,,,,,2,2023,23785,False,False
The Triplex PodCast,2022-05-11,https://www.thetriplexpodcast.com,"Los Angeles, California, United States","Media and Entertainment, Music and Audio",Podcast,3112013.0,Full Media and Entertainment Broadcasting,1-10,,,,,,,4.0,1-10,Private,,,,,,6,2022,90394,False,False
ProFysio Physical Therapy,2019-01-01,https://www.profysionj.com,"Monmouth Junction, New Jersey, United States","Health Care, Other","Health Care, Medical, Rehabilitation, Service Industry, Therapeutics",1555843.0,"ProFysio is a community-based physical rehabilitation approach. They started their business to provide actual comfort to people who suffer from movement-related diseases and pain daily. They believe that patients can return to an active, pain-free existence, and they base their therapeutic methodology on this idea. Physical therapy, sports rehabilitation, epat, graston technique, spine rehabilitation, vestibular and balance therapy, concussion therapy, cupping, hand therapy, telemedicine, and arthritis physical therapy are some of the services they provide.",11-50,,,,,,,,11-50,Private,,,,,,6,2019,63111,False,False
Trend Media,2018-03-08,https://trendmedia.xyz,"Austin, Texas, United States","Content and Publishing, Internet Services, Media and Entertainment","Media and Entertainment, News, Social Media, Social News",2595764.0,"Trendmedia.xyz is the most interesting and discussed news on the Internet right now. We analyze the largest media and social networks, ranking information on the time of appearance, topics and the degree of relevance.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,82938,False,False
Commandeer,2019-06-28,https://getcommandeer.com,"Claymont, Delaware, United States","Hardware, Information Technology, Internet Services, Software","Cloud Computing, Cloud Infrastructure, Cloud Management, Information Technology, Software",1177696.0,"Commandeer is a tool built by developers for developers that solves three things in the cloud. First, we are focused on the deployment of your IAC. Secondly, we enable you to ‘Test your Plumbing’. Lastly, Commandeer provides you the ability to easily view your data. (Manage AWS, Algolia, Slack, Twilio, SendGrid, Serverless, LocalStack, Ansible, Docker and more from your desktop)",1-10,,,,,,,2.0,1-10,Private,,,,,,6,2019,55460,False,False
River Rock Outfitter,2019-01-01,https://riverrockoutfitter.com,"Fredericksburg, Virginia, United States","Clothing and Apparel, Sports","Apparel, Outdoors",253308.0,"River Rock Outfitters provides apparel, gear, and guided outdoor experiences to customers interested in pursuing outdoor adventures.",11-50,1.0,,2023-06-15,5000.0,Grant,5000.0,,11-50,Private,,,,,,1,2019,25971,False,False
Pursuit,2021-01-01,https://www.pursuitoutside.com,"Denver, Colorado, United States","Sales and Marketing, Sports, Travel and Tourism","Marketing, Outdoors, Travel",369053.0,"Pursuit is an digital marketplace where urban workers can discover accommodation and guided outdoor adventures in natural settings. Pursuit is headquartered in Denver, Colorado and was founded in 2021.",1-10,1.0,,2022-03-22,,Venture - Series Unknown,,,1-10,Private,,,,,,3,2021,32417,False,False
Clever Lucy,2020-01-01,https://cleverlucy.com/,"Cincinnati, Ohio, United States","Design, Internet Services, Media and Entertainment, Sales and Marketing","Content, Email Marketing, Graphic Design, SEO, Web Design",935474.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,50753,False,False
Outsmartly,2020-01-01,https://www.outsmartly.com,"Palo Alto, California, United States","Data and Analytics, Software","A/B Testing, Analytics, Software",253249.0,,11-50,1.0,Seed,2022-01-01,,Seed,,4.0,11-50,Private,,,,,,2,2020,25967,False,False
Voltic,2022-01-01,https://volticshipping.com,"Boston, Massachusetts, United States","Energy, Science and Engineering, Sustainability, Transportation","Energy Management, Environmental Engineering, Logistics, Shipping",286625.0,Voltic is a solar-powered cargo ship that helps reduce greenhouse gas emissions in the shipping industry by replacing fuel with solar panels. It's ships are zero emission and 50-75% cheaper to operate than traditional ships.,1-10,1.0,,2022-08-22,,Venture - Series Unknown,,,1-10,Private,,,,,,3,2022,27972,False,False
Runtime Media,2018-01-01,https://www.runtime.tv/,"New York, New York, United States","Content and Publishing, Media and Entertainment","Content, Media and Entertainment, News",116358.0,Runtime Media is a media and entertainment company bringing movies and series content to audiences.,11-50,1.0,Seed,2022-12-08,168400.0,Seed,168400.0,,11-50,Private,,,0.0,2.0,,0,2018,15093,False,False
