company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Element Black,2018-01-01,https://www.element.black,"Virgin, Utah, United States","Blockchain and Cryptocurrency, Internet Services, Media and Entertainment, Music and Audio, Other, Software","Blockchain, Media and Entertainment, Metaverse, Music, Web3",78606.0,"Element Black offers Web3 music ecosystem services that combine music, social games, and NFTs. Pixel Infinity and Music Infinity are the company's current offerings, both of which incorporate a create-to-earn game mechanism to provide a rewarding experience. The game ecosystem is intended to encourage players to create and trade digital assets in the Metaverse, while also allowing for social interactions with global celebrities and Key Opinion Leaders (KOLs). Element Black's innovative services aim to revolutionize the music industry by providing new ways for both creators and fans to interact with music in a more interactive and immersive manner.",11-50,3.0,Seed,2022-10-12,800000.0,Seed,2900000.0,,11-50,Private,,,,,,0,2018,10658,False,False
Serial Marketers,2018-07-10,https://serialmarketers.net/,"New York, New York, United States","Advertising, Community and Lifestyle, Other, Sales and Marketing","Advertising, Communities, Marketing, Professional Services",2172379.0,"Marketers need marketers, too. An inclusive community based in Slack, the 3,000+ Serial Marketers members share job opportunities, get recommendations for services and technologies, post event invites, showcase their latest projects, and support each other in countless ways. We’re always welcoming new members. Request to join today.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,77020,False,False
Latina 100,2020-01-01,https://latina100.com,"New York, New York, United States","Commerce and Shopping, Events, Media and Entertainment","Digital Media, Events, Media and Entertainment, Retail",2167350.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,75420,False,False
NordLayer,2019-01-01,https://nordlayer.com,"New York, New York, United States","Information Technology, Internet Services, Privacy and Security","Business Information Systems, Cyber Security, Information Technology, Internet, Network Security, Security",148809.0,"NordLayer is an adaptive network access security solution for modern businesses — from the world’s most trusted cybersecurity brand, Nord Security.  We help organizations of all sizes to fulfil scaling and integration challenges when building a modern secure remote access solution, within an ever-evolving SASE framework.  Quick and easy to integrate with existing infrastructure, hardware free, and designed with ease of scale in mind, NordLayer meets the varying growth pace and ad-hoc cybersecurity requirements of agile businesses and distributed workforces today.   - Securing remote workforces: Businesses worldwide need secure remote access to company resources in order to operate effectively and keep their teams safe on the cloud or on premises. - Secure access to apps and multi-cloud resources: Modern companies use a huge variety of cloud apps which they need to access safely, on a number of devices, platforms and from anywhere in the world.  - Protect your data with network security solutions: Data breaches are massively costly & damaging to a company’s credibility & commercial bottom line. Businesses need powerful network access encryption to ensure their network, cloud apps & endpoint devices are secure.  - Network access control: Segmenting certain areas of the network with access control creates an added layer of protection for companies with distributed workforces. NordLayer allows admins to create teams, and group user access permissions based upon which resources they need to fulfil their duties — keeping the network more secure.",101-250,,,,,,,1.0,101-250,Private,,,,,,6,2019,18178,False,False
Break Sports,2023-09-01,https://www.breaksports.com/,"New York, New York, United States","Community and Lifestyle, Content and Publishing, Media and Entertainment, Sports","Communities, Content Discovery, Sports",213228.0,,11-50,1.0,Seed,2022-09-01,,Seed,,1.0,11-50,Private,,,,,,2,2023,23131,False,False
Food Foundry,2018-01-01,https://www.thefoodfoundry.com,"Chicago, Illinois, United States","Food and Beverage, Professional Services","Business Development, Food and Beverage",308415.0,"Food Foundry is a growth accelerator program that provides promotion solutions to enhance business growth for catering industries. The Food Foundry supports, connects, and propels innovative startups who are reimagining the food industry. Food Foundry is a program by Relish Works built in partnership with Gordon Food Service and 1871.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,29222,False,False
ZZYZX Imaging,2021-01-01,https://zzyzximaging.com,"San Diego, California, United States","Design, Hardware, Manufacturing, Science and Engineering, Software","3D Technology, CAD, Industrial, Laser",759121.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2021,46127,False,False
Cipholio Ventures,2021-07-26,https://www.cipholio.com/,"New York, New York, United States","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Media and Entertainment, Other, Payments, Software","Blockchain, Cryptocurrency, Financial Services, Metaverse, Venture Capital",185960.0,"Cipholio Ventures is a research-driven investment firm specializing in cryptocurrencies, tokens, and blockchain projects that have the potential to reshape the trillion-dollar markets.  The company serve as a bridge to connect people, technology, and capital in the decentralized world. The company aim to seek opportunities in Web 3.0, DeFi, GameFi, Metaverse, and Layer 2 based on our deep understanding of the industry and data-driven decisions.",11-50,,,,,,,2.0,11-50,Private,,,,,,6,2021,21066,False,False
Aeromotion,2021-01-01,https://www.aeromotion.co,"Atlanta, Georgia, United States","Consumer Electronics, Consumer Goods, Content and Publishing, Hardware, Media and Entertainment, Video","Drones, Photography, Video",943131.0,"Aeromotion is a video industry that offers aerial photography and video. They specialise in commercial video, motion picture and television, residential real estate, commercial photography, building and construction, inspection, mapping, commercial real estate, drone training, and bespoke solutions.",1-10,,,,,,,,1-10,Private,,,,,,6,2021,50941,False,False
Kleensoft,2020-01-01,https://kleensoft.net,"New York, New York, United States","Information Technology, Sales and Marketing, Software","Digital Marketing, Information Technology, Social Media Marketing, Software",2965944.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,88144,False,False
Growth Orbit,2018-01-01,http://www.growthorbit.com,"Alpharetta, Georgia, United States",Software,Software,622974.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,42158,False,False
Healiom,2020-01-01,https://www.healiom.com/,"San Mateo, California, United States",Health Care,"Health Care, Hospital, Medical",309062.0,"Healiom is an instant healthcare logistics platform that connects patients to specialist care. Healiom connects you to a specialist in less than 10 minutes, anytime, anywhere. No scheduling required.",11-50,1.0,Seed,2021-05-05,,Seed,,1.0,11-50,Private,,,,,,2,2020,29261,False,False
Tradeup Exchange,2021-10-05,https://tradeup.exchange/,"Los Angeles, California, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Internet Services, Lending and Investments, Software","Collectibles, E-Commerce, E-Commerce Platforms, Internet, Machine Learning, Marketplace, Predictive Analytics, Trading Platform",216447.0,"TradeUp is pioneering a fee-free, escrow-backed marketplace, revolutionizing the way users buy, sell, and trade online. Addressing the limitations of platforms like eBay and Poshmark, which suffer from high fees (over 15%) and security issues, TradeUp offers a secure, fee-free environment. This innovative approach is especially appealing in an era where social marketplaces, such as Facebook groups, show rapid transaction capabilities, often lacking in traditional platforms. Our unique escrow service, a first in the market, ensures safe and fee-free transactions for all parties, fostering an environment conducive to not just buying and selling, but also trading - a rapidly growing trend in online commerce. At TradeUp, we're redefining e-commerce, merging the community-driven feel of social platforms with the security and structure of traditional marketplaces. Our approach positions us at the forefront of e-commerce innovation, ready to disrupt and lead the industry.",11-50,2.0,Seed,2023-10-20,,Pre-Seed,,2.0,11-50,Private,,,,,,2,2021,23389,False,False
Smallwave Marketing,2020-01-01,http://www.smallwavemarketing.com,"Chicago, Illinois, United States","Advertising, Sales and Marketing","Advertising, Brand Marketing, Content Marketing, Digital Marketing",1833220.0,"Smallwave Marketing is advertising delivered through digital channels to promote brands and connect potential customers using the internet and other forms of digital communication. Rather than highlighting an individual product or service, brand marketing promotes the entirety of the brand, using the products and services as proof points that support the brand's promise. The marketing strategy is used to attract, engage and retain an audience by creating and sharing relevant articles, videos, podcasts, and other media.",11-50,,,,,,,2.0,11-50,Private,,,0.0,1.0,,6,2020,68562,False,False
The DeJesus Organization,2018-08-25,https://www.dejesustc.com,"New York, New York, United States","Consumer Electronics, Financial Services, Real Estate","Commercial Real Estate, Construction, Home Improvement, Property Development, Real Estate, Real Estate Investment, Smart Building, Smart Home",2060079.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,72366,False,False
Pelamont,2022-05-01,https://pelamont.com/,"New York, New York, United States","Financial Services, Lending and Investments, Software","Finance, Financial Services, Software, Venture Capital",254196.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2022,26037,False,False
FAVO Group,2018-01-01,https://favofunding.com,"Garden City, New York, United States","Financial Services, Lending and Investments","Finance, Financial Exchanges, Financial Services",1735106.0,"FAVO Group supports merchant cash advances, equipment financing, SBA loans, business term loans, invoice financing, and business line of credit. They provide funding solutions for commercial mortgages and short-term business loans. They support small and medium-sized businesses with varied and personalized funding options.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,67372,False,False
Tales,2018-09-01,https://talescreator.com/,"San Francisco, California, United States","Apps, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Gaming, Media and Entertainment, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Casual Games, Content, Content Creators, Gaming, Generative AI, Media and Entertainment, Mobile Apps, Publishing, Video Games",170068.0,"Tales gives superpowers to storytellers through generative AI, mobile-native formats, and distributed ownership. Creators are making books, comics, audiobooks, games, and everything in between.",1-10,1.0,,2021-04-29,,Venture - Series Unknown,,2.0,1-10,Private,,,,,,3,2018,19864,False,False
Koncept Creations,2021-01-01,https://www.konceptcreations.org,"Coram, New York, United States","Advertising, Design, Sales and Marketing, Software","Advertising, Brand Marketing, Graphic Design, Web Development",1837538.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2021,68490,False,False
Hydera,2021-01-01,https://hydera.us,"Goose Creek, South Carolina, United States","Data and Analytics, Other, Professional Services, Transportation","Customer Service, Test and Measurement, Transportation",1849810.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,69735,False,False
The Parker Foundation,2021-01-01,https://www.parkerfoundation.care/,"Dallas, Texas, United States","Other, Social Impact",Non Profit,2672589.0,"Our vision is to strengthen, rebuild and make safer rural and underprivileged communities throughout the United States. We inspire enduring philanthropy and enable rural and underprivileged community solutions to improve safety and the quality of life. We accomplish our vision and mission by implementing and funding grants to organizations and individuals seeking to improve the quality of life for underprivileged and rural communities.",1-10,,,,,,,3.0,1-10,Private,,,,,,6,2021,84850,False,False
Adsby (formerly Magnetiq),2021-05-21,https://adsby.co/,"Dover, Delaware, United States","Advertising, Design, Sales and Marketing, Software","Advertising, Advertising Platforms, Digital Marketing, Graphic Design, SaaS",51809.0,Digital Marketing SAAS Soluiton,11-50,2.0,Seed,2023-10-11,525000.0,Seed,900000.0,2.0,11-50,Private,,,,,,0,2021,6904,False,False
OG BioTech,2019-01-01,https://ogbiotech.com,"Reno, Nevada, United States","Agriculture and Farming, Biotechnology, Science and Engineering, Sustainability","Agriculture, Biotechnology, Environmental Engineering, Sustainability",1097101.0,"OG Biotech is a company that focuses on finding solutions to the negative effects of chemical fertilizers. They formulate agricultural products that bio remediate soils, leaving no residues that can contaminate waterways. using pre-digested nutrient technology, cannabis is provided with the nutrients it needs for a healthy, bountiful harvest.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,54363,False,False
Inferencery,2019-01-01,https://inferencery.com,"Ashburn, Virginia, United States","Information Technology, Other","Information Technology, Service Industry",976661.0,"Inferencery provides a variety of channels such as web, mobile, and mixed reality can just plug in our intelligent micro frontends into their applications and create unified, personalized digital experiences for their customers across channels.",1-10,1.0,,2020-01-15,,Non-equity Assistance,,,1-10,Private,,,,,,3,2019,51779,False,False
LORGAVENS Propertys,2018-01-01,https://www.lorgavens.com,"Orlando, Florida, United States",Real Estate,"Commercial Real Estate, Property Development, Real Estate",2598516.0,"LORGAVENS provides residential and commercial real estate investment and development services. They offer multifamily syndication, single-family homes, solar energy projects, and industrial warehousing services.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,82899,False,False
EllisX,2019-06-05,https://www.ellisx.com,"New York, New York, United States","Internet Services, Media and Entertainment, Other","B2B, Content, Internet",283174.0,,1-10,,,,,,,2.0,1-10,Private,,,,,,6,2019,27758,False,False
Castle Park Investments,2020-01-01,https://castlepark-investments.com/,"New York, New York, United States","Financial Services, Real Estate","Financial Services, Real Estate, Wealth Management",338360.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,30867,False,False
"Knowledge as a Service, Inc",2019-02-26,https://www.kaas.guru,"Wichita, Kansas, United States","Education, Software","SaaS, Software, Training",105729.0,"Knowledge as a Service supports companies making the shift from test-taking to measurable behavior modification, in real-time. The company was founded in 2019 as a DE C-Corp and operates from in Wichita, Kansas.",11-50,1.0,Seed,2020-07-13,500000.0,Seed,500000.0,2.0,11-50,Private,,,,,,0,2019,13933,False,False
Uplands Real Estate Partners,2018-01-01,https://uplandsrep.com,"Washington, District of Columbia, United States","Financial Services, Lending and Investments, Real Estate","Real Estate, Real Estate Investment, Venture Capital",859317.0,"Uplands Real Estate Partners is a Washington, DC-based real estate developer and venture investor.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,48859,False,False
Sturdy,2018-01-01,https://sturdy.co/,"Los Angeles, California, United States","Advertising, Events, Media and Entertainment, Sales and Marketing","Advertising, Brand Marketing, Content Creators, Event Management",534220.0,,11-50,,,,,,,,11-50,Private,,,0.0,0.0,,6,2018,39179,False,False
Andromeda Community Initiative,2018-01-01,https://andromedainitiative.org/,"Long Island City, New York, United States","Other, Social Impact",Non Profit,152336.0,"Andromeda Community Initiative [ACI] is a not-for-profit organization that provides professional development opportunities, free educational and workforce development programs, and job-related training that prepares students for gainful employment in the construction and building restoration industry.",1-10,1.0,,2023-06-28,844000.0,Grant,844000.0,,1-10,Private,,,,,,1,2018,18473,False,False
Super Charged Offers,2019-01-01,https://superchargedoffers.com/,"Jacksonville, Florida, United States","Advertising, Information Technology, Sales and Marketing","Advertising, Digital Marketing, Information Technology, Marketing",2445230.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,80604,False,False
DNA ID,2018-01-01,https://www.dnaid.co,"New York, New York, United States","Consumer Electronics, Data and Analytics, Hardware, Health Care, Software","Computer, Database, Medical",872515.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,49180,False,False
DIBTEC,2018-01-01,https://dibtec.net,"Bayside, New York, United States","Information Technology, Internet Services, Other, Privacy and Security, Professional Services, Software","Cloud Management, Cloud Security, Consulting, Cyber Security, Information Technology, Infrastructure, IT Infrastructure",1655833.0,"DIBTEC is an IT solutions and cloud managed services provider that provides cloud solutions, cybersecurity services, security as a service, strategic consulting, and infrastructure management and design. Their services include IT consulting,  proactive it maintenance, managed desktop, managed infrastructure, microsoft authorized education partner, SATV and planning authorized partner, managed service provider, hardware and software procurement, hardware recycling, data destruction, value-added reseller, and more.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,65832,False,False
Aparti Capital Markets,2019-01-01,https://aparticapitalmarkets.com,"Atlanta, Georgia, United States","Financial Services, Real Estate","Financial Services, Lending, Real Estate",1779897.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,67993,False,False
ThinkTrends,2019-01-01,https://www.thinktrends.co,"Reston, Virginia, United States","Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Data Mining, Data Visualization, Machine Learning, Natural Language Processing",464670.0,"ThinkTrends addresses the fundamental problem that data science does NOT happen in isolation. Hence, ThinkTrends is an end-to-end product that has the capability to ingest structured/unstructured data,  and create robust dashboards/visualizations to build and manage AI models with ZERO code or algorithms -- all from one place.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2019,36560,False,False
Open Sea Distribution,2020-01-01,https://www.openseadistribution.com,"Saint Augustine, Florida, United States","Commerce and Shopping, Health Care","Health Care, Medical Device, Wholesale",1255316.0,"Open Sea Distribution is a cryo skin, cryo-one, and collagen lift aesthetics distribution company. Their products include cryo skin spheres, cryo skin revolution, cryo skin NMS, cryo-one angelique, cryo-one Selene go, pure wave vemi, life cube, styku, neogen, prism light pods, prism light pads, truth treatments, collagen lift, and more.",11-50,,,,,,,,11-50,Private,,,0.0,0.0,,6,2020,57973,False,False
Javelin Robotics,2020-01-01,https://javelinrobotics.com,"San Francisco, California, United States","Hardware, Science and Engineering, Software, Transportation","Fleet Management, Robotics",374238.0,,1-10,1.0,,2021-03-22,,Venture - Series Unknown,,2.0,1-10,Private,,,,,,3,2020,32663,False,False
SaaSpirin,2020-01-01,https://www.saaspirin.co/,"Sheridan, Wyoming, United States","Sales and Marketing, Software","Content Marketing, Digital Marketing, Marketing, SaaS",983197.0,"SaaSpirin is a content marketing agency that specializes in SaaS companies, particularly those who want to use their blog to bring in new users.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2020,51937,False,False
HempNFibers,2022-08-02,https://hempnfibers.square.site,"Sandstone, Minnesota, United States","Agriculture and Farming, Biotechnology, Energy, Real Estate, Science and Engineering, Sustainability, Transportation","Agriculture, Biotechnology, Clean Energy, CleanTech, Farming, Green Building, GreenTech, Transportation",1668227.0,Growing hemp. Making a bio fuel to start. Than also an insulation out of it as well. Will look at doing more as company grows. I also know a way to power a whole warehouse by just the plants it’s self but I need funding to get this started. I’m building the transportation side just so I can gain an income to try and get this started.,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2022,65580,False,False
Katalism Technology,2018-01-01,https://www.katalism.tech,"Dallas, Texas, United States","Information Technology, Privacy and Security","Cyber Security, Information Technology, IT Infrastructure, IT Management",2430753.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,80839,False,False
Arc Labs,2018-01-01,https://arclabs.co/,"San Francisco, California, United States",Financial Services,"Finance, Financial Services, Lending",237054.0,Arc Labs is an early-stage credit fund focused on lending to technology-enabled businesses. Technology has created an explosion of new loan products and business models that are difficult for traditional lenders to underwrite. Arc provides creative debt capital to finance these products and businesses in their earliest days.  Our typical facility size is $5M and we typically work with Seed to Series A stage companies or private SaaS companies generating under $10M in EBITDA.,1-10,,,,,,,2.0,1-10,Private,,,,,,6,2018,24926,False,False
Stream-Aid,2019-01-03,https://streamaid.tv/,"Santa Monica, California, United States","Content and Publishing, Media and Entertainment, Sports, Video","eSports, Video Streaming",1325341.0,"Stream-Aid is a new monetization platform for live streaming. We help content creators develop sustainable careers in one of the world’s fastest-growing industries by offering them better tools and fairer financial terms. We’ve created the first “one stop shop” platform with a full suite of monetization tools for streamers. Other platforms typically give audiences one method to engage or interact with their favorite streamers. We offer seven. Our tools are specifically designed to create more frequent and deeper interactions between streamers and their audiences. By giving audiences more than just one way to interact with their favorite streamers, we avoid the Law of Diminishing Returns (and the Law of Diminishing Donations).",1-10,,,,,,,,1-10,Private,,,,,,6,2019,58068,False,False
Bold Street,2021-11-06,https://www.boldstreet.ai,"Scottsdale, Arizona, United States","Financial Services, Information Technology, Real Estate, Software","Information Technology, Real Estate Investment, Software",281534.0,The Bold Agent Platform is where visionary real estate agents create high-performing businesses serving residential real estate investors. Our platform helps agents: 1. Find Investors using lead generation and lead nurture tools 2. Match relevant deals from on and off-market sources tailored to each investors' needs 3. Close sales managing multiple offers and generating repeat investor business,11-50,,,,,,,2.0,11-50,Private,,,,,,6,2021,27660,False,False
Home State Brewing Co.,2019-01-01,https://www.homestatebrew.com/,"Winter Garden, Florida, United States",Food and Beverage,"Brewing, Craft Beer",1686469.0,"Craft brewery located in Winter Garden, Florida. Home State Brews a variety of craft beer.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,66779,False,False
Allstream Services & Rental,2018-01-01,https://www.goallstream.com,"Houma, Louisiana, United States","Commerce and Shopping, Energy, Hardware, Natural Resources, Science and Engineering, Software","Oil and Gas, Robotics, Wholesale",740865.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,45637,False,False
UniteWellness,2021-01-01,https://www.uwellness.co/,"Menlo Park, California, United States","Health Care, Sports","Fitness, Health Care, Personal Health, Wellness",2695052.0,UniteWellness has combined the full wellness experience from mental health coaches to personal training coaches.  This Is an ecosystem of professional coaches to help memberships be the best version of themselves.  UniteWellness Is turning the traditional health and fitness Industry upside with our new approach enabling all people to experience the total wellness experience In one place.,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2021,84495,False,False
Ars Longa Media,2019-12-26,https://arslonga.media/,"Lorain, Ohio, United States","Health Care, Media and Entertainment, Music and Audio","Medical, Podcast",1354529.0,"Ars Longa Media is a producer of podcasts centering on topics such as medical education, psychology and health care.",1-10,1.0,,2021-01-13,,Corporate Round,,,1-10,Private,,,,,,3,2019,59177,False,False
MoonRocket,2020-06-01,http://moonrocket.ai,"Austin, Texas, United States","Administrative Services, Financial Services, Internet Services, Professional Services, Software","Accounting, Debt Collections, FinTech, Internet, SaaS, Software",1092072.0,"We provide software that orchestrates customer experiences and payments on behalf of enterprise clients, such as lenders. Our technology helps businesses manage common but specialized experiences within the customer lifecycle, such as those involving negotiation, persuasion, preferred outcomes, debt recovery, and course-correction. We help companies put these tricky situations on autopilot and achieve better outcomes at scale. We are based in Austin, TX, and are currently building a team of engineers and PMs to help: 1) generalize the existing client-deployed prototype for maximum scalability and feature development. 2) grow the business. Say hello at launch@moonrocket.ai to learn more.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2020,54480,False,False
Constanci,2021-01-01,https://constanci.com/,"Los Altos, California, United States","Information Technology, Payments, Software","Billing, IT Management",370476.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2021,32485,False,False
Civi,2019-01-01,https://www.gocivi.com/,"Raleigh, North Carolina, United States","Government and Military, Information Technology","Information Services, Information Technology, Politics",595365.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,41267,False,False
