company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
CieloWorks,2021-01-01,https://cieloworks.com,"Austin, Texas, United States","Health Care, Information Technology, Internet Services, Professional Services, Software","Cloud Data Services, Consulting, Health Care, Software",849828.0,"CieloWorks offers consulting services for critical lines of business applications development, cloud strategy, and cloud migrations. The company helps businesses in the healthcare industry and beyond build and move apps into the cloud and build custom solutions, including software and cloud environments, to solve business problems for our customers.   It was founded in 2021 and is located in Austin, Texas.",1-10,,,,,,,,1-10,Private,,,,,,6,2021,48600,False,False
Swigart Law Group,2019-01-01,https://www.swigartlawgroup.com,"San Diego, California, United States","Government and Military, Privacy and Security, Professional Services","Consulting, Law Enforcement, Legal",784009.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,46832,False,False
Southern California Leadership University,2020-01-01,https://sclu.us,"Westminster, California, United States","Education, Other","Education, Training, Universities",1266287.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,57753,False,False
Prinstant Print-On-Demand,2021-01-01,https://prinstant.com,"Auburn Hills, Michigan, United States",Manufacturing,Manufacturing,756035.0,"Prinstant is a marriage of tradition and technology. They have a rich history in printing, textiles, cut & sew, and manufacturing dating back 80+ years. Combining deep sector knowledge with a progressive approach to technology adoption and implementation results in a culture of forwarding movement, growth, and a relentless focus on improvement.",251-500,,,,,,,,251-500,Private,,,,,,6,2021,46039,False,False
OutdoorStock,2022-08-25,https://outdoorstock.com,"Tallahassee, Florida, United States","Commerce and Shopping, Content and Publishing, Media and Entertainment, Other, Sales and Marketing, Video","Content Marketing, E-Commerce, Film Production, Marketplace, Photography, Professional Services",436501.0,"OutdoorStock is the most accurate, most organized, and user-friendly stock imagery marketplace ever built. OutdoorStock is focused on images (photo, video, and illustration) of the outdoors, wildlife, landscapes, or nature scenes. The marketplace allows creators to attach data to their works - like parks and preserves, geographical features like mountain ranges and water bodies, and taxonomically sorted animal and plant species.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2022,35452,False,False
Kiddie Academy of Pembroke-Virginia Beach,2019-01-01,http://kiddieacademy.com/academies/pembroke-virginia-beach/,"Virginia Beach, Virginia, United States",Health Care,"Child Care, Health Care",384110.0,"Address: 4520 Professional Cir, Virginia Beach, VA 23455, USA",51-100,,,,,,,,51-100,Private,,,,,,6,2019,33140,False,False
Cargo Robotics,2023-08-01,https://withcargo.com,"Palo Alto, California, United States","Administrative Services, Hardware, Science and Engineering, Software, Transportation","Delivery, Hardware, Last Mile Transportation, Logistics, Robotics",256265.0,,1-10,,,,,,,2.0,1-10,Private,,,,,,6,2023,26182,False,False
Cognasent Scientific,2022-01-01,https://cognasent.com,"San Francisco, California, United States",Professional Services,Recruiting,2538105.0,"Cognasent Scientific is a recruiting firm that specializes in the science and engineering sectors. The company's main focus is to provide recruitment services for companies operating in these fields. Cognasent Scientific derives its name from the term 'cognizant', reflecting its commitment to understanding and meeting the needs of its clients. The company aims to increase agility and adaptability in the science sector, thereby improving patient lives. It also offers career opportunities in exciting companies that use science and technology.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2022,82259,False,False
Vimtra Ventures,2018-01-01,http://www.vimtra.com/,"New York, New York, United States","Financial Services, Lending and Investments, Professional Services","Asset Management, Consulting, Financial Services, Venture Capital",1077047.0,,1001-5000,,,,,,,,1001-5000,Private,,,,,,6,2018,53369,False,False
Houndstooth,2018-01-01,https://houndstoothstudios.com,"Brooklyn, New York, United States","Media and Entertainment, Video","Content Creators, Film Production, Media and Entertainment",2103704.0,"Houndstooth creates trailers, posters, sizzles, and social media content for film and television. They are an accomplished editor at showtime and a film festival screenplay competition finalist, with film and TV experience. They are a team of designers, creative directors, and filmmakers.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,73245,False,False
Boosted,2019-01-01,https://boosted.biz,"Pittsburgh, Pennsylvania, United States","Advertising, Sales and Marketing, Software","Advertising, Marketing, Web Development",839507.0,"Boosted is a consulting company that specializes in building custom platforms for brands to sell their products. They handle all aspects of the process, allowing their clients to focus on their core business. The company also offers advertising services, helping brands to reach a wider audience and increase their market presence. Boosted's approach is holistic, focusing on all aspects of brand growth, including customer service and marketing.",11-50,,,,,,,,11-50,Private,,,,,,6,2019,48313,False,False
Matrubials,2018-01-01,https://matrubials.com/,"Davis, California, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical, Therapeutics",139880.0,Matrubials is developing novel antibacterial therapeutics to address non-selectivity and emerging antimicrobial resistance. They provide safe solutions that can reduce the healthcare and economic burden resulting from bacterial infections and concomitant clinical complications. That develops the anti-pathogenic molecules from milk into therapeutics geared towards all-age diseases.,1-10,4.0,Seed,2023-05-19,5000.0,Grant,130000.0,4.0,1-10,Private,,,,,,0,2018,17444,False,False
Alchemy Technology Resource,2019-01-01,https://alchemytechnologyresource.com,"East Syracuse, New York, United States","Data and Analytics, Design, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Cyber Security, Market Research",2198620.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2019,76558,False,False
MANNA,2021-10-13,http://mannaapp.us/,"Los Angeles, California, United States","Blockchain and Cryptocurrency, Gaming, Hardware, Internet Services, Media and Entertainment, Other, Software, Video","Animation, Augmented Reality, Blockchain, Film Production, Gaming, Online Games, Social Media, Software, Video Games, Virtual Reality",844406.0,"Manna is a super easy way to animate any live performance in real-time anywhere with intuitive control of lifelike avatars, studio tools and interactive 3D streaming platform that allows collaborative XR content creation. MANNA reinvented motion capture gear with a smartphone and innovative wearable trackers, and unlocked professional virtual production for streamers, actors/filmmakers, musicians, gamers, athletes and artists allowing avatars to replicate emotions and movements of users.",11-50,,,,,,,2.0,11-50,Private,,,,,,6,2021,48439,False,False
Axiom Medical Supplies,2019-03-04,https://axiommedicals.com,"Brooklyn, New York, United States",Health Care,Health Care,335458.0,"At axiom medical solutions, you will find Medical Supplies, Equipment and Home Health Care Products. We provide the best in medical supplies, surgical products, home care products, diabetes supplies and more. Axiom Medical Supplies is a US based online medical equipment provider company, we distribute our medical equipment and other medical products worldwide /all around the World. Axiom Medical Supplies provides an unrivalled service that you can rely on for all your medical needs.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,30710,False,False
Barazzo,2019-05-01,http://www.barazzo.com,"Atlanta, Georgia, United States","Commerce and Shopping, Consumer Electronics, Hardware, Internet Services, Software","E-Commerce, Internet of Things, Retail Technology, Software, Wearables",1637893.0,"Barazzo® develops ""grab and go"" technology for retailers and resorts to create a seamless, cashless, limited contact shopping experience.",1-10,,,,,,,1.0,1-10,Private,,,0.0,3.0,,6,2019,64614,False,False
GTIF Capital,2020-01-01,https://www.gtifcapital.com/,"El Paso, Texas, United States","Financial Services, Lending and Investments, Media and Entertainment, Professional Services","Advice, Consulting, Financial Services, Funding Platform",811919.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,47572,False,False
Intrepid Bioprocess Technologies,2018-01-01,https://www.intrepidbioprocess.com/,"Lake Forest, California, United States","Biotechnology, Manufacturing, Professional Services, Science and Engineering","Biotechnology, Consulting, Industrial Manufacturing, Manufacturing",1046554.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,52642,False,False
KAOSHI,2018-08-31,http://kaoshi.network/,"Chicago, Illinois, United States","Financial Services, Information Technology, Lending and Investments","Banking, Financial Services, FinTech, Information Technology",139826.0,Kaoshi creates open finance APIs for cross border financial services. We create account information and payment initiation APIs that enable cross border financial services.,11-50,2.0,Seed,2021-04-16,26486.0,Grant,26486.0,3.0,11-50,Private,,,,,,0,2018,17437,False,False
JPW Engineering Services,2019-01-01,https://jpwespl.com,"League City, Texas, United States","Manufacturing, Real Estate, Science and Engineering","Industrial, Industrial Engineering, Manufacturing, Property Management",918033.0,,51-100,,,,,,,,51-100,Private,,,,,,6,2019,50320,False,False
Skyline Production Group,2021-01-01,https://www.skylineproductiongroup.com,"Ontario, California, United States","Events, Media and Entertainment, Video","Event Management, Events, Video",1598968.0,"Skyline Production Group elevates brands through engaging corporate-oriented event experiences. Their team consists of executives, event directors, technical directors, skilled craftsmen, and video production specialists from the entertainment and broadcast industries. They respond to customer inquiries by phone and contact form.",11-50,,,,,,,,11-50,Private,,,,,,6,2021,63823,False,False
Hyvest Realty,2019-01-01,https://hyvestrealty.com,"Somerset, New Jersey, United States","Financial Services, Real Estate","Commercial Real Estate, Real Estate, Real Estate Brokerage, Real Estate Investment, Residential",1058638.0,"Hyvest Realty is a full-service brokerage that offers a range of services in the real estate sector. The company's services include residential and commercial real estate, as well as real estate investment. It employs experienced agents and real estate investors who assist clients in buying, selling, and investing in properties. Hyvest Realty also provides interior design services, adding value to the properties they handle. The company is known for its digital approach to real estate, simplifying the process for its clients.",11-50,,,,,,,,11-50,Private,,,,,,6,2019,52918,False,False
Therapy Partners Group,2019-01-01,https://therapypartnersgroup.com/,"Modesto, California, United States",Health Care,"Health Care, Medical, Personal Health, Therapeutics",240083.0,,1001-5000,,,,,,,1.0,1001-5000,Private,,,,,,6,2019,25133,False,False
Ionic Partners,2020-01-01,https://ionicpartners.com,"Austin, Texas, United States","Financial Services, Information Technology, Software","Finance, Information Technology, Software",173403.0,,11-50,,,,,,,2.0,11-50,Private,,,,,,6,2020,20133,False,False
Archetype Entertainment,2019-01-01,https://www.archetype-entertainment.com,"Austin, Texas, United States","Design, Gaming, Software","Graphic Design, Software, Video Games",309051.0,,1-10,,,,,,,3.0,1-10,Private,,,,,,6,2019,29260,False,False
Orion Consult Group,2018-01-01,https://www.orionconsultgroup.com/,"Centennial, Colorado, United States","Data and Analytics, Design, Information Technology, Professional Services, Software","Business Development, Business Information Systems, Business Intelligence, Consulting, Data Visualization",2967863.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,88119,False,False
Contact Limo LLC,2022-01-01,https://contactlimo.com,"Kenosha, Wisconsin, United States",Transportation,Limousine Service,1364496.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2022,58938,False,False
Just Ingredients,2019-01-01,https://justingredients.us,"Lindon, Utah, United States","Commerce and Shopping, Consumer Goods, Internet Services","Beauty, Online Portals, Retail",201468.0,"Just Ingredients support the supply of amino acids necessary for muscle health and energy. They produce the products of inflammation, blood sugar levels, and symptoms of stress. They provide a product that supports inflammation, blood sugar levels, and symptoms of stress.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2019,22239,False,False
Spiro Health,2020-01-01,https://www.spirohealthservices.com/contact,"Sandwich, Massachusetts, United States",Health Care,"Health Care, Hospital",1157123.0,"Spiro Health is a patient-centric, service oriented post-acute care and home medical equipment provider. Spiro Health services patients across VA, DC, MD, CT, RI, MA, NH and ME. Spiro Health has a broad portfolio of products and services, but specializes in sleep therapy and respiratory care.",101-250,1.0,M&A,2020-05-04,,Private Equity,,,101-250,Private,,,,,,2,2020,54564,False,False
Data Transformers,2021-01-01,https://data-transformers.com,"Houston, Texas, United States","Apps, Data and Analytics, Information Technology, Mobile, Software","Analytics, Information Technology, Mobile Apps",2532408.0,,51-100,,,,,,,,51-100,Private,,,,,,6,2021,82365,False,False
Dr. Integration,2022-07-08,https://www.drintegration.co,"Miami, Florida, United States","Apps, Hardware, Information Technology, Other, Software","3D Technology, Developer APIs, Enterprise Applications, IT Infrastructure, IT Management, Software, Technical Support",2660043.0,,1-10,,,,,,,2.0,1-10,Private,,,,,,6,2022,83436,False,False
The Talent,2021-01-01,https://www.thetalent.social,"Los Angeles, California, United States","Advertising, Content and Publishing, Education, Media and Entertainment, Professional Services, Sales and Marketing","Advertising, Content, Creative Agency, Media and Entertainment, Recruiting, Training",2188069.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,75051,False,False
The Folklore Group,2018-01-01,https://www.thefolklore.com,"New York, New York, United States","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Other, Real Estate, Software","B2B, Beauty, E-Commerce, Fashion, Home Decor, Marketplace, Retail, SaaS, Wholesale",45171.0,"The Folklore Connect is a SaaS-enabled B2B marketplace that provides fashion, beauty and homeware suppliers with order management, payment, communication, and logistics tools to scale their wholesale business and gives SMB and enterprise retailers a wholesale marketplace to discover and shop these suppliers.",1-10,2.0,Seed,2022-04-07,1700000.0,Pre-Seed,1800000.0,1.0,1-10,Private,,,,,,0,2018,5860,False,False
FastINDX,2019-01-01,https://www.fastindx.com,"Charlotte, North Carolina, United States","Data and Analytics, Design, Information Technology, Internet Services, Software","Cloud Computing, Data Integration, Software, Web Design",2815046.0,"FastIndX is a super-fast index automation tool. FastIndX provides self-service cloud licenses, a turnkey index design package, and managed index operation. The index design services are one of our core strengths, index managed service provides a simple, one-stop end-to-end solution to all the post-production indexing needs of our clients.",101-250,,,,,,,,101-250,Private,,,,,,6,2019,85840,False,False
Novotech Partners,2021-01-01,https://www.novotechpartners.com,"Glastonbury, Connecticut, United States","Hardware, Mobile, Navigation and Mapping","GPS, Telecommunications, Wireless",3101013.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2021,90525,False,False
Spiffly,2019-01-01,https://www.spiffly.is/,"Boulder, Colorado, United States","Consumer Goods, Other, Sustainability","B2B, Consumer Goods, Organic",1952027.0,"Founded in 2015, Spiffly is a ‘b2b’ a buyers club for pros in the natural and organic consumer goods industries.",1-10,1.0,Seed,2016-01-13,,Seed,,9.0,1-10,Private,,,,,,2,2019,71079,False,False
DeckLaunch,2018-01-01,https://www.decklaunch.com,"Houston, Texas, United States","Education, Professional Services","Consulting, Training",2675508.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,84802,False,False
Weird Works,2019-01-01,https://weird.works,"Culver City, California, United States","Commerce and Shopping, Gaming","E-Commerce, Gaming, Retail",2258593.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,77295,False,False
Cosync,2018-01-01,https://cosync.io,"Cary, North Carolina, United States","Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Information Technology, Software",715544.0,,1-10,,,,,,,1.0,1-10,Private,,,1.0,0.0,Computing; Calculating,6,2018,44952,False,False
Bee & Kin,2021-01-01,https://beeandkin.com,"New York, New York, United States","Clothing and Apparel, Commerce and Shopping, Design","E-Commerce, Fashion, Retail",2475772.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2021,81684,False,False
Kids Wonder,2019-01-01,https://www.kidswonder.net,"Centennial, Colorado, United States",Community and Lifestyle,"Children, Communities, Leisure",1107290.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2019,54117,False,False
Clouductivity,2018-01-01,https://clouductivity.com,"Clearwater, Florida, United States","Design, Hardware, Internet Services, Professional Services, Software","Cloud Infrastructure, Consulting, Software, Web Design, Web Development",2083595.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,73562,False,False
unboXt,2018-01-01,https://getunboxt.com/,"Atlanta, Georgia, United States","Administrative Services, Software","Human Resources, Software",113823.0,"unboXt helps improve team leader effectiveness by providing managers with a toolkit to actively assess employee motivation, morale, and need. We take team data and turn it into insights and recommendations to improve team sentiment, loyalty, and performance.",1-10,4.0,Seed,2022-04-26,160000.0,Convertible Note,270000.0,2.0,1-10,Private,,,,,,0,2018,14824,False,False
Ice Storm Marketing,2020-01-01,https://icestormmarketing.com,"Canoga Park, California, United States","Advertising, Design, Sales and Marketing, Software","Advertising, Graphic Design, Marketing, Web Design, Web Development",708078.0,"Ice Storm Marketing provides copywriting, video production, ppc ads, paid social ads, TV advertising, content creation, print marketing, ecommerce, app development, graphic design, website design, webinars, conversions, analytics, and market research services.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,44715,False,False
DigiMod,2020-01-01,https://digimod.ai,"Palo Alto, California, United States",Information Technology,Information Services,2544860.0,"DigiMod is a Trust and Safety business, created to work in partnership with companies as they navigate the diverse, digital world in which we live today.   DigiMod was established in response to the continued evolution and maturation of the Trust and Safety industry.  Historically, the requirement for expertise in Trust and Safety was the sole domain of digitally-native platform companies; it has now grown to be a strategic necessity for every company, across every industry.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,82148,False,False
GxPaaS,2022-01-01,https://gxpaas.io,"Raleigh, North Carolina, United States",Health Care,Pharmaceutical,1090979.0,GxPaaS is a cloud-based SAAS platform for life sciences professionals looking to remove waste in their present formal testing processes caused by the practise of executing test plans on paper.,1-10,1.0,,2023-04-18,,Non-equity Assistance,,,1-10,Private,,,,,,3,2022,54509,False,False
Focus,2020-01-01,https://www.focusindc.com,"Washington, District of Columbia, United States","Events, Food and Beverage, Media and Entertainment","Event Management, Events, Food and Beverage",2161389.0,"Focus is a club that provides fun parties, food, and beverage services. They offer private functions, fashion shows, product launches, film and photo shoots, art galas, wine tastings, holiday celebrations, award celebrations, meeting planning sessions, graduation events, anniversary parties, birthday celebrations, and bachelor parties.",101-250,,,,,,,,101-250,Private,,,,,,6,2020,73894,False,False
The Phenom Group,2020-01-01,https://www.thephenomgroup.com,"Knoxville, Tennessee, United States","Advertising, Sales and Marketing","Advertising, Brand Marketing, Digital Marketing",851840.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,48660,False,False
LENUS BIOSCIENCES SPAC,2019-10-29,https://www.lenusacquisition.com/bc/,"Dallas, Texas, United States","Community and Lifestyle, Food and Beverage, Health Care","Cannabis, Pharmaceutical",154539.0,"LENUS BIOSCIENCE SPAC targets to acquire a conglomerate of companies in the area of medical cannabis (R&D, pharmaceutical production, distribution of pharmaceutical products) that create synergies and bring new technologies and a new approach in their business combination together. LENUS IS A MEDICAL BIOTECH PROJECT - dealing with drug nanospheres and medical cannabis.  WE ARE DEDICATED TO BRING LENUS TO A SUCCESSFUL IPO - Using a Special Purpose Acquisition Company we focus on the acquisition of promising companies with forward-looking technologies in the pharmaceutical sector and have experience in the medical CBD/THC R&D. IT IS OUR OUTSTANDING VISION TO HAVE IMPACT ON THE MARKET - Nano-Biotech plus CBD /THC will create new drugs and improve the efficiency of proven active ingredients. IT IS OUR STRATEGY TO ACQUIRE POTENTIAL AND CREATE SYNERGIES - Acquire or cooperate with companies that have a proven track record in R&D or are hidden champions in the pharmaceutical market. PEOPLE MAKE THE DIFFERENCE - We work together with experts and institutions who are enthusiastic about making this project a success and who want to pass on their long-standing expertise. Listing at Nasdaq planned; IPO proceeds are planned to be USD 90 - 150 million, S1 to be filed in May 2020. Required pre-IPO capital (sponsor capital) is USD 4.5 - 7.5 million, of which 4.5 M have been raised - there is still a short-term opportunity for pre-IPO investors (sponsors) to invest up to USD 3 M. Sponsors will be provided with founder shares plus one full warrant for each USD invested. The Board of LENUS will consist of industry specialists, respective communication with prospective board members reached its final stage. The only open Board position is the position of the CFO. We are looking for CFO candidates with track records in managing public companies, preferably from the cannabis and/or pharma industry.",1-10,1.0,Private Equity,2019-11-11,4500000.0,Private Equity,4500000.0,,1-10,Private,,,,,,0,2019,18647,False,False
Mecha Technologies,2018-01-01,https://www.mechatechnologies.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Database, Machine Learning",560732.0,"Mecha Technologies creates new business designs by using digital technologies, in combination, to blur the boundary between physical and virtual worlds. They provides intelligent video analytics for social media, chatbots and voicebots for a banking client,recommendation engines for various industries. They address inquiries through phone calls and emails.",51-100,,,,,,,,51-100,Private,,,,,,6,2018,40087,False,False
Coach Crates,2018-01-01,https://coachcrates.com/,"Phillipsburg, New Jersey, United States","Education, Information Technology, Internet Services, Messaging and Telecommunications, Sports","Email, Internet, Sports, Training",3083847.0,"Coach Crates is a baseball development box for players, coaches, and teams for the purpose of developing dynamic training plans through resources, tools, and gear. It is a sporting goods company that features books, resources, articles, podcast episodes, training tools, and so on.",1-10,,,,,,,,1-10,Private,,,0.0,1.0,,6,2018,89469,False,False
Casey Denson Law,2018-01-01,https://www.caseydensonlaw.com/,"New Orleans, Louisiana, United States","Government and Military, Privacy and Security, Professional Services","Consulting, Law Enforcement, Legal",2583643.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,83127,False,False
RootsView,2019-11-19,https://rootsview.com,"Provo, Utah, United States","Community and Lifestyle, Other","Family, Subscription Service",2752265.0,"RootsView is a genealogy platform that helps users create meaningful connections with their ancestors. From better design to faster research tools, we offer the best mobile experience in the genealogy industry. We offer everything in our web platform, optimized for mobile, and currently expanding to Android and iOS apps.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,85240,False,False
Bob Auto Advisers,2020-01-01,https://sites.google.com/view/bob-auto-advisers/,"Oakland, California, United States",Financial Services,Auto Insurance,2440625.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,80669,False,False
My Planet First,2021-01-01,https://myplanetfirst.org,"Maryland, Louisiana, United States","Community and Lifestyle, Science and Engineering, Sustainability","Environmental Engineering, Social, Sustainability",3153113.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2021,91219,False,False
Birdie & Claire,2020-01-01,https://birdieandclaire.com/,"Hanover, New Hampshire, United States","Clothing and Apparel, Design, Internet Services, Other","Apparel, Commercial, Fashion, Online Portals",905967.0,,1-10,,,,,,,,1-10,Private,,,0.0,2.0,,6,2020,50020,False,False
NURSERYSTOCK,2018-01-01,https://www.nurserystock.com/,"Minneapolis, Minnesota, United States","Agriculture and Farming, Consumer Goods, Real Estate","Agriculture, Consumer Goods, Home Decor, Home Improvement",3114438.0,"NURSERYSTOCK is your destination garden center offering thousands of plant varieties conveniently delivered to the door. NURSERYSTOCK is to provide customers with high-quality plants, unbeatable selection, and competitive pricing.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,90365,False,False
UpLift Group,2020-01-23,https://www.upliftinc.co,"Seattle, Washington, United States","Data and Analytics, Real Estate","Analytics, Property Management, Real Estate",2165838.0,"Democratized information, demystified details, and accessible expertise about the operational health of HOAs.",1-10,,,,,,,2.0,1-10,Private,,,,,,6,2020,75440,False,False
Transpire Bio,2022-01-01,https://www.transpirebio.com,"Weston, Florida, United States","Biotechnology, Health Care, Science and Engineering","Biopharma, Biotechnology",105092.0,Transpire Bio is a biotechnology platform that offers painless delivery of injectable drugs.,1-10,1.0,,2023-07-27,11508.0,Grant,11509.0,,1-10,Private,,,0.0,2.0,,1,2022,13848,False,False
