company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
The Littlefield Company,2018-01-01,https://thelittlefield.co/littlefieldstudios,"Charlotte, North Carolina, United States","Advertising, Content and Publishing, Media and Entertainment, Music and Audio, Sales and Marketing, Video","Advertising, Creative Agency, Film Production, Photography, Podcast, Video",835271.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,6,2018,48221,False,False
OfficeCurb,2020-09-01,https://officecurb.com,"Houston, Texas, United States","Commerce and Shopping, Consumer Electronics, Hardware","E-Commerce, Electronics, Office Supplies, Retail",353325.0,"OfficeCurb is an office supply company located in Houston, Texas. We offer a superior line of office supplies products such as daily essential office, school stationery to electronics, data storage products & paper and cleaning essentials. OfficeCurb has a reputation for quality products at the best prices in the industry. We are highly experienced in the industry, you can be rest assured that we will do our best to source only the highest quality products with the best pricing. Furniture & Break Room Supplies: OfficeCurb takes pride in our commitment in providing the highest quality customer service that is tailored to the needs of you and your business. Thousands of businesses and consumers rely on OfficeCurb for all their break room, janitorial & office supplies. Wholesale & Bulk Janitorial & Breakroom Supplies: OfficeCurb.com is your favorite choice for online wholesale cleaning & breakroom supplies. To keep your surroundings clean and comfortable, we deliver janitorial supplies and home and office cleaning supplies. With our range of tens of thousands of breakroom and cleaning products available 24/7 on our website, you can be sure we'll have the wholesale products you need.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2020,31641,False,False
Osprey Energy Services,2020-01-01,https://ospreynrg.com,"Channelview, Texas, United States","Commerce and Shopping, Manufacturing, Science and Engineering","Chemical, Industrial, Rental",1408602.0,"Osprey Energy Services offers friction reducing, lubricant pipe service, and viscosifiers services. They provide water recycling services, pressure control services, frac stack rental, and supporting services.  They also provide equipment designing and fitting services.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,61306,False,False
TakeOwn,2022-10-01,https://takeown.com,"Delaware, Ohio, United States","Content and Publishing, Gaming, Media and Entertainment, Sports","Blogging Platforms, eSports, Gaming, News",576482.0,"TakeOwn is the ultimate go-to destination for everything gaming. In addition to the latest news, we provide in-depth guides and thorough reviews on all your favorite titles to help you make the most out of your every gaming session. Whether you are a casual gamer or a hardcore competitive player, our team of dedicated and passionate writers has something in store catered specifically for you. Our mission is to push the boundaries of Gaming journalism and provide our loyal readers with the latest and most up-to-date information possible to help them stay connected 24/7 to the vast and ever-growing world of Gaming. At TakeOwn, we strive to provide pure quality over quantity. Hence we are wholly committed to providing our readers with unbiased Reviews, Comparisons, Top 10 Lists, Guides, opinions, latest News, Exclusive Interviews, and much more. As dedicated Gamers, we uphold these values and traditions with all our hearts. We truly believe in providing free and fair information to our audience to help them understand and make informed and mature decisions.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,1,2022,40650,False,False
Koye Corp.,2019-05-07,https://koye.ventures ,"Wilmington, Delaware, United States",Software,Software,965447.0,Koye Corp. is a next-generation social media and social networking solution.,1-10,0.0,,,0.0,,0.0,4.0,1-10,Private,,,,,,6,4,2019,51505,False,False
1st Choice Fingerprinting,2020-10-01,https://www.1stchoicefingerprints.org/,"Reynoldsburg, Ohio, United States","Biotechnology, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering","Biometrics, Information Technology, Security",2352968.0,"1st Choice Fingerprinting located in Reynoldsburg, Ohio. We are an Authorized Vendor of the Ohio Attorney General. We provide the Federal Bureau of Investigation (FBI) and Bureau of Criminal Investigation (Ohio BCI) biometric fingerprinting services. Anyone can access our services anywhere in the state through our mobile fingerprinting services unit. 1st Choice Fingerprinting is dedicated to helping families and organizations protect themselves. We offer a quick, easy and secure way to perform Ohio BCI background checks using electronic fingerprinting.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2020,78995,False,False
Atipana Capital,2019-01-01,https://www.atipanacapital.com,"New York, New York, United States","Financial Services, Professional Services","Consulting, Finance, Financial Services",649067.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,43006,False,False
Compass Legal Marketing,2018-01-01,https://compasslegalmarketing.com,"Miami, Florida, United States","Events, Media and Entertainment, Professional Services, Sales and Marketing","Brand Marketing, Business Development, Consulting, Email Marketing, Event Promotion, Legal, Social Media Marketing",2203922.0,,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,6,2018,74789,False,False
The Unitē App,2020-11-02,https://theuniteapp.com/,"Los Angeles, California, United States","Education, Health Care, Media and Entertainment","Digital Media, Personal Development, Wellness",979764.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,51844,False,False
BOLT Kitchens,2020-01-01,https://boltkitchens.com/,"San Mateo, California, United States","Food and Beverage, Other, Real Estate","B2B, Real Estate, Restaurants",863310.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,48953,False,False
The Club for Fitness,2019-01-01,https://theclubforfitness.com/,"Mckinleyville, California, United States","Health Care, Sports","Fitness, Health Care, Personal Health, Wellness",2734093.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,5,2019,85502,False,False
ElevateEdAZ,2020-01-01,https://elevateedaz.com,"Phoenix, Arizona, United States","Community and Lifestyle, Education","Communities, Education",179240.0,"ElevateEdAZ is committed to connecting education to workforce learning pathways that meet the needs of Arizona's leading industries. Our main goals are to increase the number of students who enrol in and complete high-wage, high-demand career pathways, to increase student attainment of industry-recognized credentials and early post-secondary credit, to provide more students with work-based learning experiences, and to empower educators to reimagine classroom learning through educator externships.",1-10,1.0,,2023-01-23,80000.0,Grant,80000.0,,1-10,Private,,,,,,1,4,2020,20584,False,False
GlobalNexus,2019-01-01,https://globalnexus.io/,"Marina Del Rey, California, United States","Financial Services, Other","Finance, Financial Services, Small and Medium Businesses",2632083.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,83902,False,False
Pennywise Cash Back,2019-01-01,https://pennywisecashback.com,"San Francisco, California, United States","Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Mobile, Payments, Software","Cryptocurrency, E-Commerce, Mobile, Web Development",1152412.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,54665,False,False
Adroc Capital,2018-01-01,https://adroccap.com,"Uniondale, New York, United States","Financial Services, Lending and Investments","Commercial Lending, Finance, Financial Services",1412708.0,"ADROC Capital provides commercial real estate finance solutions for multifamily and healthcare properties nationwide. They offer their services as a direct lender, third-party originator, and consultant. They specialize in loan programs, affordable housing, and new construction development.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,6,2018,61219,False,False
Moringa Wellness,2018-01-01,https://www.moringa-wellness.com,"Destin, Florida, United States","Food and Beverage, Health Care","Food and Beverage, Health Care, Wellness",1490058.0,"Moringa Wellness is a professional, independent food development facility. They have developed a unique line of tasty, healthy, and functional consumer moringa-based food and beverage products. Their products include moringa leaf capsules, nut-free sunflower seed butter, nut-free hazelnut chocolate spread, fruit bars, weight loss oral spray, energy bars, natural testosterone booster, hypotonic drink syrup, capsules, nutraceuticals, and more.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,6,2018,62841,False,False
Celeste,2023-01-01,https://www.celesteai.com,"New York, New York, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Other, Payments, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), B2B, CRM, Debt Collections, FinTech, Lending, Machine Learning, Payments, SaaS, Software",215820.0,"Transforming the way traditional and alternative SMB lenders collect past due payments.    Our platform was developed specifically for the SMB lending and alternative SMB funding industry with the goal of optimizing the collection process. We leverage AI along with end-to-end automation to maximize collection rates, reduce costs, maintain compliance and preserve customer relationships.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2023,23334,False,False
Uber Engineer,2024-02-15,https://uberengineer.oguntolawale.us/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology",292664.0,"Discover a new era of IT support with Uber Engineering, your trusted AI copilot for all your technical needs. Seamlessly integrating cutting-edge artificial intelligence with expert IT assistance, we're here to revolutionize the way you manage your technology infrastructure. Our AI copilot harnesses the power of machine learning and natural language processing to provide intelligent IT support tailored to your requirements. From troubleshooting common issues to offering proactive solutions, our AI is always at your service. Say goodbye to long wait times and tedious troubleshooting processes. With Uber Engineering's AI copilot, you'll experience rapid response times and swift resolution of IT issues, allowing you to get back to business faster.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,0,2024,28331,False,False
Best Savings Coupon,2020-01-01,https://bestsavingscoupon.com,"Jackson Heights, New York, United States","Commerce and Shopping, Internet Services","Coupons, E-Commerce, Online Portals, Shopping",1742991.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,67211,False,False
XRental,2021-01-01,https://xrental.com,"Sausalito, California, United States","Commerce and Shopping, Other, Professional Services, Transportation","Automotive, Customer Service, Rental",607823.0,"XRental provides car rental, barge booking, scooter rental, tour booking, boat rental, office equipment rental, apartment rental, RV rental, truck rental, parking space rental, private jet rental, limo service, yacht charter, jetski rental, bike rental, shuttle booking, and  spaceship rental.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,41663,False,False
ToyLibrary,2018-10-30,https://www.toylibrary.co,"New York, New York, United States","Commerce and Shopping, Consumer Goods","Gift, Toys",1934221.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,71378,False,False
Incolo,2019-01-01,https://www.incolo.io,"Raleigh, North Carolina, United States","Community and Lifestyle, Financial Services, Media and Entertainment, Professional Services","Communities, Consulting, Crowdfunding, Media and Entertainment",128077.0,"Incolo is building the democratized future with founders, teams, and the communities that propel their growth. Incolo helps startups grow through its media arm, accelerator, business advisory, EdTech platform, and in-person highly curated events.",1-10,1.0,Seed,2021-01-25,1500000.0,Seed,1500000.0,3.0,1-10,Private,,,,,,0,5,2019,16302,False,False
United Human Foundation,2021-01-01,https://www.unifiedhuman.org,"Los Angeles, California, United States","Consumer Electronics, Hardware, Mobile",Mobile Devices,694408.0,"Unified Human Foundation is a non-profit organization that seeks to provide innovative solutions for current NGOs, charities, and nonprofit organizations through economic and social assistance. The Unified Human Foundation is an accelerator concept that aims to go beyond the usual nonprofit framework. They promote and curate efforts that restore equilibrium in complex systems by bringing humans and environment together in harmony, peace, and respect.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2021,44292,False,False
Pagerie,2020-01-01,https://www.pagerie.com/,"Los Angeles, California, United States","Commerce and Shopping, Community and Lifestyle, Manufacturing","E-Commerce, Manufacturing, Pet",271634.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,27123,False,False
Dadpreneur Hub,2019-01-01,https://dadpreneur.co,"Melbourne, Florida, United States","Advertising, Community and Lifestyle, Education, Professional Services, Sales and Marketing","Advertising, Communities, Professional Networking, Training",2900326.0,"Dadpreneur Hub is a community of entrepreneurs and business leaders committed to supporting one another in achieving business goals. Dadpreneur Hub aims to provide its members with the resources, connections, and support they need to succeed. The company offers networking events, a mentorship program, courses, workshops, and training, access to funding and investment opportunities, and an online community.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,87659,False,False
Lumara,2022-07-21,https://www.lumara.com,"New York, New York, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Real Estate, Software","Blockchain, Cryptocurrency, Real Estate",357145.0,"The first real estate marketplace, connecting agents, buyers and sellers transacting in crypto. Real estate is one of the most stable and secure investments you can make. But the sector has long been overdue for innovation and disruption. Lumara is at the forefront of this transformation, offering a revolutionary way to buy and sell property using cryptocurrency. As a qualified buyer, you have access to an exclusive selection of properties not available on traditional marketplaces.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,31839,False,False
Epinoma,2020-01-01,https://www.epinoma.com/,"San Francisco, California, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Diagnostics, Life Science",227824.0,"Epinoma is a diagnostics company that focuses on the multi-omics approach to cancer monitoring. It engineers proteins that control the operating system of biology. The company was founded in 2020 and is headquartered in San Francisco, California.",1-10,3.0,Seed,2021-10-21,0.0,Pre-Seed,0.0,2.0,1-10,Private,,,,,,2,4,2020,24258,False,False
ScaleHouse,2019-01-01,https://www.scalehouse.consulting/,"Bend, Oregon, United States",Professional Services,"Business Development, Consulting, Management Consulting",2163182.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,0.0,1.0,,6,5,2019,75480,False,False
SaunRise,2019-01-01,https://www.saunrise.com,"Gibsonia, Pennsylvania, United States","Consumer Goods, Health Care","Beauty, Health Care, Therapeutics, Wellness",1900416.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,70337,False,False
Leiros Consulting Group,2018-01-01,https://leirosconsulting.com,"Miami, Florida, United States","Financial Services, Professional Services","Consulting, Finance, Financial Services",1409670.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,6,2018,61280,False,False
Heroes'​ Mile,2019-01-01,https://www.heroesmiletexas.com,"Deland, Florida, United States",Health Care,"Addiction Treatment, Health Care, Medical, Wellness",1599675.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,63810,False,False
KBRA Analytics,2019-01-01,https://www.kbraanalytics.com,"New York, New York, United States",Data and Analytics,Analytics,504856.0,KBRA Analytics is a premier data and analytics product platform. It provides unparalleled insight creating a foundation for users of deeper analysis and rapid discovery.,251-500,0.0,,,0.0,,0.0,,251-500,Private,,,,,,6,5,2019,38083,False,False
House on Fire Productions,2020-01-01,https://www.houseonfireproductions.com,"Irvington, New York, United States","Media and Entertainment, Sales and Marketing, Video","Digital Marketing, Digital Media, Film Production, Social Media Marketing",2240244.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,77594,False,False
The Rumor Company,2022-06-22,https://therumor.co/,"New York, New York, United States",Design,"Graphic Design, Product Design, UX Design, Web Design",1079188.0,"The Rumor Company is driven by a singular mission: to create an easy and near seamless relationship between design and business, big and small. Innovating the design industry with a unique subscription service, offering unlimited, high-quality designs with a quick turnaround. This approach eliminates the need for costly agencies or unreliable freelancers, making professional design accessible to all. The service operates in a fully async environment, fostering a culture of flexibility and creativity. Let's work together to reshape the design landscape.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,53421,False,False
HOMEstretch,2019-01-01,https://www.home-stretch.com,"Cincinnati, Ohio, United States",Real Estate,"Home Improvement, Home Services, Landscaping, Real Estate",1453685.0,"HOMEstretch is a company that operates in the real estate industry. The company specializes in home preparation services, providing value-added home solutions. These services include clear outs, painting, and carpeting, aimed at enhancing the appeal of homes for sale. Additionally, HOMEstretch also offers services to assist in decluttering spaces before home improvement work begins. The company's offerings are available to the public through authorized retailers.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,0.0,1.0,,6,5,2019,61965,False,False
Ailm Medical,2019-01-01,https://www.ailmmedical.com,"Atlanta, Georgia, United States","Education, Health Care","Education, Health Care, Personal Health, Wellness",1484598.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,62949,False,False
ANAI Capital Management,2021-01-01,https://anaicapital.com,"Sunrise, Florida, United States","Information Technology, Professional Services, Sales and Marketing","Digital Marketing, Information Technology, IT Management, Management Consulting",474064.0,"ANAI Capital Management invests in digital platforms, automation, and AI technologies to power the digital economy. The company invests in startups and late-stage firms that use digital platforms to solve specific business problems, focusing on startups and late-stage firms.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,36933,False,False
Chaos Genius,2021-01-01,https://www.chaosgenius.io,"Palo Alto, California, United States","Data and Analytics, Hardware, Information Technology, Internet Services, Software","Application Performance Management, Big Data, Cloud Data Services, Cloud Infrastructure",121000.0,"Chaos Genius is a provider of a DataOps observability platform for improving data infrastructure efficiency. It has developed a unique data infrastructure observability and optimization product that’s initially aimed at Snowflake Inc.’s cloud data warehouse platform. Organizations can save money on Snowflake by receiving automated recommendations to optimize their workloads, identify inefficient queries, and improve query performance. The platform analyzes Snowflake workloads with millions of queries using query patterns to identify inefficient queries and provides intelligent recommendations that significantly improve performance. The company was founded in 2021 by Preeti Shrimal and Harshit Surana. The company is based in Palo Alto, California.",11-50,2.0,Seed,2023-01-03,3300000.0,Seed,3300000.0,2.0,11-50,Private,,,,,,0,3,2021,15578,False,False
Highland Collective,2020-01-01,https://highland-collective.super.site/,"Austin, Texas, United States","Design, Media and Entertainment","Art, Graphic Design, Product Design",1130515.0,"Highland Collective is a Central Austin-based group of artists and makers that offers art and design services. The company combines complementary skill sets and shared art passions, enabling the fabrication of various imaginative creations.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,55159,False,False
M|80,2021-02-18,https://www.artisgeneris.com,"Scranton, Pennsylvania, United States","Information Technology, Other, Professional Services, Sales and Marketing","Consulting, Information Services, Marketing, Professional Services",3178983.0,Strategy & Design Firm,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,90976,False,False
Heyford Space,2020-01-01,https://www.heyfordgroup.com,"Stamford, Connecticut, United States","Financial Services, Lending and Investments","Financial Services, Venture Capital",482679.0,"Heyford Space invests in Space and Defense companies.  Heyford Group was founded in 2019 and was headquartered in Stamford, Connecticut.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,37248,False,False
Epic Behavioral Health Group,2021-01-01,https://epicbh.net,"Lakewood, New Jersey, United States",Health Care,"Health Care, Mental Health, Personal Health, Rehabilitation",516862.0,"Epic Behavioral Health Group elevates the client healing experience by enhancing acute and subacute care facilities with strategic value-adds. Their staff combines a unique blend of administrative, financial, and clinical expertise culled from rich experience in the healthcare community for over a decade. They look for ways to enhance their campuses to offer clients the perfect setting for relaxation, healing and growth. They expand the continuum of care to accelerate progress and ensure sustainability. Their treatment-focused approach and comprehensive care spur results that last a lifetime.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,38561,False,False
HR Interrupted,2019-01-01,https://hrinterrupted.com,"La Palma, California, United States","Administrative Services, Other, Professional Services","Consulting, Human Resources, Professional Services",2639904.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,83768,False,False
Zea Coin,2021-03-15,https://www.zeacoin.io/,"Florida, New York, United States",Information Technology,Information Technology,2281517.0,Get one step closer to your future with Zea Coin. Zea Coin it is a definitive resource providing information and tools related to financial markets.,51-100,0.0,,,0.0,,0.0,1.0,51-100,Private,,,,,,6,3,2021,78522,False,False
Ramasser Group,2020-01-01,https://www.ramassergroup.com,"Pompano Beach, Florida, United States","Education, Information Technology, Professional Services","Consulting, Corporate Training, Information Technology",2209710.0,,101-250,0.0,,,0.0,,0.0,,101-250,Private,,,,,,6,4,2020,76369,False,False
Let's Talk,2021-01-01,https://www.letstalktampabay.org/,"Tampa, Florida, United States","Health Care, Information Technology","Health Care, Information Services, Mental Health, Telehealth, Wellness",2379133.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,80087,False,False
WynHouse,2019-01-01,https://www.wynhouse.co,"Toledo, Ohio, United States","Administrative Services, Apps, Design, Information Technology, Mobile, Other, Software","Information Technology, Mobile Apps, Project Management, Software, UX Design, Web Apps",555438.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,39896,False,False
MagicLink.ai,2020-01-01,https://magiclink.ai,"Austin, Texas, United States","Information Technology, Sales and Marketing, Software","Information Technology, Marketing Automation, Software",1181630.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,55386,False,False
KOSHU,2021-01-01,https://www.koshu.co,"Napa, California, United States","Advertising, Internet Services, Professional Services, Sales and Marketing","Advertising, Brand Marketing, Consulting, Digital Marketing, Social Media Management, Social Media Marketing",489058.0,"Our ethos is to disrupt the current digital landscape through every creator managed & project secured by encompassing true inclusivity + diversity, all while providing both the talent & brand clientele with Grade A quality of service. Driven by curation through community leaders, digital advertising is proven to be the most effective form of marketing to date. When thought provoking story telling is paired with quality creatives, the power to demonstrate a mutually beneficial collaborative partnership aims and delivers changes in consumer behavior. We are built on a foundation of ethics with focuses on sustainability, wellness, activism and intentional messaging from our brand and talent voices.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,37509,False,False
eFamilyCare,2018-01-01,https://efamilycare.com/,"New York, New York, United States",Health Care,"Health Care, Medical, Nursing and Residential Care",79423.0,eFamilyCare is a virtual family caregiving service that connects users with professional care advisers. Its professional care advisers provide help to build a personalized plan that provides ongoing support for a family caregiving. The company was founded in 2018 and is headquartered in New York.,1-10,1.0,,2021-02-01,3109466.0,Venture - Series Unknown,3109466.0,2.0,1-10,Private,,,,,,1,6,2018,10742,False,False
IDARE,2018-01-01,https://idare.io,"Houston, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Energy, Natural Resources, Other, Science and Engineering, Software","Artificial Intelligence (AI), Oil and Gas, Small and Medium Businesses",429853.0,,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,0.0,2.0,,6,6,2018,35180,False,False
GZ Energy,2019-01-01,http://www.gz.energy,"Charleston, South Carolina, United States","Energy, Natural Resources, Sustainability","Biofuel, Biomass Energy, Clean Energy, Energy, Fuel, Oil and Gas, Renewable Energy",344712.0,"GZ Energy, LLC is an industry-leading entity, implicitly trusted by countless bioenergy market participants for its services.  • Our GZ Energy® voice-brokerage service brings buyers and sellers together in physical bioenergy markets, namely: biodiesel, renewable diesel, renewable natural gas (RNG), compliance credits, and environmental attributes. Consulting services are provided to organizations that desire an enhanced understanding of the complex physical renewable fuels and energy markets.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,31209,False,False
Zebra Services,2019-01-01,https://zebrahomecleaning.com,"Mesa, Arizona, United States","Administrative Services, Other, Real Estate","Commercial, Facilities Support Services, Home Services, Janitorial Service",1182608.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,55365,False,False
Roxana Macedon,2020-01-01,https://roxanamacedon.com,"Hinsdale, Illinois, United States",Transportation,"Logistics, Supply Chain Management, Transportation",2870261.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,86586,False,False
River Search,2018-01-01,https://river.app/,"New York, New York, United States","Apps, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software","Apps, Content, Internet, Mobile Apps, News",62569.0,River is a content discovery platform that pulls stories and content from across the entire internet. The company was founded in 2018 and it is based in New York.,11-50,2.0,M&A,2020-10-15,6000000.0,Series A,10400000.0,3.0,11-50,Private,,,,,,0,6,2018,8518,False,False
