,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
1091,Inhabitr,2018-11-07,http://www.inhabitr.com,"Milpitas, California, United States","Artificial Intelligence (AI), Consumer Goods, Data and Analytics, Design, Internet Services, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Commercial Real Estate, Furniture, Generative AI, Interior Design, Internet, Real Estate",18442.0,"Founded in 2018, Inhabitr is the first AI driven technology platform to provide end-to-end furnishing solution from design, procurement, installation to financing.  It has connectivity to a large global ecosystem of over 1,000 factories, warehouses, furniture makers, installers, movers, and financiers to consistently deliver high quality furniture significantly faster, more cost effectively and more sustainably than traditional providers. While Inhabitr started its initial focus in B2C with the change of market condition due to the Pandemic, Inhabitr was able to prove greater success with the B2B strategy and achieved product market fit in every segment of commercial real estate.",101-250,2.0,Early Stage Venture,2019-11-20,4000000.0,Series A,4000000.0,2.0,101-250,Private,,,0.0,1.0,,0,5,2018,1069,False,False
1185,Aurelogy,2022-06-01,https://aurelogy.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Legal Tech, Machine Learning, Software",18842.0,"Aurelogy develops litigation story-building AI for innovative firms. Our mission is to ""unburden people with human-centered tools that evolve legal processes and the pursuit of insight"".",1-10,1.0,Seed,2023-06-09,6491996.0,Seed,6491996.0,3.0,1-10,Private,,,,,,0,1,2022,1162,False,False
1213,Speedy Brand,2022-01-01,https://speedybrand.xyz,"Middletown, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Content, Generative AI, SEO",19063.0,"Speedy Brand operates in the artificial intelligence, content, and SEO industries. The company provides generative AI-powered marketing content for small and medium-sized businesses (SMBs). Their services include creating high-quality, personalized, SEO-optimized blogs and social media content. Speedy Brand's content creation process is significantly faster due to the use of generative AI, making it a valuable resource for businesses looking to enhance their online presence and brand storytelling.",1-10,1.0,Seed,2023-07-07,2500000.0,Pre-Seed,2500000.0,3.0,1-10,Private,,,,,,0,2,2022,1190,False,False
1330,Narratize,2022-01-01,http://www.narratize.com/,"Cincinnati, Ohio, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),19576.0,"Narratize is an AI-Powered Storytelling Platform where innovators create high-impact stories in 20 minutes or less. With Narratize, everyone from entrepreneurs to enterprises can transform scientific, technical, and medical insights into compelling content that accelerates time-to-market using proven story patterns.",1-10,2.0,Seed,2023-12-18,2100000.0,Seed,2200000.0,1.0,1-10,Private,,,,,,0,2,2022,1304,False,False
1341,Distyl AI,2022-01-01,https://distyl.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",19632.0,"Distyl AI works with organisations to increase their AI readiness and develop integrated AI-based solutions that are specific to their unique data, workflows, and workforce requirements.",1-10,1.0,Seed,2023-04-13,7000000.0,Seed,7000000.0,,1-10,Private,,,,,,0,2,2022,1314,False,False
1588,PostgresML,2022-01-01,https://postgresml.org,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, Information Technology",20956.0,PostgresML is an AI application database. It is a Rust-written open-source Postgres extension.PostgresML instantly scales workloads with dedicated replicas or serverless GPU-accelerated cloud.,1-10,1.0,Seed,2023-05-10,4700000.0,Seed,4700000.0,,1-10,Private,,,,,,0,2,2022,1558,False,False
1819,sliQue Robotics,2022-08-02,https://slique.us,"Las Vegas, Nevada, United States","Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Internet Services, Other, Science and Engineering, Software","Artificial Intelligence (AI), B2B, Big Data, Business Intelligence, Computer Vision, Data Visualization, Internet of Things, Robotic Process Automation (RPA), SaaS, Software",22234.0,"At sliQue Robotics, we are proud to be at the forefront of a revolution bringing together data analytics, robotics, and IoT. Through our innovative solutions, we are transforming data into a powerful catalyst for growth and innovation. Our mission is to empower individuals and organizations to unlock the full potential of their data, enabling unprecedented levels of efficiency, intelligence, and opportunity. We believe in transcending traditional boundaries and envisioning a future where every challenge is met with data-driven brilliance. Join us on this journey towards a brighter, more connected, and inspiring future, where every piece of information is a stepping stone to success.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,0.0,0.0,,5,1,2022,1787,False,False
1829,Matterworks,2019-01-01,https://www.matterworks.ai,"Somerville, Massachusetts, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Medical, Pharmaceutical",22290.0,"Matterworks is a biotech startup that combines metabolomics with AI to simulate the metabolic environment. The startup is enabling real-time insights into cellular biology to accelerate therapeutic research, development, and manufacturing with an AI-driven cloud platform for metabolomics. Matterworks was founded by Mimoun Cadosch Delmar and Jack Geremia in 2019.",11-50,4.0,Seed,2023-08-14,7500000.0,Seed,13750000.0,2.0,11-50,Private,,,2.0,0.0,Testing,0,5,2019,1796,False,False
1991,Shelpful,2021-01-01,https://shelpful.com/,"Portland, Oregon, United States","Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software","Artificial Intelligence (AI), Human Computer Interaction",23189.0,Shelpful is the company that combines artificial intelligence with human empathy and accountability.,1-10,1.0,Seed,2023-12-15,3000000.0,Seed,3000000.0,,1-10,Private,,,,,,0,3,2021,1952,False,False
2023,Alan AI,2018-09-01,https://alan.app,"Sunnyvale, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Speech Recognition, Virtual Assistant",23332.0,"Alan AI, Inc. - Revolutionizing Enterprise Interactions with Generative AI. Founded with the groundbreaking vision to deploy natural language interfaces for enterprise applications, Alan AI, Inc. has been at the forefront of transforming information flow and workflows since its inception. Our journey began with the launch of the Alan AI Platform in 2021, a trailblazing B2B application-level AI platform that empowered developers to deploy and manage voice interfaces for enterprise applications quickly. In 2023, we expanded our capabilities by integrating text functionality, thereby broadening our AI platform's versatility and appeal. Alan AI's advanced assistants are designed to seamlessly leverage the existing UI of any application, facilitating contextually aware conversations that redefine user experience. Our technology is not just innovative; it's also incredibly agile, enabling deployment within a matter of days. Our customers are at the heart of our mission. They have realized significant returns on investment through operational efficiency gains and enhanced user adoption, engagement, and productivity. This success is a testament to the transformative power of Alan AI's solutions in the enterprise domain. Headquartered in Silicon Valley, CA, and with a regional presence in Hyderabad, India. The company's foundation is strengthened by the experience and vision of its founders, Ramu Sunkara and Andrey Ryabov. Their previous venture, the mobile video service Qik, achieved notable success and was acquired by Skype, underscoring their prowess in pioneering technology-driven solutions. At Alan AI, we are dedicated to continuously evolving and advancing our AI platform, ensuring that enterprises worldwide can harness the power of AI to elevate their operations and user experiences to new heights.",11-50,3.0,Seed,2022-01-01,0.0,Seed,4500000.0,4.0,11-50,Private,,,3.0,1.0,Electric Communication Technique,1,5,2018,1984,False,False
2213,Factored,2019-04-01,https://www.factored.ai,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software",24425.0,"Factored was co-founded with renowned AI expert Andrew Ng (Stanford/AI Fund/Google Brain/Coursera) and Stanford University instructors to help companies build the highest-caliber remote data science and machine-learning teams in a few days by finding and rigorously vetting the world's most talented remote AI engineers living and working in USA time zones.  Our team rigorously tests our engineers against thousands of experienced engineers in Silicon Valley, and they consistently rank in the top 1-3% in core data science capabilities like machine-learning, data science, deeplearning, algorithmic coding, and mathematics.",11-50,1.0,Seed,2020-04-15,2500000.0,Pre-Seed,2500000.0,2.0,11-50,Private,,,,,,0,4,2019,2168,False,False
2252,Colleen AI,2020-01-01,https://colleen.ai/,"Daytona Beach, Florida, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Debt Collections, Property Management",24622.0,"Colleen is an AI-powered, integrated platform solution for multifamily property managers and residents that optimizes rent and debt collections.",11-50,1.0,Seed,2023-07-20,3500000.0,Seed,3500000.0,,11-50,Private,,,,,,0,4,2020,2205,False,False
2446,Mona,2018-12-01,https://www.monalabs.io,"Atlanta, Georgia, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Information Services, Information Technology, Machine Learning, SaaS, Software",25545.0,"Mona provides intelligent and flexible AI monitoring for AI-first companies and teams who need to continuously adapt and optimize their production environments for fast business growth. Our platform enables machine learning teams to track data and model performance metrics in production, and get alerted on potential drifts. biases and integrity issues, to business risk and enable fast and reliable improvements.  Customers across verticals use the platform for a variety of use cases such as fraud detection, data-driven healthcare, e-commerce marketing optimization, and revenue intelligence. Founded in late 2018 by product leaders and operators from Google and McKinsey & Co.",11-50,3.0,Seed,2021-08-01,6950000.0,Seed,6950000.0,3.0,11-50,Private,,,1.0,1.0,,0,5,2018,2399,False,False
2497,Greptile,2022-03-29,https://www.greptile.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Software","Enterprise Software, Machine Learning, Software",25816.0,"Greptile lets you chat with any GitHub repo to locate functionality, understand different parts, and rapidly write code changes.",1-10,2.0,Seed,2023-08-17,1000000.0,Pre-Seed,1000000.0,4.0,1-10,Private,,,,,,0,1,2022,2450,False,False
2559,Moveo.AI,2020-01-01,https://moveo.ai/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Customer Service, Natural Language Processing, Software",26123.0,"Moveo.AI is a conversational AI platform that assists businesses in automating routine tasks and improving customer experiences. It assisted global enterprises in all sectors and served users in 85+ countries and 21 languages. Users can optimize their operations, increase productivity and revenue, build brand loyalty, and ultimately create better experiences for everyone—from customers to employees—using its platform.",11-50,1.0,Seed,2022-02-01,400000.0,Pre-Seed,400000.0,2.0,11-50,Private,,,,,,0,4,2020,2508,False,False
2709,RealReports,2022-02-01,http://realreports.ai/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Real Estate, Software",26787.0,"RealReports are the ultimate tool to help agents win more listings, generate leads, and build trust with their clients. Like a supercharged ""carfax for homes,"" RealReports provide comprehensive property data for every home in the US.",1-10,1.0,Seed,2023-11-01,20000.0,Seed,20000.0,2.0,1-10,Private,,,,,,0,2,2022,2656,False,False
2724,Ema,2019-01-01,https://www.emaapp.co/,"Houston, Texas, United States","Artificial Intelligence (AI), Community and Lifestyle, Health Care, Information Technology, Internet Services, Sports","Fertility, Fitness, Generative AI, Information Technology, Internet, Lifestyle, Personal Health, Social Network, Wellness",26886.0,"Ema is revolutionizing the way that women interact with technology by using data to create positive health outcomes from fertility to menopause.  Our outcome data shows that our 100,000+ members have experienced countless health benefits, like an overall 84% reduction in loneliness, and a 75% reduction in anxiety.  96% of our medical experts find her accurate and reliable.  Ema develops proprietary AI models that live in the technology of other companies (women's health resources, employers, and payors)",11-50,3.0,Seed,2022-01-01,1275000.0,Seed,1675000.0,3.0,11-50,Private,,,0.0,0.0,,0,5,2019,2671,False,False
2728,HeHealth Inc,2022-01-07,https://www.hehealth.ai/,"San Francisco, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Software",26900.0,"HeHealth is redefining men's health with our AI-powered sexual health screening/diagnosis platform. Simple, anonymous, and affordable, our users can screen/diagnose symptomatic STDs and other conditions through a few clicks. HeHealth is spearheading a new era of accessible, stigma-free care.",11-50,2.0,Seed,2023-08-01,749209.0,Seed,749210.0,2.0,11-50,Private,,,1.0,1.0,Computing; Calculating,0,2,2022,2675,False,False
2790,Novabot,2020-01-01,https://novabot.com,"Philadelphia, Pennsylvania, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Manufacturing, Robotics",27248.0,Novabot is the solution for the application of next-generation autonomous driving technologies for home functioning robots.,51-100,1.0,Seed,2023-08-04,10000000.0,Seed,10000000.0,,51-100,Private,,,,,,0,4,2020,2736,False,False
2883,Shader,2022-10-07,https://www.shaderapp.com,"San Francisco, California, United States","Apps, Artificial Intelligence (AI), Community and Lifestyle, Content and Publishing, Data and Analytics, Hardware, Internet Services, Media and Entertainment, Science and Engineering, Software, Video","Apps, Artificial Intelligence (AI), Augmented Reality, Social, Social Network, Software, Video Editing",27701.0,"Shader, startup launching the first AI-powered real-time camera app that integrates text-to-AR effects without requiring coding skills. Founded in 2022 by Darya Sesitskaya, the San Francisco-based company launched a lightweight AR technology developed by the former Snap AR team, enabling the creation of personalized AI effects in real time.",1-10,1.0,Seed,2023-06-01,580000.0,Pre-Seed,580000.0,1.0,1-10,Private,,,,,,0,1,2022,2828,False,False
2988,Signum.ai,2019-01-01,https://signum.ai,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Other, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), B2B, Financial Services, FinTech, Marketing Automation, SaaS, Sales Automation",28292.0,"Signum.AI helps make client research ten times cheaper and faster. It tracks key changes in target industries, companies, and individuals, including job vacancies and social media activity, then summarizes this data to offer actionable suggestions.",11-50,3.0,Seed,2023-05-01,400000.0,Seed,930000.0,1.0,11-50,Private,,,0.0,1.0,,0,5,2019,2933,False,False
3123,Wirestock,2019-01-01,https://wirestock.io/,"San Jose, California, United States","Artificial Intelligence (AI), Commerce and Shopping, Information Technology, Sales and Marketing","Digital Marketing, E-Commerce, Generative AI, Information Services, Information Technology",29070.0,"Wirestock is an AI-powered platform that helps visual content creators distribute, showcase and license their work (generative AI art, photos and videos) across the web, including the largest stock content marketplaces.",11-50,2.0,Seed,2023-06-28,0.0,Seed,2300000.0,4.0,11-50,Private,,,,,,1,5,2019,3066,False,False
3206,Let's Enhance,2018-04-01,https://letsenhance.io/,"San Francisco, California, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Photo Editing, Photography",29477.0,"Let's Enhance develops an AI-powered image-processing platform to assist marketplaces in editing, optimizing, and delivering user-generated content. It is an AI editor that automatically increases image resolution for personal and business needs. Businesses use Let's Enhance to connect to the API and configure the necessary parameters to improve image quality.",11-50,4.0,Seed,2021-10-27,3000000.0,Seed,3120000.0,2.0,11-50,Private,,,1.0,0.0,Computing; Calculating,0,5,2018,3148,False,False
3246,Beagle,2021-01-01,https://discoverbeagle.com/,"Brooklyn, New York, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Ediscovery, Information Technology",29668.0,,1-10,2.0,Seed,2024-01-30,3000000.0,Seed,3000000.0,,1-10,Private,,,,,,0,3,2021,3186,False,False
3424,Cascade Health,2022-01-01,https://www.cascadehealth.ai/,"Fremont, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Predictive Analytics",30581.0,Cascade Health operates an AI-powered platform for healthcare transparency.,1-10,1.0,Seed,2023-05-15,2000000.0,Pre-Seed,2000000.0,,1-10,Private,,,,,,0,2,2022,3360,False,False
3472,Tutor Intelligence,2021-01-01,https://tutorintelligence.com/,"Cambridge, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Robotics",30857.0,"Tutor Intelligence is an information technology company that specializes in the fields of robotics, AI, and machine learning.  Robots will soon be traveling to locations they have never gone to before thanks to Tutor Intelligence. They have made hiring robots as drop-in solutions for picking, putting, pal/depal, material handling, sorting, kitting, inspection, and other tasks affordable and simple for companies of all sizes.",1-10,1.0,Seed,2023-01-17,4162206.0,Pre-Seed,4162206.0,2.0,1-10,Private,,,1.0,0.0,Hand Tools; Portable Power-Driven Tools; Manipulators,0,3,2021,3406,False,False
3563,Intelligent Artifacts,2019-03-01,https://www.intelligent-artifacts.com/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Manufacturing, Privacy and Security, Sales and Marketing, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Cyber Security, Data Center Automation, Industrial Automation, Intelligent Systems, Marketing Automation, Natural Language Processing, Sales Automation",31315.0,"Intelligent Artifacts is a leader in transparent, explainable, traceable, editable and deterministic Cognitive Machine Intelligence specializing in cost-effective, modular, flexible, and scalable Artificial Intelligence/Machine Learning and Reasoning (AI/ML/R) for the Defense, Intelligence, and Aerospace industries. IA’s revolutionary engine enables AI/ML/R to support a multitude of use cases, data types, and deployment options, even at the edge. IA’s trustworthy system pairs complexity with transparency to cover a range of mission areas including ISR, C2, Predictive Maintenance, Cybersecurity, and more while remaining fully explainable and auditable from results to internal mechanisms to input data.",11-50,3.0,Seed,2019-07-01,2500000.0,Seed,3688000.0,1.0,11-50,Private,,,0.0,4.0,,0,5,2019,3495,False,False
3617,dSilo,2020-01-01,https://www.dsilo.ai/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing",31631.0,"dSilo is a Generative AI company that turns your contracts and spend data into a cost savings, productivity and compliance engine. This disruptive technology enables procurement, finance and legal teams to easily and rapidly develop new insights by connecting contractual documents and spend data to identify off contract purchasing, missed rebates and discounts, unapproved unit price variances, working capital improvement opportunities, and compliance gaps. dSilo's proprietary and patented deep learning natural language AI technology means an enterprise can get these insights rapidly, and maintain this intelligence on an ongoing basis.",51-100,2.0,Seed,2023-12-15,2470000.0,Seed,3020000.0,2.0,51-100,Private,,,,,,0,4,2020,3549,False,False
3829,Wand App,2021-01-01,https://www.wand.app/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),32910.0,"Wand is a co-creative, AI-driven tool that allows artists the manual control and customization they need to realize their ideas.",11-50,2.0,Seed,2023-08-23,4200000.0,Seed,4200000.0,,11-50,Private,,,,,,0,3,2021,3756,False,False
3955,Bonfire Analytics,2022-01-01,https://www.bonfireanalytics.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence",33554.0,Bonfire Analytics offers services to the customer in decision making using AI.,1-10,1.0,Seed,2023-08-24,1000000.0,Pre-Seed,1000000.0,,1-10,Private,,,,,,0,2,2022,3879,False,False
3964,Gemelo.ai,2022-01-01,http://www.gemelo.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Speech Recognition",33596.0,"A platform for AI Clones and Agents that scale your voice, interactions, and business built by a team from NVIDIA, Meta AI, Samsung AI, Ramp, and other top startups that is based in San Francisco, California and Warsaw, Poland.",11-50,2.0,Seed,2023-09-08,0.0,Seed,2000000.0,1.0,11-50,Private,,,,,,1,2,2022,3888,False,False
4054,Velt,2020-09-01,https://velt.dev,"San Francisco, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Apps, Artificial Intelligence (AI)",34068.0,"Velt is a productivity software helps to develop web applicatons. During covid, the workplace shifted to a remote first world. But 99% of the apps are still single player and not equipped to address remote collaboration needs.",1-10,1.0,Seed,2022-03-22,2770000.0,Seed,2770000.0,2.0,1-10,Private,,,0.0,0.0,,0,3,2020,3975,False,False
4060,Pioneer,2022-01-01,https://www.pioneerclimate.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology",34096.0,"Pioneer operates a team of experts using AI to win grants, contracts, loans, and proposals.",1-10,1.0,Seed,2023-11-09,2900000.0,Seed,2900000.0,,1-10,Private,,,,,,0,2,2022,3981,False,False
4064,Rent Butter,2021-01-01,https://rentbutter.com,"Chicago, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Software","Banking, Predictive Analytics, Software",34132.0,Rent Butter provides a solution that combines bank transaction history and credit behavior analytics into a tenant performance report.,1-10,1.0,Seed,2023-08-31,3000000.0,Seed,3000000.0,2.0,1-10,Private,,,,,,0,3,2021,3985,False,False
4085,Evidently AI,2021-01-01,https://evidentlyai.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Open Source, Software",34244.0,"Evidently AI is a monitoring tool that offers open-source Python library for data scientists and ML engineers to evaluate, test, and monitor machine learning models. Their open-source software tool evaluate and test data and ML model quality throughout the model lifecycle.",1-10,2.0,Seed,2021-12-01,0.0,Pre-Seed,125000.0,2.0,1-10,Private,,,,,,1,3,2021,4005,False,False
