,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
85,Main Street Health,2021-01-01,https://www.mainstreetruralhealth.com,"Nashville, Tennessee, United States","Health Care, Health Diagnostics, Medical Device",501-1000,268,"Main Street Health is a provider of value-based, care-focused healthcare services aimed at addressing rural wellness concerns. The company's healthcare services are data-driven, and it provides partner clinics with employees, technology, critical access hospitals, community health centers, and possibilities to flourish in the care delivery model, allowing rural residents to receive the high-quality treatment they need.",Health Care,2.0,Early Stage Venture,2023-10-08,315000000.0,Series B,342000000.0,Private,,,,,,3,16,False
88,Bright Money,2019-01-01,https://www.brightmoney.co,"San Francisco, California, United States","Artificial Intelligence, Finance, Financial Services, FinTech, Personal Finance",101-250,271,"Bright is an AI-powered app that gives every consumer a path to get debt-free. It helps consumers delete all forms of debt (credit card, student loan, auto loan) and designs tailored credit products powered by Machine Learning. Bright Money uses artificial intelligence and machine learning algorithms to analyze users' financial data. It can provide personalized insights into their spending habits, budgeting, and overall financial health. The company aims to help users achieve financial wellness by providing them with tools and insights to reduce financial stress, build savings, and make informed financial decisions.","Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",5.0,Early Stage Venture,2023-09-27,50000000.0,Debt Financing,93000000.0,Private,,,0,0,Computing; Calculating,5,17,False
100,Archer,2020-01-01,https://www.archer.com,"San Francisco, California, United States","Aerospace, Air Transportation, Electric Vehicle, Manufacturing",501-1000,289,"Archer is an aerospace company building an all-electric vertical takeoff and landing aircraft focused on improving mobility in cities. The company's mission is to advance the benefits of sustainable air mobility. Archer is designing, manufacturing, and operating a fully electric aircraft that can carry four passengers for 60 miles at speeds of up to 150mph while producing minimal noise. Archer's team is based in the San Francisco Bay Area.","Manufacturing, Science and Engineering, Transportation",4.0,IPO,2023-08-10,215000000.0,Post-IPO Equity,1277700000.0,Public,2021-09-17,3800000000.0,,,,4,18,False
102,EVPassport,2020-10-01,https://evpassport.com,"Brooklyn, New York, United States","Automotive, Information Technology, Internet, Software",11-50,294,EVPassport provides an electric vehicle charging platform for purpose-driven organizations. The platform enhances customer engagement for these companies by providing custom-branded hardware with API-powered software that easily integrates with their existing applications and services.,"Information Technology, Internet Services, Software, Transportation",3.0,M&A,2023-10-12,200000000.0,Private Equity,201180000.0,Private,,,,,,3,19,False
104,Cleanlab,2021-10-01,https://cleanlab.ai/,"San Francisco, California, United States","Artificial Intelligence, Database, Machine Learning",11-50,297,Cleanlab develops a data-centric artificial intelligence (DCAI) to help companies improve the quality of their datasets. It handles the entire data quality and data-centric AI pipeline in a single framework for analytics and machine learning tasks.,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",2.0,Early Stage Venture,2023-10-10,25000000.0,Series A,30000000.0,Private,,,,,,2,20,False
110,Machina Labs,2019-01-01,https://machinalabs.ai,"Chatsworth, California, United States","Artificial Intelligence, Industrial Engineering, Machinery Manufacturing, Mechanical Engineering, Robotics",11-50,309,"Machina Labs is a mechanical and industrial engineering and manufacturing firm that utilizes AI and machine learning to automate metal forming and fabrication processes. Its manufacturing platform combines the latest advances in robotics and AI so great ideas can be turned into reality quickly and affordably. It specializes in developing new methods to serve aerospace, automotive, industries, consumers, and defense industries.","Artificial Intelligence, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",5.0,Early Stage Venture,2023-10-05,32000000.0,Series B,48300000.0,Private,,,,,,5,21,False
112,Oro Labs,2020-01-01,http://orolabs.ai/,"Palo Alto, California, United States","Procurement, Software, Supply Chain Management",101-250,312,ORO procurement automation platform dramatically improves traditional procurement operations by taming the chaotic enterprise spending on business-critical purchases and supplier engagements.,"Software, Transportation",2.0,Early Stage Venture,2023-11-01,34000000.0,Series B,59000000.0,Private,,,,,,4,22,False
117,MosaicML,2021-01-01,https://www.mosaicml.com,"San Francisco, California, United States","Artificial Intelligence, Computer Vision, Machine Learning, Natural Language Processing, Software",101-250,321,"MosaicML builds an efficient infrastructure for training large language models. Mosaic is improving the efficiency of neural network training with algorithmic methods that deliver speed, boost quality and reduce cost.","Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software",2.0,M&A,2023-01-01,,Venture - Series Unknown,37000000.0,Private,,,0,2,,3,23,False
121,54gene,2019-01-01,https://www.54gene.com,"Washington, District of Columbia, United States","Biotechnology, Genetics, Health Care, Life Science",101-250,327,"54gene is a healthcare startup unlocking the African genome to fuel genetic research and development that may lead to new discoveries and benefit all populations. 54gene was founded in 2019 by Dr. Abasi Ene-Obong to address the significant gap in the global genomics market: Nearly 90% of genetic material used in pharmaceutical research is caucasian. Only 2% is African, despite the fact that Africans and people of African ancestry are more genetically diverse than all other world populations combined. As a result, pharmaceutical research and development is lacking the diverse data that may hold the key to medical discoveries and new healthcare solutions.","Biotechnology, Health Care, Science and Engineering",10.0,Early Stage Venture,2022-10-28,50000000.0,Convertible Note,94725000.0,Private,,,,,,5,24,False
122,Credit Genie,2019-07-01,https://creditgenie.com,"Conshohocken, Pennsylvania, United States","Credit, Credit Cards, Financial Services, FinTech, Lending",11-50,328,"Credit Genie is a fintech company that provides financial tools and debt relief services. It helps Americans take control of their finances, by offering no-fee-or-interest cash advances between paydays, tools to get out of debt, and insights into their spending habits.","Financial Services, Lending and Investments, Payments",5.0,,2023-10-20,10000000.0,Venture - Series Unknown,23184457.0,Private,,,,,,4,25,False
126,Drata,2020-07-08,https://drata.com,"San Diego, California, United States","Compliance, SaaS, Security",251-500,344,"Drata is an advanced security and compliance automation platform with the mission to help companies earn and keep the trust of their users, customers, partners, and prospects. Drata helps thousands of companies streamline their security compliance (SOC 2, ISO 27001, HIPAA, PCI DSS, GDPR, CCPA, CMMC, NIST CSF, etc.) through continuous, automated control monitoring and evidence collection, resulting in lower costs and time spent preparing for annual audits. Drata was founded in 2020 by Adam Markowitz, Daniel Marashlian, and Troy Markowitz and is based in San Diego, California, United States.","Privacy and Security, Professional Services, Software",4.0,Late Stage Venture,2022-12-07,200000000.0,Series C,328240856.0,Private,,,1,4,,3,26,False
134,Bond Vet,2019-01-01,https://bondvet.com,"New York, New York, United States","Health Care, Pet, Veterinary",501-1000,365,"Bond Vet is a provider of veterinary services intended to provide urgent care for pets. The company's veterinary clinics provide urgent-care and walk-in services using mobile applications where customers can communicate, schedule, and store medical records of their pets, enabling customers to strengthen the human-animal bond through pet health.  Mo Punjani, Lukas Keindl, and Zay Satchu founded the company in Brooklyn, New York in 2018.","Community and Lifestyle, Health Care",5.0,Private Equity,2023-10-16,50000000.0,Private Equity,245000000.0,Private,,,0,1,,5,27,False
138,Pinecone,2019-01-01,https://www.pinecone.io,"New York, New York, United States","Artificial Intelligence, Database, Semantic Search, Vertical Search",51-100,372,"Pinecone develops a vector database that makes it easy to connect company data with generative AI models. It combines vector search libraries, features such as filtering, and distribution infrastructure to provide reliability at any scale.","Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software",3.0,Early Stage Venture,2023-04-26,100000000.0,Series B,138000000.0,Private,,,0,3,,5,28,False
139,Society Brands,2020-01-01,https://www.societybrands.com,"Canton, Ohio, United States","Brand Marketing, E-Commerce, Retail",11-50,376,"Society Brands is a tech-enabled consumer products company that acquires e-commerce native brands that primarily sell on Amazon and their own DTC sites. The company was founded in 2020 and is headquartered in Canton, Ohio.","Commerce and Shopping, Sales and Marketing",3.0,,2023-10-17,25000000.0,Venture - Series Unknown,247325235.0,Private,,,0,2,,4,29,False
141,Pixis,2020-01-20,https://pixis.ai,"Chicago, Illinois, United States","Artificial Intelligence, Brand Marketing, Cloud Computing, Digital Marketing, Machine Learning",251-500,382,"Pixis provides a codeless AI infrastructure platform for brands to monitor and orchestrate their marketing campaigns. It also offers proprietary AI models that are deployed across an ecosystem of products and plugins to help businesses scale data-driven marketing. The company's AI technology is also developed for growth marketing and has a rich product suite that includes targeting, in-flight performance optimization, and generative AI capabilities.","Artificial Intelligence, Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software",5.0,Late Stage Venture,2023-09-14,85000000.0,Series C,209000000.0,Private,,,,,,4,30,False
142,Blue Owl,2021-01-01,https://www.blueowl.com/,"New York, New York, United States","Banking, Consumer Lending, Finance, Financial Services, Lending",251-500,383,"Blue Owl Capital is an alternative asset manager that provides investors access to direct lending and GP capital solutions strategies through a variety of vehicles. The firm's breadth of offerings and permanent capital base enables it to offer a differentiated, holistic platform of capital solutions to participants throughout the private market ecosystem, including alternative asset managers and private middle market corporations.","Financial Services, Lending and Investments",2.0,IPO,2022-02-10,400000000.0,Post-IPO Debt,1900000000.0,Public,2021-05-20,,0,5,,3,31,False
145,Enfabrica,2019-01-01,https://enfabrica.net,"Mountain View, California, United States","Artificial Intelligence, Information Technology, Software",51-100,386,"Enfabrica develops groundbreaking hardware, software, and system technologies that solve the critical bottlenecks in the next generation. It designs networking chips to handle AI workloads, allowing businesses to get upgraded and advanced information technology solutions to tackle modern problems.","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",1.0,Early Stage Venture,2023-09-12,125000000.0,Series B,125000000.0,Private,,,6,0,,5,32,False
146,reAlpha,2020-01-01,https://realpha.com,"Dublin, Ohio, United States","Marketplace, Property Management, Real Estate Investment, Rental Property, Vacation Rental",11-50,388,ReAlpha is a digital marketplace that enables its members to simplify real estate through investments in short-term rental properties. Its sources and scores properties from the wholesale market using a proprietary AI-driven algorithm called reAlphaBRAIN.,"Commerce and Shopping, Financial Services, Real Estate, Travel and Tourism",3.0,IPO,2022-11-01,200000000.0,Debt Financing,206100000.0,Public,2023-10-23,425520000.0,0,3,Computing; Calculating,4,33,False
149,Tendo,2020-01-01,https://www.tendo.com,"Philadelphia, Pennsylvania, United States","Health Care, Information Technology, Software, Technical Support, Wireless",51-100,395,"Tendo's mission is to become the trusted connection between patients, clinicians, and caregivers by creating software that provides seamless, intuitive, and user-friendly experiences throughout the care journey.","Hardware, Health Care, Information Technology, Mobile, Other, Software",4.0,,2023-10-23,118552860.0,Venture - Series Unknown,187552860.0,Private,,,,,,4,34,False
151,ElevenLabs,2022-04-17,http://elevenlabs.io,"Brooklyn, New York, United States","Artificial Intelligence, Audio, Content Creators, Developer APIs, Publishing",11-50,400,ElevenLabs researching and deploying novel methods in voice AI to make content enjoyable in any language and voice to benefit new audiences and viewers. The company's mission is to make content universally accessible in any language and voice.,"Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",3.0,Early Stage Venture,2023-06-20,19000000.0,Series A,21000000.0,Private,,,,,,2,35,False
158,Twelve Labs,2021-03-01,http://twelvelabs.io/,"San Francisco, California, United States","Information Technology, Software, Video",11-50,411,"Twelve Labs is a platform that gives businesses and developers access to multimodal video understanding. The company's mission is to help developers build programs that can see, listen, and understand the world.","Information Technology, Media and Entertainment, Software, Video",4.0,Seed,2023-10-24,10000000.0,Seed,27120000.0,Private,,,,,,3,36,False
168,Thrasio,2018-07-01,https://www.thrasio.com,"Walpole, Massachusetts, United States","Consumer Goods, E-Commerce, Retail",1001-5000,431,"Thrasio is a consumer goods company that is reimagining how the world's popular products can be made available to everyone. They identify and acquire quality brands selling beloved goods using a deep understanding of rankings, ratings, and reviews. Then they use data science, logistical expertise, marketing savvy, and other skills to expand product lines and reach customers all over the world. Its goal is to help people everywhere make of every moment with every brand they grow, item listing they improve, or product they develop.  Thrasio has acquired over 200 brands, selling thousands of high-quality products, and is a top three Amazon seller.","Commerce and Shopping, Consumer Goods",12.0,,2022-12-31,,Venture - Series Unknown,3396500000.0,Private,,,,,,5,37,False
183,d-Matrix,2019-01-01,https://www.d-matrix.ai,"Santa Clara, California, United States","Artificial Intelligence, Cloud Infrastructure, Data Center",11-50,459,D-Matrix is a computing platform that targets artificial intelligence inferencing workloads in the datacenter. Its mission is to build and deploy the world’s first brain-inspired AI compute engine for a broad class of inferencing workloads in the multi-billion dollar cloud and infrastructure edge markets.,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",3.0,Early Stage Venture,2023-09-06,110000000.0,Series B,154000000.0,Private,,,0,3,Computing; Calculating,5,38,False
185,Aiolos Bio,2023-01-01,https://www.aiolosbio.com,"San Francisco, California, United States","Biopharma, Biotechnology, Health Care",11-50,462,"Long Description: Aiolos Bio is a biotech company focused on developing therapies for respiratory diseases like asthma as well as other immune conditions. The company is initially focused on advancing AIO-001, a monoclonal antibody therapy for moderate-to-severe asthma that only requires dosing every 6 months. Aiolos Bio was founded by an accomplished team with decades of drug development experience and leadership in the biotech industry.","Biotechnology, Health Care, Science and Engineering",1.0,Early Stage Venture,2023-10-24,245000000.0,Series A,245000000.0,Private,,,,,,1,39,False
189,Upland,2018-07-01,https://upland.me,"Mountain View, California, United States","Blockchain, Gaming, Social Media, Virtual Goods",101-250,466,"Upland is a metaverse gaming platform that allows users to trade virtual properties mapped to real-world addresses. The properties are represented as NFTs on the EOS blockchain. Upland currently has over 310,000 property owners and 5 million registered users. It is working to expand to new cities in the US and internationally, while also developing new gameplay features like drivable cars and businesses.","Blockchain and Cryptocurrency, Commerce and Shopping, Gaming, Internet Services, Media and Entertainment, Other, Software",4.0,Early Stage Venture,2023-10-20,7000000.0,Series A,27000000.0,Private,,,,,,5,40,False
193,Modern Treasury,2018-06-01,https://www.moderntreasury.com/,"San Francisco, California, United States","Banking, Finance, FinTech, Payments",51-100,472,"Modern Treasury enables its clients to marry bank statements with the company’s business logic to provide an enriched history of the company’s financial transactions. This view will empower the company’s finance teams to focus on solving the mission-critical problems of the business and not piecing together the jigsaw puzzle of bank transactions by hand. Modern Treasury will help answer those questions faster and with more confidence. The company's tools automate the full cycle of money movement—from payment initiation, through approvals, to reconciliation—and are accessible through a web application or API.","Financial Services, Lending and Investments, Payments",5.0,Late Stage Venture,2022-03-30,50000000.0,Series C,183000000.0,Private,,,0,2,,5,41,False
204,Oyster,2020-01-01,https://www.oysterhr.com,"Wilmington, Delaware, United States","Employment, Human Resources, InsurTech, SaaS, Software",501-1000,489,"Oyster is on a mission to create a more equal world by making it possible for companies everywhere to hire people anywhere.  The company's HR platform for globally distributed companies enables growing organizations to give valued international team members the experience they deserve, without the usual headaches or expense.  Oyster empowers hiring anywhere in the world with reliable, compliant payroll and great local benefits and perks.  Founded in January 2020 by Tony Jamous and Jack Mardack, Oyster is itself a fully remote company with a diverse, globally distributed team.","Administrative Services, Financial Services, Professional Services, Software",4.0,Late Stage Venture,2022-04-20,150000000.0,Series C,224200000.0,Private,,,0,2,,4,42,False
207,Arc Boats,2021-01-01,https://arcboats.com,"Los Angeles, California, United States","Boating, Industrial, Manufacturing",1-10,493,"Arc Boats is an electric boat manufacturer offering a seamlessly connected boating experience. The boats use aerospace-inspired engineering and are designed with custom battery packs for stability, range, and speed.","Manufacturing, Sports",4.0,Early Stage Venture,2023-09-27,70000000.0,Series B,100020000.0,Private,,,,,,3,43,False
216,Iambic Therapeutics,2019-01-01,https://www.iambic.ai,"San Diego, California, United States","Artificial Intelligence, Machine Learning, Software, Therapeutics",51-100,511,"Iambic Therapeutics is disrupting the therapeutics landscape with its unique AI-driven drug-discovery platform. Iambic has assembled a world-class team that unites pioneering AI experts and experienced drug hunters with strong track records of success in delivering clinically validated therapeutics. The Iambic platform has been demonstrated to deliver high-quality, differentiated therapeutics to clinic with unprecedented speed and across multiple target classes and mechanisms of action. The Iambic team is advancing an internal pipeline of clinical assets to address urgent unmet patient needs. Learn more about the Iambic team, platform, and pipeline at iambic.ai.","Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",2.0,Early Stage Venture,2023-10-03,100000000.0,Series B,153000000.0,Private,,,,,,5,44,False
238,Snorkel AI,2019-05-01,https://www.snorkel.ai/,"Redwood City, California, United States","Artificial Intelligence, Enterprise Software, Machine Learning",101-250,573,"Snorkel AI tackles a critical blocker to scaling AI: labeled training data. At Stanford AI lab, our founding team developed an automated way to build AI, replacing slow & costly hand-labeling. Today, Chubb, BNY Mellon, & other Fortune 500 companies accelerate AI development by 10-100x using Snorkel.","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",5.0,Late Stage Venture,2021-08-09,85000000.0,Series C,135250000.0,Private,,,0,3,,5,45,False
239,Charm,2019-10-01,https://charm.sh,"New York, New York, United States","Developer Tools, Information Technology, Open Source, Software",1-10,574,"Charm develops an open-source coding platform, with tools to improve the visual appearance and store data, to read command markdowns while coding. It currently sells three products, including Glow, an open-source terminal-based markdown reader that allows developers to view documentation such as readme files directly from the command line. It also renders markdown to make the text easier to read and allows users to create a private, encrypted documentation library. Toby Padilla and Christian Rocha founded Charm in 2019.","Information Technology, Software",4.0,Seed,2023-11-02,6000000.0,Seed,9500000.0,Private,,,,,,4,46,False
241,MotherDuck,2022-05-01,https://motherduck.com,"Seattle, Washington, United States","Analytics, Database, Machine Learning, Software",11-50,576,"MotherDuck provides data infrastructure and analytics for both small and big data. The company combines DuckDB's elegance and speed with the collaborative and scalable capabilities of the cloud to offer a serverless, user-friendly analytics platform suitable for both small and large datasets.","Artificial Intelligence, Data and Analytics, Software",3.0,Early Stage Venture,2023-09-20,52500000.0,Series B,100000000.0,Private,,,0,0,,2,47,False
249,Jeeves,2019-02-01,https://www.tryjeeves.com/,"Orlando, Florida, United States","Banking, Credit Cards, Financial Services, FinTech, Payments",101-250,587,"Jeeves is a fintech that brings financial solutions to empower businesses globally. Jeeves is building international fintech infrastructure from scratch; this includes a global switching layer across countries and the ability to run all the company spends -- corporate cards, noncard and cross-border payment -- on Jeeves. The company was founded in 2019 and is headquartered in New York, United States.","Financial Services, Lending and Investments, Payments",5.0,Late Stage Venture,2022-03-22,180000000.0,Series C,368000000.0,Private,,,,,,5,48,False
