,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid
92,1build,2019-01-01,https://www.1build.com/,"Mountain View, California, United States","Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Construction, Machine Learning, Software",13402.0,"1build offers the only real-time data platform for construction cost estimates, bringing pricing accuracy and predictability to an ever-changing market. Leveraging a unique team of software engineers and data scientists alongside construction industry veterans, 1build's proprietary API pulls from millions of data points to create a ""periodic table"" of construction elements, using data to standardize the way construction projects are priced. With 1build, builders can manage the entire pre-construction process, from plan upload to bid submission—enabling them to win more bids with best-in-class estimating technology and on-demand support from expert cost estimators. The company was founded in 2019 and is headquartered in Mountain View, California.",11-50,4.0,Early Stage Venture,2021-09-22,14500000.0,Series A,14650000.0,1.0,11-50,Private,,,,,,0,5,2019,90
94,Coiled,2020-01-01,https://coiled.io,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Machine Learning",13416.0,"Coiled is a modern solution for seamlessly scaling data science, machine learning, and AI in Python.",11-50,2.0,Early Stage Venture,2021-05-18,21000000.0,Series A,26000000.0,1.0,11-50,Private,,,,,,0,4,2020,92
104,FutureFit AI,2019-09-01,https://www.futurefit.ai/,"New York, New York, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Human Resources, Internet, Machine Learning",13452.0,"FutureFit AI partners with Fortune 500 companies, governments, and workforce development organizations to provide workers with an AI-powered tool that acts as a ""GPS for your Career"". The platform uses advanced labor market data and equity-focused machine learning algorithms to identify an individual’s ‘starting point’ in the labor market, recommend best fit career path ‘destinations’, and build a personalized roadmap of learning, resources, and work opportunities to successfully guide them from point A to point B.",11-50,2.0,Seed,2022-03-29,4560543.0,Seed,4560544.0,3.0,11-50,Private,,,,,,0,4,2019,102
111,Stack AI,2022-12-01,https://stack-ai.com,"Cambridge, Massachusetts, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Consulting, E-Commerce, Information Technology, Internet, Machine Learning, Software",13490.0,"With Stack AI, any organization can build and deploy custom AI Assistants in minutes.  Our no-code interface allows teams to leverage AI for searching through knowledge bases, automating workflows, and building chatbots. Hundreds of companies use Stack AI to build custom knowledge-base assistants, automate customer support, scrape data from the internet, and analyze large volumes of documents.",11-50,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,2.0,11-50,Private,,,,,,0,1,2022,109
118,APERIO,2019-01-01,http://www.aperio.ai,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Other, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Data Visualization, Infrastructure, Software",13533.0,"APERIO is the leader in industrial data integrity solutions. We help customers drive profitability and sustainability goals while mitigating risk in their industrial operations. While the digital maturity and complexity of an industry varies, every sector, from engineering to operations, requires reliable data that can be trusted. APERIO DataWise automatically validates operational data at scale to improve data accuracy, security, and value, allowing for better, smarter business decisions based on real-time, superior data.",11-50,4.0,Early Stage Venture,2023-08-24,9000000.0,Series A,22000000.0,3.0,11-50,Private,,,0.0,1,,0,5,2019,116
130,AI Squared,2019-12-16,https://squared.ai,"Arlington, Virginia, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Data Collection and Labeling, Information Services, Machine Learning, Software",13563.0,"Our mission at AI Squared is to be a global leader in AI integration providing increased adoption of AI, to impact organizations and lives. We value and believe in equitable access to AI where all people can adopt AI and have access to AI technology and insights regardless of their ethnicity, socio-economic status, educational or career level, work role, age, physical ability, or any other quality. The goal of our AI Squared technology is to level this playing field by providing AI integration technologies that would increase AI adoption and enable access to AI for anyone. This is our story. Dr. Benjamin Harvey was the Chief of Operations Data Science at NSA where he experienced challenges first-hand associated with the inability to adopt AI,  provide equitable access to AI, and unlock the value of AI for intelligence analysts and the military warfighter.  His inspiration came from his two brothers who were Army officers recently deployed to the Middle East (Kuwait, Iraq and Qatar) and SW Asia (Afghanistan and Pakistan) who both relied on intelligence to achieve mission. He began a journey and developed a solution to solve these inequities that simplifies and accelerates AI integration into applications ultimately protecting lives of Americans and military warfighters in similar situations as his brothers.   Our vision is to build the world’s most powerful model integration framework and AI integration software which enables any application to become AI-powered. For the first time ever data scientists can describe their models using our model integration framework and our AI integration software will overlay intelligence from inference results directly into a pre-existing web application.  We provide application developers with a software (e.g. SDK) and analysts with a no/low-code solution to customize the user experience",11-50,1.0,Seed,2022-06-27,6000000.0,Seed,6000000.0,1.0,11-50,Private,,,,,,0,4,2019,128
142,Securden,2018-10-01,https://www.securden.com,"Newark, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Software",13617.0,"Securden is a Windows Privilege Management Software.We help organizations prevent malware, insider threats, and cyberattacks leveraging the power of ML & AI.IT security sphere has always been synonymous with sky high pricing, complexity and undue dependence on consultancy services. Companies often have to choose between a complicated and super-expensive solution and a super-complicated and expensive one.Securden was founded with a rebellious spirit to shake the status quo and make security software simple to deploy, easy-to-use and highly affordable - all the while adopting latest technologies in cyber security and delivering innovative solutions. Led by a team of seasoned IT security professionals with more than 40 years of combined experience in core IT security, we operate with razor sharp focus on proactive security aspects to deliver products that help prevent security breaches in organizations globally.",51-100,3.0,Early Stage Venture,2022-04-13,10509452.0,Series A,11709452.0,2.0,51-100,Private,,,,,,0,5,2018,140
156,Numbers Station,2021-01-01,https://numbersstation.ai,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Industrial Automation, Software",13678.0,,11-50,2.0,Early Stage Venture,2023-03-20,12500000.0,Series A,17500000.0,1.0,11-50,Private,,,,,,0,3,2021,154
157,Plunk,2019-04-01,https://www.getplunk.com,"Bellevue, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Real Estate, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Computer Vision, Image Recognition, Machine Learning, Real Estate, Software",13681.0,"Plunk is an analytics platform that helps homeowners, real estate professionals, and investors value and invest in residential real estate. It tracks an individual home’s price in real time and represents a new level of both comprehensiveness and transparency. Plunk’s real-time solutions are accessed by consumers, real estate professionals, and the investment community via a suite of data and software products, across both web and mobile platforms.   It was founded by Brian Lent and David Bluhm in 2019 and is based in Bellevue, Washington, United States.",11-50,7.0,Seed,2023-06-01,0.0,Seed,6500000.0,2.0,11-50,Private,,,,,,1,4,2019,155
169,Akooda,2020-11-01,https://www.akooda.co/,"Cambridge, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), IT Management, Software",13725.0,"Akooda offers teams to ensure that they are working on what truly moves the needle, gain end-to-end visibility to an effort’s lifecycle, get clarity without the overhead, profitability shouldn’t be so painful, security and privacy first services.",11-50,4.0,Seed,2023-07-25,11000000.0,Seed,11000000.0,1.0,11-50,Private,,,0.0,1,,0,3,2020,167
170,Right-Hand Cybersecurity,2019-04-01,https://right-hand.ai,"Lewes, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Information Services, Information Technology, Risk Management, SaaS, Software",13726.0,"With 90% of data breaches occurring due to employee error, Right-Hand helps enterprises personalize and automate employee awareness programs to more effectively reduce human risk, build cyber culture and meet compliance standards.",11-50,2.0,Early Stage Venture,2023-03-28,5000000.0,Series A,6000000.0,2.0,11-50,Private,,,,,,0,4,2019,168
174,Midjourney,2022-07-12,https://midjourney.com,"South San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software","Art, Artificial Intelligence (AI), Content, Generative AI, Machine Learning",13731.0,"Midjourney is an artificial intelligence-powered artwork generator. It explores new thought mediums and expands the human species' imaginative powers. It is a small self-funded team focused on design, human infrastructure, and artificial intelligence.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,1,2022,172
175,Treat AI,2021-01-01,https://trytreat.ai,"New York, New York, United States","Artificial Intelligence (AI), Commerce and Shopping, Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Creative Agency, E-Commerce, Marketing",13742.0,AI-generated ad creative that's on brand and on target.  Generate more targeted creative in less time to maximize engagement and conversions.,1-10,3.0,Seed,2023-04-04,8500000.0,Seed,15024925.0,2.0,1-10,Private,,,,,,0,3,2021,173
181,Gemini Sports Analytics,2021-01-01,https://geminisports.co,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Sports","Analytics, Artificial Intelligence (AI), Data Management, Information Technology, Sports",13798.0,Gemini Sports Analytics develops a data management platform for sports management. Its platform utilizes artificial intelligence-based predictive analytics tools to help sports managers improve athlete welfare and enhance their performance.,1-10,3.0,Seed,2023-11-03,3250000.0,Seed,10495161.0,,1-10,Private,,,,,,0,3,2021,179
182,Heyday,2021-01-01,https://heyday.xyz,"San Francisco, California, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Knowledge Management, Productivity Tools, Software",13799.0,"Heyday is an AI copilot that transforms your documents, notes, and conversations into quotes, shareable content, and a queryable database.",1-10,2.0,Seed,2022-06-28,6500000.0,Seed,6500000.0,2.0,1-10,Private,,,,,,0,3,2021,180
183,Portrait Analytics,2022-01-01,https://portrait-analytics.com,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Design, Financial Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Financial Services, Generative AI, Market Research",13801.0,"Portrait Analytics creates a generative AI tool that serves as a research assistant and enables analysts to accelerate and deepen powerful investment research and make investments. The company provides tools such as a Q&A-based search that answers queries using filings and research, stock chart case studies, stock ideas and recommendations, and qualitative and quantitative criteria screeners.",1-10,2.0,Seed,2023-07-20,7000000.0,Seed,10000000.0,1.0,1-10,Private,,,,,,0,2,2022,181
184,Profluent Bio,2022-01-01,https://www.profluent.bio/,"Berkeley, California, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology",13824.0,"Profluent Bio is an AI-first protein design company that designs novel, optimal proteins that bypass existing barriers in industry.",1-10,1.0,Seed,2022-08-25,9000000.0,Seed,9000000.0,1.0,1-10,Private,,,,,,0,2,2022,182
198,Upwage,2022-01-01,https://www.upwage.com/,"Columbus, Ohio, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Data Integration, Information Technology",13886.0,"Upwage is a job posting platform where the hourly wage is included. Jobs listings can also be sorted by salary, occupation, and title. It aims to create $1 trillion in new wealth for the 44% of Americans who earn less than $16 per hour by harnessing the power of big data and artificial intelligence.",1-10,2.0,Seed,2023-07-01,7250000.0,Seed,9237500.0,2.0,1-10,Private,,,,,,0,2,2022,195
216,Outset,2022-01-01,https://outset.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",13972.0,,1-10,2.0,Seed,2023-10-26,3800000.0,Seed,4900000.0,2.0,1-10,Private,,,,,,0,2,2022,213
249,Skypoint,2020-05-05,https://skypoint.ai,"Beaverton, Oregon, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Health Care, Information Technology, Internet Services, Real Estate, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Integration, Health Care, Machine Learning, Real Estate, Rental, Rental Property",14145.0,"SkyPoint aims to seamlessly integrate data and AI through a robust SaaS platform, anchored by Data Lakehouse architecture and specialized Large Language Models (LLMs). Our primary focus is on healthcare and regulated sectors, including senior living, long-term care, home care, and value-based care solutions.",51-100,2.0,Seed,2021-09-10,7500000.0,Seed,10000000.0,1.0,51-100,Private,,,,,,0,3,2020,246
264,Headroom,2020-01-01,https://www.goheadroom.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software","Artificial Intelligence (AI), Internet, Software, Video Conferencing",14214.0,"Headroom is a virtual meeting interface that empowers people to do what they do best -- form relationships, think creatively, solve problems -- while letting AI take care of the rest.",11-50,3.0,Seed,2023-01-01,0.0,Seed,14000000.0,3.0,11-50,Private,,,1.0,2,Electric Communication Technique,1,4,2020,261
266,Modyfi,2021-08-01,https://modyfi.com,"Los Angeles, California, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Photo Editing, Productivity Tools, Software",14215.0,"The image editor you’ve been waiting for. AI-native design, powerful creative tools, and real-time collaboration. All in your browser.",1-10,3.0,Seed,2023-08-23,7000000.0,Seed,16054000.0,2.0,1-10,Private,,,,,,0,2,2021,263
273,NetSpring,2019-10-01,https://www.netspring.io/,"Redwood City, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), SaaS, Software",14240.0,"With 80% of product analytics done outside first-generation tools and needing the help of Data & Analytics teams, it’s time to rethink product analytics. NetSpring's next-generation product analytics solution brings the exploratory power of BI to product analytics, working directly off your data warehouse. - Self-serve answers to any question, starting from a rich library of reporting templates, through ad hoc visual data exploration  - Combine product instrumentation with any business data in your data warehouse for context-rich analytics - Avoid writing and maintaining complex SQL for funnel/path-type queries, but have the option of leveraging SQL for specialized analysis  Get started today!  https://www.netspring.io/register/",11-50,2.0,Early Stage Venture,2021-07-22,13000000.0,Series A,17700000.0,4.0,11-50,Private,,,,,,0,4,2019,270
282,Kubiya.ai,2022-05-22,https://www.kubiya.ai/,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Security, DevOps, IT Infrastructure, Natural Language Processing, Software",14286.0,"Kubiya.ai is a DevOps virtual assistant for cloud operations. With conversational AI, give developers secure, self-service access to operational workflows, cloud resources, and organizational knowledge. The company's conversational AI helps organizational users with a self-service option, allowing them to express their intent in natural language and have the virtual assistant take appropriate action by automating simple and tedious tasks. It allows users to enhance their workflows and boost business productivity. Kubiya.ai was founded in 2022 and is based in Palo Alto, California.",1-10,2.0,Seed,2022-10-18,6000000.0,Seed,6000000.0,2.0,1-10,Private,,,,,,0,1,2022,279
291,Kaito,2022-05-20,https://www.kaito.ai/,"Seattle, Washington, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Cryptocurrency, Information Technology, Machine Learning, Software",14320.0,"Kaito is an AI-powered search engine for digital assets. We utilize advanced in-house AI technologies to transform terabytes of information into actionable insights for crypto investors, researchers, developers, and the general public. Our goal is to democratize information in the crypto industry.",11-50,2.0,Early Stage Venture,2023-06-22,5500000.0,Series A,10800000.0,1.0,11-50,Private,,,,,,0,1,2022,288
292,Nextmv,2019-07-19,https://nextmv.io/,"Philadelphia, Pennsylvania, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Developer Platform, Logistics, Software, Supply Chain Management",14328.0,"Nextmv is a developer platform for automating and optimizing decisions that drive business operations — from vehicle routing to workforce scheduling and more. With Nextmv's flexible APIs, developers can quickly build, test, and deploy decision services in modern technology stacks at speed and scale. Nextmv is a globally distributed Series A startup backed by FirstMark Capital, RTP Global, Dynamo Ventures, Y Combinator, and leaders from Stripe, Twilio, GitHub, and Seamless.",11-50,4.0,Early Stage Venture,2022-11-20,8000000.0,Series A,19385000.0,2.0,11-50,Private,,,,,,0,4,2019,289
314,Sift,2021-01-01,https://www.siftstack.com,"El Segundo, California, United States","Artificial Intelligence (AI), Data and Analytics, Software","Machine Learning, Software",14455.0,Sift offers transformative tools for machine creators to innovate at speed and scale.,11-50,2.0,Seed,2023-11-07,7500000.0,Seed,7500000.0,2.0,11-50,Private,,,,,,0,3,2021,309
327,BioPhy,2019-01-01,https://www.biophy.ai,"Philadelphia, Pennsylvania, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology",14535.0,,1-10,1.0,Seed,2023-11-07,4500000.0,Pre-Seed,4500000.0,,1-10,Private,,,0.0,1,,0,5,2019,321
335,NimbleEdge,2021-09-01,https://www.nimbleedge.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Software","Machine Learning, Software",14600.0,"NimbleEdge is the leading on-device machine learning platform, which enables real-time personalization on mobile apps to deliver tailored user experiences. Our platform enables model training, data processing as well as inference to be executed on user devices, resulting in lower cloud costs and guaranteed preservation of user privacy. Headquartered in San Francisco, we work with some of the largest mobile app enterprises across India and the US. We have helped our clients unlock millions of dollars through real-time personalization driven revenue uplifts and cloud cost savings.",1-10,2.0,Seed,2022-02-09,3324951.0,Seed,3324951.0,1.0,1-10,Private,,,0.0,0,,0,2,2021,329
341,PredictAP,2020-06-30,https://predictap.com/,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Internet Services, Software","FinTech, Internet, Machine Learning, Software",14639.0,"PredictAP leverages the power of machine learning to automate the accounts payable and payment processing needs of large real estate investment funds and property managers at a fraction of the cost of traditional systems. The company was founded in June 2020 by David Stifter and Russell Franks and is based in Boston, Massachusetts.",11-50,1.0,Early Stage Venture,2024-01-17,8000000.0,Series A,8000000.0,3.0,11-50,Private,,,,,,0,3,2020,335
351,Kinetic Automation,2021-01-01,https://www.kinetic.auto,"Orange, California, United States","Artificial Intelligence (AI), Hardware, Media and Entertainment, Science and Engineering, Software","Art, Hardware, Robotic Process Automation (RPA), Robotics, Software",14685.0,,11-50,1.0,Early Stage Venture,2023-10-05,10000000.0,Series A,10000000.0,,11-50,Private,,,,,,0,3,2021,345
363,SimpliContract,2020-01-01,https://simplicontract.com,"Pleasanton, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Contact Management, Legal Tech, Productivity Tools, SaaS",14764.0,"SimpliContract is an AI and SaaS-based contract lifecycle management platform for authoring and managing contracts. SimpliContract helps companies in increasing revenue, lowering risk, improve compliance, lowering expenses, and increasing productivity. SimpliContract is on a mission to use artificial intelligence to democratize contracting and build powerful contract management processes. It supports in-house legal, sales, finance, and procurement teams throughout the contract lifecycle, enabling successful communication between internal and external players.",51-100,2.0,Early Stage Venture,2023-04-12,3500000.0,Series A,5300000.0,3.0,51-100,Private,,,0.0,0,Computing; Calculating,0,4,2020,357
