,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped
11707,Greelance,2022-01-01,https://greelance.com/,"College Park, Georgia, United States","Administrative Services, Blockchain and Cryptocurrency, Commerce and Shopping, Internet Services, Professional Services","Marketplace, Recruiting, Staffing Agency, Web3",83740.0,"GREELANCE is one of the Top Online Freelancing Marketplaces, bringing leading companies and Brilliant Minds together to work at a better pace. GREELANCE’S forward-thinking business leaders evolve Web3.0 tech to build and grow existing businesses that aim to capitalize on crypto opportunities. The world’s best companies and startups leverage GREELANCE to hire expert Developers, IT Experts, Engineers, Digital Marketers, Designers, Technical Writers, and many other professionals. It’s also providing the opportunity to get AI-based referral commissions. For more information or to get started on GREELANCE, go to https://greelance.com/ and steer your growth faster than ever before.",11-50,1.0,Seed,2022-05-09,200000.0,Pre-Seed,200000.0,1.0,11-50,Private,,,,,,0,2,2022,11307,True
13800,Glowbar,2019-01-01,https://www.glowbar.com,"New York, New York, United States","Consumer Goods, Health Care, Other","Beauty, Consumer, Health Care, Personal Health, Wellness",99865.0,"Glowbar is a beauty company that offers 30-minute skincare treatments for consumers. As part of its commitment to creating an environment that drives results for everyone, all Glowbar treatments are powered by expertly trained estheticians and standardization technology. It delivers a no-fluff approach with trusted experts to provide a results-driven alternative in the fragmented facial industry.  Glowbar was founded in 2019 and is based in New York.",101-250,1.0,Early Stage Venture,2023-01-04,10000000.0,Series A,10000000.0,2.0,101-250,Private,,,0.0,2.0,,0,5,2019,13267,True
6553,Den,2022-01-01,https://www.onchainden.com/,"New York, New York, United States","Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, FinTech, Transaction Processing",48597.0,Den develops an online platform to get multi-signature transactions signed fast. Its platform supports the crypto-native teams for building and signing on-chain transactions fast and accurately. The company was founded in 2022 and is headquartered in New York.,1-10,1.0,Seed,2023-02-22,2800000.0,Seed,2800000.0,,1-10,Private,,,0.0,1.0,,0,2,2022,6398,True
5079,Pronti AI,2021-02-25,https://www.pronti.com,"Smyrna, Delaware, United States","Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software","Apparel, Artificial Intelligence (AI), Consumer Software, E-Commerce, Machine Learning, Retail Technology, Software",39790.0,"*Over 1M downloads* Pronti is changing how we search for Apparel and Accessories.  Getting personalization right for Retailers is a $1 Trillion dollar* opportunity but Retailers leave this on the table because they lack the necessary data. The Pronti mobile app fills this gap by collecting unique data, capturing consumer purchase intent and transforming shopping search. Six machine learning algorithms in the background allow our consumers to experience easy closet uploads, outfit inspiration, and the only place where consumers can shop with their existing closet items. Pronti is impacting UN Sustainability Goal 12: Responsible Consumption and Production through individual closet utilization and providing data for retailers to optimize production.",1-10,3.0,Seed,2023-05-01,0.0,Non-equity Assistance,660000.0,2.0,1-10,Private,,,0.0,2.0,,1,3,2021,4975,True
3799,Nuvig Therapeutics,2021-01-01,https://www.nuvigtherapeutics.com,"Redwood City, California, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Therapeutics",32731.0,"Nuvig Therapeutics is advancing innovative and transformational therapies that are designed to induce natural mechanisms to restore immune homeostasis, rebalance immune function following inﬂammation, and improve the treatment options for patients. Nuvig is building a pipeline of novel immune therapeutics for chronic inflammatory and autoimmune diseases.",11-50,1.0,Early Stage Venture,2022-05-11,47000000.0,Series A,47000000.0,1.0,11-50,Private,,,,,,0,3,2021,3727,True
10878,Louisiana Pepper Exchange,2020-01-01,https://lapepperexchange.com/,"New Orleans, Louisiana, United States","Food and Beverage, Manufacturing","Food and Beverage, Food Processing, Manufacturing",77628.0,"Louisiana Pepper Exchange imports and manufactures chili pepper variety. It specializes in providing pepper mash, pepper purees, and pepper powders to the kitchen, co-packers, and sauce makers. The New Orleans, Louisiana-based company was founded",51-100,2.0,Private Equity,2021-03-17,0.0,Private Equity,3250000.0,2.0,51-100,Private,,,2.0,1.0,Physical Or Chemical Processes Or Apparatus In General,1,4,2020,10530,True
15363,Extra,2018-10-04,https://www.poweredbyextra.com/,"New York, New York, United States",Commerce and Shopping,Marketplace,112786.0,"Extra is a marketplace that connects brands' hospitality locations. For the purpose of finding products for the mini-bar, retail area, amenities, or furniture, Extra collaborates with boutique hotels, short-term rentals, wellness centers, and co-working spaces. Through a single portal, brands have access to the most sought-after hospitality locations for additional distribution and marketing opportunities.",1-10,2.0,Seed,2019-03-04,900000.0,Pre-Seed,900000.0,2.0,1-10,Private,,,0.0,1.0,,0,5,2018,14711,True
8942,Juniver,2023-01-01,https://www.joinjuniver.com,"New York, New York, United States",Health Care,Health Care,63848.0,"Juniver provides on-demand help, specialized care, and a supportive network for long-term recovery from eating disorders.",1-10,2.0,Seed,2023-06-07,60000.0,Grant,1060000.0,,1-10,Private,,,,,,0,1,2023,8690,True
99,Ozlo Sleep,2022-01-01,https://ozlosleep.com,"Northborough, Massachusetts, United States","Consumer Electronics, Consumer Goods, Hardware","Consumer Electronics, Consumer Goods",13433.0,"Ozlo Sleep is a science-driven sleep and audio technology company that supports and simplifies sleep rituals for clinical benefits, without the use of medication.",11-50,1.0,Early Stage Venture,2023-08-03,10000000.0,Series A,10000000.0,,11-50,Private,,,,,,0,2,2022,97,True
4279,VRGL,2021-01-01,https://www.vrglwealth.com/,"Dallas, Texas, United States","Data and Analytics, Information Technology, Media and Entertainment, Professional Services","Advice, Analytics, Consulting, Information Services",35370.0,"VRGL provides wealth management firms with institutional-grade analytics and automated data extraction to help them accelerate the Client Acquisition, Proposal Management, and Retention process (""CAPM & R""). VRGL enables advisors to quickly demonstrate how and why they add value by providing clients with a comprehensive view of their consolidated investment picture. VRGL's technology, founded by institutional wealth management industry pioneers, allows advisors to seamlessly aggregate all client investment data and provides a no-touch analytics package that allows the advisor to contextualize their own investment offerings and advice.",11-50,1.0,Early Stage Venture,2022-08-30,15000000.0,Series A,15000000.0,1.0,11-50,Private,,,0.0,2.0,,0,3,2021,4195,True
4961,Intraprise Health,2018-05-01,https://intraprisehealth.com/,"Yardley, Pennsylvania, United States","Health Care, Information Technology","Health Care, Information Technology, Medical",39160.0,"Intraprise Health provides secure, insightful access to the information required to protect and engage with your health consumers. Protecting your patients and your data the company give the insight you need and the security you require.",11-50,3.0,,2023-06-06,2000002.0,Venture - Series Unknown,10400002.0,1.0,11-50,Private,,,0.0,1.0,,1,5,2018,4859,True
2780,Biodock,2020-01-01,https://www.biodock.ai,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Machine Learning",27188.0,"Biodock's cloud platform accelerates microscopy analysis, automating months of microscopy analysis and infrastructure to minutes with our end-to-end AI architecture. Scientists enjoy auto-scaling storage, GPU compute, and 30-50% more accurate analysis.  We also have a data flywheel built into our product - we process millions of cells weekly for our free academic and enterprise customers, and we're building the largest image dataset for microscopy images, which gives us a competitive data advantage.",1-10,2.0,Seed,2021-03-29,2100000.0,Pre-Seed,2100000.0,2.0,1-10,Private,,,0.0,1.0,,0,4,2020,2727,True
6339,Knock Knock,2018-06-01,http://www.knock-knock.us,"San Francisco, California, United States","Apps, Gaming, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Casual Games, Gaming, Messaging, Mobile Apps, Social Media, Video Games",47227.0,"Knock Knock is a developer of frictionless games and technologies. We are a passionate team of game makers who believe that rapidly-developing frictionless technologies such as HTML5 and 5G will be a force of change in the gaming industry - leading to more viral user acquisition and new, instant social gameplay mechanics created by bypassing traditional app stores. Knock Knock is headquartered in San Francisco with a studio in Toronto. The team was founded by folks from Zynga, Jam City, Glu Mobile, N3twork, and MZ. We’ve raised a total of $6 million in funding, with March Capital Partners leading the Series A in August of 2019. Investors also include games specialists London Venture Partners, Raine Ventures, and Ludlow Ventures.  Development is extremely fast-paced, independent and agile. Instead of shipping new products in years, we're doing it in weeks or months, and pushing features faster than ever with maximum autonomy to contributors. Even though these games are lighter, and developed faster, we are thoughtful about the systems and polish of our games to ensure we reach our goal: maximize player retention and virality. Our Values:  - Stay small, and move fast. - Be weird. - Grow and learn by shipping. - Learn from mistakes, and don't get sad about failure. - Minimize BS, and focus on building great games.",11-50,2.0,Early Stage Venture,2019-08-29,4000000.0,Series A,6000000.0,3.0,11-50,Private,,,0,32.0,,0,5,2018,6192,True
10749,Finary,2020-04-01,https://finary.io,"New York, New York, United States","Financial Services, Internet Services, Lending and Investments","Asset Management, FinTech, Social Network, Trading Platform",76782.0,"Finary is a messaging platform for investors. A place where people come together to talk about their investments, hangout, and more.",1-10,3.0,Seed,2021-12-26,0.0,Seed,3325000.0,4.0,1-10,Private,,,,,,1,3,2020,10407,True
11870,Aperture bio,2022-01-01,https://aperture.bio/,"Allston, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Life Science",85040.0,,11-50,1.0,Seed,2023-08-22,120000.0,Pre-Seed,120000.0,,11-50,Private,,,,,,0,2,2022,11461,True
21313,OculusIT,2018-05-23,http://www.oculusit.com,"Miami, Florida, United States","Apps, Education, Information Technology, Internet Services, Privacy and Security, Professional Services, Software","Cloud Computing, Cyber Security, Enterprise Applications, Higher Education, IT Infrastructure, IT Management, Outsourcing",171896.0,"Higher education's high-touch, customer-centric IT services partner of choice. We are the leaders in cost-effective, responsive and flexible IT Leadership; Managed ERP, Security and Infrastructure Services; and 24x7 Operations.",101-250,5.0,,2023-07-15,0.0,Venture - Series Unknown,0.0,1.0,101-250,Private,,,,,,3,5,2018,20014,True
14008,Area4 Labs,2018-10-31,https://www.hearby.com,"Cambridge, Massachusetts, United States","Media and Entertainment, Music and Audio",Music,101416.0,"Hearby is a live music discovery app providing information on live music shows in Boston, New York City, San Francisco and the Bay Area, and Austin than any other source, reaching across the diverse music scenes: from pedal guitarists to techno DJs; from hip-hop ciphers to Irish jam sessions; from experimental sound artists to cover bands.",11-50,2.0,Seed,2021-04-08,1500000.0,Seed,2530000.0,3.0,11-50,Private,,,,,,0,5,2018,13458,True
8389,Groundwork,2019-01-01,https://hellogroundwork.com/,"Indianapolis, Indiana, United States","Hardware, Real Estate, Software","3D Technology, Construction, Virtual Reality",60074.0,Groundwork is a conversion system for home improvement contractors who want to win the right leads for their business. They provides a video and text-based collaboration tool to speed up the sales process and increase win rates.,1-10,5.0,Seed,2023-07-24,1000000.0,Pre-Seed,1000000.0,1.0,1-10,Private,,,,,,0,5,2019,8159,True
8748,ZYNC,2019-10-01,https://www.zync.com,"San Francisco, California, United States","Apps, Mobile, Software, Transportation","Apps, Automotive, Mobile Apps",62389.0,Developer of an end-to-end software platform to deliver the needs of passenger experience for autonomous vehicles. The company modernizes cars to include new functionality such as video playback through a software-only integration.,11-50,1.0,Seed,2020-09-16,2900000.0,Seed,2900000.0,1.0,11-50,Private,,,,,,0,4,2019,8501,True
5932,Realfinity,2022-06-01,https://realfinity.io/,"Miami, Florida, United States","Financial Services, Information Technology, Real Estate, Software","Finance, Financial Services, FinTech, Information Services, Lending, Mortgage, Personal Finance, Real Estate, Residential, Software",44810.0,"Purpose: Realfinity is a loan origination and processing platform. Mortgages are becoming increasingly uniform, which limits consumer choice and raises costs. This uniformity also intensifies competition in lenders’ sales and marketing, further increasing expenses for homeowners. Meanwhile, the industry is complex and heavily regulated, making it challenging for new businesses to enter and drive change. Realfinity is transforming how mortgages are being offered, sold, and distributed by reducing compliance and technology barriers in the industry. As an enabling infrastructure provider, we support professionals and businesses in offering mortgage services through our origination and processing platform – promoting growth, affordability and simplicity for all.",11-50,1.0,,2022-07-12,2000000.0,Convertible Note,2000000.0,1.0,11-50,Private,,,0,3.0,,1,1,2022,5799,True
5044,Kidas,2019-01-01,https://www.kidas.net/,"Philadelphia, Pennsylvania, United States","Community and Lifestyle, Gaming, Health Care, Information Technology, Privacy and Security","Child Care, Children, Console Games, Cyber Security, Information Technology",39608.0,"Kidas analyzes all communications on children's gaming consoles and alerts parents about potentially dangerous activities in video games. It envisions a future where kids can safely navigate the digital world but recognize that there are still many threats to children online that they want to help the parents, help kids avoid them. Kidas is a tool that alerts parents of potentially dangerous activities in their child's digital life. It was founded in 2019 and is headquartered in Philadelphia, Pennsylvania.",1-10,3.0,,2022-01-25,0.0,Corporate Round,2120000.0,1.0,1-10,Private,,,0.0,1.0,,2,5,2019,4940,True
9750,Greencare Collective,2020-01-01,https://gcc-brands.com/,"West Millbury, Massachusetts, United States","Community and Lifestyle, Food and Beverage, Health Care, Manufacturing","Alternative Medicine, Cannabis, Manufacturing, Wellness",69395.0,"Greencare Collective operates 100,000-square-foot cultivation, manufacturing, and processing facility. The company is headquartered in Millbury, Massachusetts, United States.",1-10,1.0,,2022-03-08,650000.0,Debt Financing,650000.0,1.0,1-10,Private,,,,,,1,4,2020,9454,True
4371,lockr,2021-09-01,https://loc.kr,"New York, New York, United States","Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software","Email, Identity Management, Privacy, Productivity Tools",35962.0,"lockr is the first consumer-focused platform for identity, consent and data.  The value exchange of the Internet – trading user data for subsidized access to digital content – was originally negotiated without consumers at the table. the impending deaths of the cookie and the device ID present a unique opportunity to redefine this model and incorporate consumer choice and consent into the equation. lockr is building the means for this revolution: a universal digital identity solution for tomorrow’s consumer that is congruent with the Internet economy.",1-10,1.0,Seed,2022-12-25,2500000.0,Pre-Seed,2500000.0,1.0,1-10,Private,,,,,,0,2,2021,4287,True
10354,Webvar,2023-04-20,https://webvar.com,"Seattle, Washington, United States",Software,Software,73729.0,"Empowering resellers, ISVs and buyers to more transparent and efficient commerce on cloud Marketplace",1-10,1.0,,2023-04-20,250000.0,Convertible Note,250000.0,1.0,1-10,Private,,,,,,1,0,2023,10032,True
6149,BOND,2022-01-01,https://www.joinbond.co/,"Los Angeles, California, United States","Commerce and Shopping, Internet Services, Sales and Marketing","Content Marketing, E-Commerce Platforms, Shopping",46036.0,,1-10,1.0,Seed,2023-06-06,2000000.0,Pre-Seed,2000000.0,,1-10,Private,,,,,,0,2,2022,6009,True
3072,Standard Biocarbon,2020-01-01,https://www.standardbiocarbon.com/,"Portland, Maine, United States","Agriculture and Farming, Energy, Natural Resources, Other, Sustainability","Biomass Energy, Commercial, Farming",28792.0,"Standard Biocarbon is a manufacturer of a near-pure carbon commodity for farming and construction. Its purpose-made, clean, source-verified biomass helps clients to improve the digestive biome in ruins, increase nutrient uptake, and reduce methane production.",1-10,3.0,Seed,2023-12-21,5000000.0,Seed,10958317.0,2.0,1-10,Private,,,,,,0,4,2020,3016,True
12598,Maverick Space Systems,2019-02-01,https://www.maverickspace.com,"San Luis Obispo, California, United States","Consumer Electronics, Hardware, Science and Engineering, Transportation","Aerospace, Electronics, Space Travel",90382.0,"Maverick Space SystemsMaverick Space Systems offers satellite deployment hardware as well as integration and launch brokering services. The company was founded in 2019 and is headquartered in San Luis Obispo, California.",1-10,1.0,,2020-08-07,275973.0,Grant,275973.0,1.0,1-10,Private,,,,,,1,5,2019,12143,True
4583,Nanotech,2019-01-01,https://thenanoshield.com/,"Houston, Texas, United States","Energy, Manufacturing, Science and Engineering","Advanced Materials, Energy, Nanotechnology",37139.0,Nanotech is a material science company that focuses on using Nano Technology to fireproof and reduce global energy consumption.,101-250,2.0,Seed,2023-07-31,0.0,Seed,5000000.0,2.0,101-250,Private,,,,,,1,5,2019,4492,True
5894,CharmVerse,2021-01-01,https://www.charmverse.io/,"White Plains, New York, United States","Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Software",44589.0,Join discord for early access https://discord.gg/ACYCzBGC2M,1-10,1.0,Seed,2022-01-22,3500000.0,Pre-Seed,3500000.0,,1-10,Private,,,,,,0,3,2021,5762,True
5279,Fleet Defender,2022-01-01,https://fleetdefender.com,"Omaha, Nebraska, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Fleet Management, Network Hardware, Network Security",40849.0,"Fleet Defender is a vehicle cybersecurity company. The company provides real-time monitoring, detecting, and alerting on safety critical anomalies like cyber attacks, and imminent maintenance issues. In order to install Fleet Defender technologies on satellites, airplanes, and submarines, Fleet Defender explores contracts with the United States Space Force, United States Air Force, and United States Navy.",1-10,2.0,Seed,2024-01-17,775000.0,Seed,2025000.0,,1-10,Private,,,,,,0,2,2022,5169,True
4014,Gander,2021-01-01,https://www.gogander.io/,"Los Angeles, California, United States","Media and Entertainment, Software, Video","Content, Software, Video",33824.0,Gander collects and embeds user-generated video content into retail sites so shoppers can see what a product looks like in real life.,1-10,1.0,Seed,2022-06-09,4200000.0,Seed,4200000.0,1.0,1-10,Private,,,,,,0,3,2021,3935,True
9046,Fyrii,2020-02-06,https://www.fyrii.com/,"Cupertino, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Internet, Software",64612.0,Fyrii builds an AI based platform to enable individual experts to brand and monetize their individual innovative potential while driving business growth for organizations,1-10,1.0,Seed,2021-08-23,660000.0,Seed,660000.0,1.0,1-10,Private,,,0.0,1.0,,0,4,2020,8786,True
633,TENYX,2021-06-15,http://www.tenyx.com,"Los Altos, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),16153.0,"Tenyx is delivering intelligent voice AI agents for customer service automation. Leveraging proprietary AI technology, the company is creating integratable solutions that are naturally engaging, capable of understanding context and able to offer the sense of immediacy found in human interactions. Tenyx helps businesses and their employees minimize wait times, boost service productivity and improve customer experience quality.",11-50,1.0,Seed,2022-05-10,15000000.0,Seed,15000000.0,3.0,11-50,Private,,,,,,0,2,2021,618,True
1550,TipLink,2022-01-01,https://tiplink.io,"New York, New York, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Payments",20759.0,"TipLink helps send crypto with a link. Someone with crypto can create a account and send that link to anyone over any platform. It’s like buying a gift card, connect the client's crypto wallet of choice and create a account by depositing how much they want to send.",1-10,1.0,Seed,2023-02-21,6000000.0,Seed,6000000.0,2.0,1-10,Private,,,1.0,0.0,Education; Cryptography; Display; Advertising; Seals,0,2,2022,1520,True
14094,Weddily,2020-04-09,https://weddily.com/,"Laguna Beach, California, United States","Commerce and Shopping, Real Estate, Software","E-Commerce, Marketplace, Real Estate, Software",102203.0,"Weddily is a booking software and marketplace for weddings and events. The company is the first and only wedding tool that can present the full scope and genuine beginning price of a complete wedding at any of the platform's hundreds of unique venues. Users can easily search for and swap essential vendors, as well as upgrade or downgrade the services supplied by each vendor.",11-50,2.0,,2022-05-13,0.0,Venture - Series Unknown,645000.0,1.0,11-50,Private,,,,,,2,3,2020,13535,True
6323,MedaSystems,2021-01-01,https://medasystems.com/,"Menlo Park, California, United States","Biotechnology, Health Care, Science and Engineering, Software","Biopharma, Pharmaceutical, Software",47113.0,MedaSystems makes it easy for life science companies and health care providers to collaborate on requests for access to experimental therapies.,1-10,3.0,,2024-01-09,0.0,Venture - Series Unknown,1500000.0,1.0,1-10,Private,,,,,,2,3,2021,6177,True
