company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
The Influencer Marketing Factory - Influencer Marketing Agency,2018-10-01,https://theinfluencermarketingfactory.com,"Miami Beach, Florida, United States",Sales and Marketing,Digital Marketing,210041.0,"The Influencer Marketing Factory is a global full-service influencer marketing agency with expertise in TikTok, YouTube and Instagram. Some of our clients: - Sony Music - Universal Music - Google - Snapchat - Warner Music Group - Vestiaire Collective - OYO - Hilton - Corsair - Bigo Live - Ablo - Basic Fun! Our Process: 1. DEFINING WITH OUR CLIENT THE GOALS IN DETAILS We define with our client the goals, needs and KPIs. Then we create together a timeline for all the activities. 2. SELECTING THE MOST RELEVANT INFLUENCERS We define the target audience to hit in terms of: country, interests, gender, age and then we select the best engaging influencers that talk to your target audience. 3. CREATING THE BEST STORYTELLING We create an engaging campaign that can go viral thanks to the selected and vetted influencers that will execute it in a way to maximize conversions. 4. TRACKING EVERYTHING We track everything: reach impressions likes comments swipe-ups link clicks and we create an in-depth report for you. In this way, we will have everything to calculate the ROI of the activity.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2018,22891,False,False
Tangle,2020-01-01,https://www.tangle.work,"New York, New York, United States",Software,Software,635485.0,,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,4,2020,42561,False,False
Climatescape,2020-01-01,https://climatescape.org/,"Walnut, California, United States","Professional Services, Science and Engineering, Sustainability","Environmental Consulting, Environmental Engineering, Sustainability",155155.0,"Climatescape operates a community platform helping people find opportunities to dive into climate through jobs, community, and investment. Its platform is an open directory of organizations working for people to learn about climate solutions and contribute their skills and capital for a sustainable future.",1-10,1.0,Seed,2021-09-14,120000.0,Pre-Seed,120000.0,1.0,1-10,Private,,,,,,0,4,2020,18696,False,False
Influence Hunter,2018-07-22,https://influencehunter.com/,"Los Angeles, California, United States","Advertising, Other, Sales and Marketing","Advertising, Marketing, Small and Medium Businesses",845130.0,"At Influence Hunter, our goal is to make Influencer Marketing affordable for everyone. Traditionally, influencer campaigns have been expensive or inaccessible for growing companies. Excluding the additional fees to run an influencer campaign; influencer marketing platforms themselves cost a minimum of $30,000 to access. For small, mid-size, or even enterprise businesses with a lower budget, this just isn’t feasible. This is where Influence Hunter comes in! By using our extensive digital network and fully customizable campaigns, we give our clients the tools and support to bring their influencer marketing goals to life without breaking the bank.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,5,2018,48465,False,False
eSupport Health,2019-01-01,https://esupporthealth.com/,"New York, New York, United States","Health Care, Media and Entertainment, Other, Professional Services","Customer Service, Digital Media, Health Care",876002.0,"eSupport Health was established in November 2019, as a Delaware Public Benefit Corporation, to provide practical, actionable solutions that improve mental health for people living with MS and other chronic conditions. The company currently offers professional support groups for (1) people living with MS, (2) people newly diagnosed with MS, and (3) loved ones and family members of people living with MS. Groups meet weekly via secure online video and are moderated by experienced coaches who are licensed therapists with MS expertise. The first month is free of charge. eSupport Health also offers free monthly workshops, open to everyone who registers.",1-10,1.0,Seed,2021-04-20,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,,,,2,5,2019,49278,False,False
Discerning Capital,2022-01-01,https://www.discerningcap.com,"Las Vegas, Nevada, United States","Financial Services, Gaming, Media and Entertainment","Financial Services, Media and Entertainment, Online Games",370431.0,"Discerning Capital is a collaborative capital that focuses on the intersection of gambling, technology, sports, and media.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2022,32482,False,False
ViruStar,2020-01-01,https://www.virustarllc.com,"Addison, Texas, United States","Other, Professional Services","Commercial, Environmental Consulting",2321757.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,4,2020,79468,False,False
1st Estimators,2019-01-01,http://1stestimator.com,"Sacramento, California, United States","Administrative Services, Design, Other, Real Estate, Science and Engineering","Civil Engineering, Construction, Interior Design, Project Management",838524.0,"1st Estimators provides services for industrial, residential, and commercial projects. Their service includes estimation take-offs, project management, drawings and drafting, interior and exterior designing, residential estimating services, and industrial estimating services.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,48288,False,False
Behavioral Learning,2020-01-01,https://www.behavioral-learning.com/,"Illinois City, Illinois, United States","Education, Health Care","Health Care, Mental Health, Personal Health, Training",2011457.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,71662,False,False
On-Deck Solutions,2019-01-01,http://on-decksolutions.com/,"Flower Mound, Texas, United States","Information Technology, Professional Services, Software","Consulting, DevOps, Information Technology, IT Infrastructure",1267787.0,,101-250,0.0,,,0.0,,0.0,1.0,101-250,Private,,,,,,6,5,2019,57714,False,False
Tinski Tech,2021-01-01,https://tinskitech.com,"Levittown, New York, United States","Information Technology, Internet Services","Information Technology, Internet of Things, IT Management",2545552.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,82139,False,False
RNB Property Management,2019-01-01,https://www.rnbrentals.com,"Rocklin, California, United States","Financial Services, Real Estate","Leasing, Property Management, Real Estate, Rental Property, Residential",928772.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,50579,False,False
Customer Service Hero,2019-01-01,https://customerservicehero.io,"Tampa, Florida, United States","Other, Professional Services","Consulting, Customer Service, Field Support",2606609.0,"Customer Service Hero solves their customer service challenges in novel ways. They create tailored tools and solutions, training plans, and structured teams for to deploy and return to servicing their consumers.",101-250,0.0,,,0.0,,0.0,,101-250,Private,,,,,,6,5,2019,82779,False,False
Elusive Films,2020-05-01,https://www.elusive-films.com/,"Baltimore, Maryland, United States","Media and Entertainment, Music and Audio, Video","Digital Media, Film Production, Media and Entertainment, Podcast, Video",2418487.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2020,81060,False,False
Homepad Lending,2019-01-01,https://homepadlending.com/,"Phoenix, Arizona, United States","Financial Services, Lending and Investments, Real Estate","Consumer Lending, Financial Services, Lending, Mortgage",983217.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,51939,False,False
Working for Wealth,2021-01-01,https://workingforwealth.org,"Seattle, Washington, United States","Education, Financial Services, Other, Social Impact","Education, Financial Services, Non Profit, Wealth Management",2418808.0,"Working for Wealth provides education for young people about financial literacy and how to manage their money. Their customers contact them through email, mobile, and online applications.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2021,81052,False,False
Lim Living,2019-01-01,https://limliving.com/,"Anaheim, California, United States",Real Estate,"Architecture, Construction",1787259.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,67874,False,False
Well Aware,2020-01-01,https://wearewellaware.com,"Hallandale, Florida, United States","Education, Other, Professional Services","Consulting, Professional Services, Training",1698515.0,"Well Aware offers an automation platform for industrial operations, focusing on making the management of remote operations simpler. The company provides solutions for tracking and monitoring, including filter replacements and tank level monitoring. Their services are designed to transform remote asset monitoring operations, offering notifications for filter replacements based on measured usage. They also provide insights into tank sensors and wireless tank monitoring, helping users to utilize tank level data to enhance their operations. In addition, Well Aware offers coaching services to help individuals organize their work life more effectively.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,66554,False,False
Getmyfunds,2020-01-01,https://www.getsvog.com,"San Francisco, California, United States","Administrative Services, Financial Services, Lending and Investments, Media and Entertainment, Music and Audio, Professional Services","Consulting, Financial Services, Funding Platform, Music, Trade Shows",1308472.0,,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2020,58444,False,False
Ripcord.io,2019-01-01,https://ripcord.io/,"Virginia Beach, Virginia, United States","Information Technology, Professional Services, Software","Consulting, Information Technology, Software",787429.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,46927,False,False
Apte,2019-01-01,https://apte.io,"Denver, Colorado, United States","Data and Analytics, Design, Information Technology, Software","Analytics, Business Intelligence, Data Integration, Data Visualization, Information Technology, SaaS, Software",740534.0,"Apte is insights and analytics SaaS software serving the $2 trillion philanthropic sector.  We integrate across multiple software systems like accounting, donor CRMs, events and marketing to drive key metrics for leaders to understand their organization in real-time and make data-driven decisions.  Our mission is to empower nonprofits to be more impactful, sustainable and transparent.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,45628,False,False
Vegan Sunday Supper,2021-01-01,https://vegansundaysupper.com/,"Los Angeles, California, United States",Food and Beverage,"Food and Beverage, Food Processing, Organic Food",326106.0,"Vegan Sunday Supper is a food production company that offers plant-based Italian cuisine. It was founded in 2021 in Los Angeles, California.",1-10,2.0,Seed,2023-04-01,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,,,,2,3,2021,30212,False,False
Streambed Media,2018-07-06,https://streambedmedia.com,"New York, New York, United States",Data and Analytics,Analytics,380614.0,"Streambed is a publishing tool and analytics engine for the social sharing future. Streambed uses blockchain technology to publish videos to social media platforms and link users' videos together, creating an immutable reputation score independent of the platforms where media is viewed. Here is a quick video on how it works: https://www.instagram.com/p/CBENeRWguLs/?utm_source=ig_web_copy_link",11-50,1.0,Seed,2020-06-03,0.0,Pre-Seed,0.0,3.0,11-50,Private,,,,,,2,5,2018,32975,False,False
Women in Exhibition,2019-01-01,https://womeninexhibition.com/,"Burbank, California, United States","Other, Social Impact",Non Profit,1985042.0,"Women in Exhibition™ is a global cinema network, created to empower women in the exhibition industry.WIE was conceived by a group of forward thought leaders, who have dedicated themselves to the worlds of cinema and beyond. Women worldwide, who in their everyday careers, make significant contributions to a vast market that continues to drive the advancement, development and success of the motion picture and content industries.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,72097,False,False
Carolina Moving Solutions,2020-01-01,https://carolinamovingsolutions.com,"Fort Mill, South Carolina, United States","Administrative Services, Consumer Goods, Other, Real Estate","Commercial, Fast-Moving Consumer Goods, Packaging Services, Residential",2262414.0,"Carolina Moving Solutions offers local and long-distance moving services, residential and commercial moves, packing services, and packing materials. They provide solutions like local movers, long distance residential moves, commercial and office moves, realtor partnerships, packing services, packing materials, and apartment and condo relocations. Their packing solutions include packing materials, moving boxes, packing tape, wardrobes, tissue paper, etc. They offer gently used moving boxes at a discounted price.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2020,77228,False,False
DoubleData,2020-01-01,https://doubledata.io/,"New York, New York, United States","Data and Analytics, Design, Information Technology, Software","Big Data, Business Intelligence, Data Integration, Data Mining, Market Research",766705.0,We help brands around the world by transforming web data into actionable insights that improve business outcomes and enable intelligent decision-making.,11-50,0.0,,,0.0,,0.0,3.0,11-50,Private,,,,,,6,4,2020,46338,False,False
MediCure Financial Solutions,2021-01-01,https://www.medicurefinancialsolutions.com,"Texas, South Carolina, United States","Other, Payments, Professional Services, Software","Billing, Customer Service, Web Development",1792368.0,"MediCure Financial Solutions offers account receivable, prior eligibilities, practice management, revenue cycle management, billing audit, website development, and call center services.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,67754,False,False
Hank,2020-01-01,http://gethank.com,"New York, New York, United States","Apps, Community and Lifestyle, Internet Services, Software","Communities, Online Portals, Social, Web Apps",109134.0,"Hank is a digital platform connecting adults 55+ with people and activities in their community. Hank connects active people online, which leads to offline activities and friendships through curated group activities like pickleball, canasta, skydiving, and more. With Hank, members can find Hank-sponsored events in their area or create their own events to connect with others who share common interests, hobbies, and passions.",11-50,3.0,Seed,2022-06-28,7000000.0,Seed,8250000.0,2.0,11-50,Private,,,,,,0,4,2020,14302,False,False
CheapSSLWeb,2020-06-07,https://cheapsslweb.com/,"Austin, Texas, United States","Information Technology, Privacy and Security","Cyber Security, Information Technology",803289.0,"CheapSSLweb.com authorized partner of Sectigo (formerly known as Comodo) offers the cheapest SSL certificates from globally reputed Certificate Authorities like COMODO, SECTIGO, and CERTERA. We provide all types of SSL & Code Signing certificates like DV certificates, OV, and EV certificates.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2020,47340,False,False
Mangrove Management Partners,2020-01-01,https://www.mangrovemp.com,"Lexington, Massachusetts, United States","Financial Services, Health Care, Lending and Investments","Health Care, Venture Capital",309922.0,"Mangrove Management Partners focuses on safety, compliance, and best practices across clinical care and business management. The firm was founded in 2020 and is headquartered in Lexington, Massachusetts.",11-50,1.0,Early Stage Venture,2021-10-22,0.0,Series B,0.0,1.0,11-50,Private,,,,,,2,4,2020,29301,False,False
INTRVL,2021-01-01,https://www.intrvl.us,"New York, New York, United States","Data and Analytics, Media and Entertainment, Professional Services","Consulting, Digital Media, Test and Measurement",326343.0,,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2021,30219,False,False
Ubasti,2021-03-31,https://ubasti.io/,"Virginia Beach, Virginia, United States","Blockchain and Cryptocurrency, Clothing and Apparel, Community and Lifestyle, Design, Media and Entertainment, Other, Software","Adult, Blockchain, Content, Fashion, Software",154197.0,"Ubasti allows models and aspiring models to monetize their content using blockchain NFT technology.Models can also create free profiles and connect directly with sponsors, content creators and fans without a middle man.",1-10,1.0,Seed,2021-05-01,200000.0,Seed,200000.0,,1-10,Private,,,,,,0,2,2021,18615,False,False
Alic Consulting,2020-01-01,https://www.alicconsulting.com,"Carlisle, Pennsylvania, United States","Administrative Services, Professional Services","Business Development, Consulting, Recruiting, Staffing Agency",1705830.0,"Alic Consulting specializes in work remote system development, talent acquisition, hiring and human resources, and development of communication strategies as well as social media marketing and branding.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,66429,False,False
Scaletorch,2022-01-01,https://www.scaletorch.ai,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), E-Learning, Information Technology, Software",417616.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2022,34628,False,False
Triafy,2019-01-01,https://triafy.com,"Tampa, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Services, Software",493648.0,"A Triafy knowledge base is the only source for MSP dispatchers to ask questions about ticket triage. Based on industry veterans' experience, Triafy is designed to give your teams the information they need to reduce ticket resolution times and frustration.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,37675,False,False
Slickalpha,2020-10-30,https://www.slickalpha.com,"Wilmington, Delaware, United States","Information Technology, Internet Services, Messaging and Telecommunications","Email, Internet",1343540.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2020,59382,False,False
ConnectDome,2021-01-30,https://connectdome.com,"Remote, Oregon, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Internet Services, Other, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Internet, Project Management, Real Estate, Social Network, Software",1373218.0,"ConnectDome helps you find developers to work with and tailored projects to work on. It makes it easier for developers to network, build, and ship their ideas.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,60405,False,False
GetZage Inc.,2020-08-15,https://www.getzage.com,"New York, New York, United States",Mobile,Mobile,134349.0,"ZAGE® is the result when the collective passions of professionals with decades of experience in the FinTech and elder advocacy space collide with real-world need - spawning the first on-demand app for older adults.  With a few clicks, you can get a ZAGEPro™ to help accompany your loved one: • On a shopping trip • To the doctor • Be with them to enjoy a museum • Be present when the plumber comes • Or simply be there when you can’t ZAGEPros™ will engage with you and your family, to make sure those you are caring for will be safe but still feel independent.  ZAGEPros™ are fully vetted and trained and come from a variety of professional backgrounds themselves. They seek out retired teachers, police, executives, stay-at-home moms or dads, or anyone with interesting life experience looking to care for older adults who need the help.   ZAGE® is currently available in the NY Metro region and will be expanding nationwide and internationally.",1-10,1.0,Seed,2021-07-15,550000.0,Seed,550000.0,3.0,1-10,Private,,,,,,0,3,2020,16929,False,False
1 Ping Security Co,2021-01-01,https://www.1pingsecurity.com/?utm_source=linkedin_page&utm_medium=linkedin,"Raleigh, North Carolina, United States","Information Technology, Privacy and Security","Cyber Security, Security",2395203.0,1 Ping security co is specializes in data access and cybersecurity.,1-10,0.0,M&A,,0.0,,0.0,,1-10,Private,,,,,,5,3,2021,79809,False,False
The Essence Event Center,2021-01-01,https://www.theessencemn.com,"Saint Paul, Minnesota, United States","Community and Lifestyle, Events, Hardware, Media and Entertainment, Music and Audio","Audio, Events, Lighting, Wedding",2946576.0,"The Essence Event Center provides event services, and they offer events by selecting a place that provides clients access to in-house audio and visual equipment and venue management. They provide weddings, family gatherings, and commercial banquets in timber structures. They provide wedding services and can assist with the selection and planning processes.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,88399,False,False
Bequall,2019-01-01,https://www.bequall.com/,"Sacramento, California, United States","Commerce and Shopping, Real Estate","Construction, Property Development, Real Estate, Rental, Residential",377860.0,,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,5,2019,32840,False,False
Fourth Phase,2019-01-01,https://www.fourthphasebox.com,"Englewood Cliffs, New Jersey, United States","Commerce and Shopping, Health Care, Manufacturing","E-Commerce, Manufacturing, Wellness",575981.0,"Fourth Phase is a maternal wellness company that focuses on the creation of afterbirth products. Their offerings include pre-packaged gift boxes and products designed to aid mothers in their healing process post-delivery. The company's product range includes the Every Birth Box, which is a comprehensive afterbirth care box suitable for all delivery methods. They also offer specialized boxes such as the Belly Birth Box for mothers who have undergone surgical birth methods, and the Vaginal Birth Box for mothers who have had vaginal deliveries. These boxes are curated to support the health, recovery, and well-being of mothers post-delivery.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,5,2019,40635,False,False
X-Sight,2020-01-01,https://www.xsightinc.com/,"Cambridge, Massachusetts, United States","Health Care, Information Technology","Information Technology, Medical, Medical Device",139571.0,X-Sight is a provider of silicon field emission x-ray sources. Its Computed Tomography (CT) is enabled by compact and high-performance x-ray sources based on silicon field-emission technology from MIT.,1-10,1.0,Seed,2023-02-27,130000.0,Seed,130000.0,2.0,1-10,Private,,,,,,0,4,2020,17418,False,False
Brewer Family Dentistry,2019-01-01,https://www.thebrewerdentist.com,"Brewer, Maine, United States",Health Care,"Dental, Health Care, Medical",1350810.0,"Brewer Family Dentistry is a dental care center. Their services include bonding, crowns, veneers, teeth whitening, fillings, inlays, inlays and onlays, root canals, endodontic surgery, endomicroscopy, bridges, crowns, dentures, gum grafting, oral surgery, wisdom teeth, and mouthguards.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,59241,False,False
Alpha Lifetech Inc.,2022-03-15,https://www.alphalifetech.com,"New York, New York, United States","Biotechnology, Science and Engineering","Biotechnology, Life Science",1392925.0,"Based in New York, USA, Alpha Lifetech Inc. is a premier supplier of antibodies, proteins, ELISA kits and related biological reagents, there are over 20,000+ products in stock with various specifications to meet customer needs. The company was founded by a group of scientists with extensive experience in protein expression, antibody development, library construction, stable cell line construction, cell culture, gene editing, and other related services. As a fast-growing global biological solution specialist, Alpha Lifetech Inc. has earned the reputation as a premium supplier known for exceptional quality, consistency and innovation. We pride ourselves on being able to offer a comprehensive set of high-quality products and services tailored to customer needs, which help advance the projects of scientific research institutions, academics, and enterprises in the life science industry.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2022,59992,False,False
