company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Tantive,2019-01-01,https://tantive.io,"Brooklyn, New York, United States","Information Technology, Internet Services, Other, Professional Services","Internet, Recruiting, Technical Support",3050112.0,Tantive is an internet service-based company. That hand-pick all our jobs from the best startups and technology companies. And prioritize their profile in front of hiring managers.,1-10,,,,,,,,1-10,Private,,,,,,6,2019,89817,False,False
AMX Healthcare,2020-01-01,https://www.amxhealthcare.com/,"Miami, Florida, United States","Administrative Services, Health Care, Professional Services","Employment, Health Care, Recruiting, Staffing Agency",408590.0,"AMX Healthcare is a workforce solutions provider. It enables healthcare hiring partners to accomplish their crucial patient care objectives while assisting professionals in finding the best employment prospects. The business employs cutting-edge, data-driven technological solutions with the highest levels of client care.",101-250,,,,,,,2.0,101-250,Private,,,,,,6,2020,34230,False,False
Canopy,2021-01-01,https://www.heycanopy.com/,"San Francisco, California, United States","Financial Services, Software","Enterprise Software, FinTech, SaaS",206731.0,"Canopy is an investment fund infrastructure platform designed for a wide range of investors, from emerging managers to multi-billion dollar institutional firms.",1-10,2.0,,2022-08-15,,Venture - Series Unknown,,2.0,1-10,Private,,,,,,3,2021,22649,False,False
Besync,2020-01-01,https://besync.me/,"Brooklyn, New York, United States","Media and Entertainment, Software",Metaverse,2800850.0,"BeSync empowers individuals and organizations to solve existing, persistent problems through an independent, lightweight data layer. BeSync provides the tools through which participants construct the framework for a practical metaverse through organic growth and grow a shared user base from known, trusted systems.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,86043,False,False
SLVR Financial,2020-01-01,https://www.slvrfinancial.com/,"Mclean, Virginia, United States",Financial Services,"Finance, Financial Services, Wealth Management",950734.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,51145,False,False
Ofofo,2020-01-01,https://ofofo.io,"New Castle, Delaware, United States","Commerce and Shopping, Information Technology, Privacy and Security","Cyber Security, Information Technology, Marketplace",356532.0,"Ofofo is a cybersecurity marketplace that helps clients discover relevant products and services to build cyber resilience. Ofofo seeks to address the issue by delivering small and medium-sized enterprises transparent pricing and carefully selected products, making it simple for customers to locate and construct effective cybersecurity services to increase cyber resilience.",1-10,1.0,Seed,2022-01-01,,Pre-Seed,,4.0,1-10,Private,,,,,,2,2020,31804,False,False
Pier Financial Advisors,2019-01-01,https://www.pierfa.com,"Germantown, Tennessee, United States","Financial Services, Media and Entertainment, Professional Services","Advice, Consulting, Finance",1804552.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,69063,False,False
Stageyo,2021-01-01,https://www.stageyo.com,"Chicago, Illinois, United States","Commerce and Shopping, Information Technology, Media and Entertainment","Information Services, Information Technology, Marketplace, Performing Arts",1777373.0,"Stageyo is a digital marketplace for stage performers to directly engage their supporters through unique content, experiences, and patronage. The company was founded as a mission-driven organization looking to empower and enable diverse stage performers through technology, digital content, community building, and storytelling and directly connect performers with the supporters that love them to build deeper relationships and foster creativity, collaboration, and sustainability in the performing arts. It was founded in 2022 by Drew Stern and Steven Traykovski and is located in Chicago, Illinois.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2021,68033,False,False
Samsales Consulting,2019-01-01,https://www.samsalesconsulting.com,"Washington, District of Columbia, United States","Education, Media and Entertainment, Professional Services","Consulting, Content Creators, Management Consulting, Training",342251.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2019,31071,False,False
Lineup.ai,2020-01-01,http://lineup.ai,"Chicago, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Restaurants, Sales, Software",161672.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,19223,False,False
LA Sales Recruiter,2018-01-01,https://www.lasalesrecruiter.com,"Beverly Hills, California, United States","Administrative Services, Professional Services, Sales and Marketing","Human Resources, Recruiting, Sales, Staffing Agency",2226202.0,"LA Sales Recruiter is a sales recruiting firm that offers staff training support. They help to serve as an important asset to businesses in need of staffing support. They help with each step of the process, starting with the résumé process, they suggest streamlining clients' information, focusing on strengths, or sharing methods to help their application stand out among others.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,77793,False,False
Elevoro,2019-01-01,https://www.elevoro.com/,"San Francisco, California, United States","Professional Services, Sales and Marketing","Business Development, Consulting, Marketing",1200976.0,,51-100,,,,,,,1.0,51-100,Private,,,,,,6,2019,56288,False,False
Parentology,2019-01-01,https://parentology.com,"Tustin, California, United States","Content and Publishing, Media and Entertainment","Media and Entertainment, Publishing",1616768.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,65043,False,False
MAIA Biotechnology,2018-01-01,https://maiabiotech.com/,"Chicago, Illinois, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Oncology, Therapeutics",22622.0,"MAIA Biotechnology, Inc. is a targeted therapy, immuno-oncology company focused on the development and commercialization of potential first-in-class drugs with novel mechanisms of action that are intended to meaningfully improve and extend the lives of people with cancer. Our lead program is THIO, a potential first-in-class cancer telomere targeting agent in clinical development for the treatment of telomerase-positive cancer cells.",1-10,7.0,IPO,2023-11-15,4000000.0,Post-IPO Equity,27100000.0,1.0,1-10,Public,2022-07-29,53175000.0,1.0,1.0,Medical Or Veterinary Science; Hygiene,0,2018,1846,False,False
Sales Desk Solutions,2021-01-31,https://salesdesksolutions.com/,"Northampton, Massachusetts, United States","Professional Services, Sales and Marketing","Consulting, Marketing",930892.0,"Sales Desk Solutions targets the most critical moments in sales, so you don’t have to. That moment when a prospect is interested in learning more about your business. In this competitive, sales-driven market, hiring your typical answering service just doesn’t cut it anymore.  You need a company that can respond to all leads that come in, no matter where they came from. With Sales Desk, you get the professionalism of a sales assistant, without the high cost of hiring your own admin. You get a personable voice and someone who knows your business, rather than a script. You get someone who can answer questions right away, getting your prospect to the next step in the sales funnel, faster.",1-10,,,,,,,,1-10,Private,,,,,,6,2021,50633,False,False
New Earth Works,2021-01-01,https://newearth.works,"Chicago, Illinois, United States","Media and Entertainment, Other, Science and Engineering, Social Impact, Sustainability","Content, Environmental Engineering, Social Impact",1880353.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,69190,False,False
Future of SaaS,2020-01-01,https://futureofsaas.io/,"San Francisco, California, United States",Software,SaaS,448211.0,"Future of SaaS was founded in early 2020 with a mission of creating a one-stop-shop of resources, content, and learning materials for those in the business of SaaS.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,35914,False,False
Enefits,2022-01-01,https://enefits.co/,"Austin, Texas, United States","Apps, Blockchain and Cryptocurrency, Other, Software","Apps, Blockchain, Developer Platform",638250.0,"Enefits is a next-generation offers network and consumer wallet that connects NFT creators and owners and advertisers. It aims to add utility value to NFTs by matching them to first- and third-party perks/benefits/offers both online and offline. Enefits was founded in 2022 and is based in Austin, Texas.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2022,42654,False,False
Mindful TMS Neurocare,2018-01-01,https://mindfultms.com,"Chicago, Illinois, United States",Health Care,"Health Care, Medical, Personal Health, Therapeutics",1590265.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,64001,False,False
FIRST 5125 HOTH,2018-01-01,https://hothfrc5125.wixsite.com/website,"Chicago, Illinois, United States","Education, Hardware, Science and Engineering, Software","Education, Robotics",2855454.0,"FIRST 5125 HOTH is an Official first robotics challenge team 5125. They are FIRST team 5125 Hawks on the Horizon, an FRC team and they are a part of a program called FIRST.  In this team, they do more than just robots. They help out their community at any given chance. They also want to give younger kids a good example and lead them by mentoring them in their lego robotic programs. In this team they strive to improve their selves and hope to pass the baton to the next generation. ",51-100,,,,,,,,51-100,Private,,,,,,6,2018,86776,False,False
PSI Technologies,2018-01-01,https://www.psi-techinc.com,"West Palm Beach, Florida, United States","Natural Resources, Other, Sustainability","Commercial, Waste Management, Water",864083.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,48977,False,False
AIMI,2018-01-01,https://aimiautomation.com,"Las Vegas, Nevada, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Content Marketing, Information Technology, Machine Learning, Social Media Management, Software",645926.0,,11-50,,,,,,,2.0,11-50,Private,,,,,,6,2018,42897,False,False
C3M,2018-10-25,https://www.c3m.io,"San Francisco, California, United States","Information Technology, Internet Services, Privacy and Security, Professional Services, Software","Cloud Management, Cloud Security, Compliance, Enterprise Software, Information Technology, SaaS, Security",256941.0,"C3M's Cloud Control is a 100% Agent-less, API based unified Cloud Security Management platform offering enterprises complete cloud control through automated and actionable cloud security intelligence giving deep insights into security posture, identity and entitlement governance, risk score and compliance status. Cloud Control can help safeguard your organization from multiple threat vectors, ensure regulatory compliance and help security teams be an enabler to the IT organization by putting in the right set of policy guardrails. It also helps CISOs and Security Teams assess and understand their cloud security and compliance posture regularly. The C3M Playbooks helps bring in SOAR context to cloud while the C3M Risk Scoring helps prioritise alerts based on their impact, severity, exploitability, and blast radius. At C3M we are on an endeavour to unify cloud security and avoid swivel chair security by combining all the key security use cases into a single platform. We are continually innovating, and our mission is to simplify cloud security. C3M currently supports AWS, GCP and Azure.",11-50,,,,,,,1.0,11-50,Private,,,0.0,0.0,,6,2018,26224,False,False
Moonflow,2023-01-09,https://www.moonflow.ai,"Sheridan, Wyoming, United States","Administrative Services, Financial Services, Software","Debt Collections, SaaS",35574.0,Moonflow is a debt collection on Autopilot.,11-50,1.0,Seed,2023-11-30,700000.0,Pre-Seed,700000.0,3.0,11-50,Private,,,,,,0,2023,4230,False,False
Luxe Home Staging and Design,2018-01-01,https://luxehomestaginganddesign.com,"Fort Lauderdale, Florida, United States","Design, Professional Services, Real Estate","Consulting, Home Decor, Interior Design",907602.0,"LUXE Home Staging and Design is a home staging company that offers consultation, e-consultation, home staging, and occupied home staging services. They also provide interior decorating services, from colour consultations to window treatments, lighting, and décor. They respond to customer inquiries by phone and email.",11-50,,,,,,,2.0,11-50,Private,,,,,,6,2018,50051,False,False
Syllo Tech,2020-01-01,https://www.syllotech.com,"San Francisco, California, United States","Hardware, Information Technology, Internet Services, Professional Services","Cloud Infrastructure, Consulting, Information Technology, IT Management",677157.0,"Syllo Tech provides IT solutions. They offer app and web development services, consulting, analytics and insights, the internet of things, blockchain, cloud infrastructure, enterprise applications, cognitive business operations, automation and engineering, cloud apps, cyber security, and industrial services.",51-100,,,,,,,,51-100,Private,,,,,,6,2020,43802,False,False
Protect Your Flag,2020-10-01,https://protectyourflag.com/,"Miami, Florida, United States","Information Technology, Privacy and Security","Cyber Security, Intrusion Detection, Network Security, Penetration Testing",1252561.0,"Protect Your Flag Corp (PYF) is specialized in the delivery of world-class cybersecurity services, including penetration testing, vulnerability assessments, threat hunting and incident response. We provide cyber security services and solutions to businesses of small, medium and large companies worldwide. We work for companies to protect their critical and confidential information against different kinds of vector attacks. Our company has different senior teams based on their certifications: OSCP, OSWP, eCPPT, CEH, SEC+, CCNA, PCAP. With PYF you get an experienced and committed bilingual team which will help your company find different kinds of vulnerabilities in your assets and lead you through the right path to secure them.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,56559,False,False
Singe Payables,2021-01-01,https://www.singepayables.com,"Pompano Beach, Florida, United States","Other, Professional Services","B2B, Consulting, Management Consulting",1693205.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,66646,False,False
RxRise,2021-01-01,https://www.rxrise.com,"Apex, North Carolina, United States","Health Care, Transportation","Health Care, Pharmaceutical, Supply Chain Management",412185.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2021,34401,False,False
Giv Local,2018-01-01,https://www.givlocal.com/,"State College, Pennsylvania, United States","Advertising, Financial Services, Lending and Investments, Media and Entertainment, Payments, Sales and Marketing","Advertising, Credit Cards, Digital Media, Financial Services, Payments",700550.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,44475,False,False
DIfest,2018-01-01,https://difestglobal.com,"San Francisco, California, United States","Events, Media and Entertainment","Event Management, Events",1688429.0,"DIfest helps Celebrate diversity in an organization and allows all members to express their values and beliefs. It brought together a wide range of experts in diversity, equity, and inclusion from a multitude of fields who were committed to the business. DIfest workforce diversity for age, gender, race, ethnicity, culture, religion, personality, social status, sexual orientation, political beliefs, and education.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,66743,False,False
VERN,2019-04-19,https://www.vernai.com,"East Lansing, Michigan, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Customer Service, Information Technology, Marketing, Marketing Automation, Natural Language Processing, Predictive Analytics, Robotics, Software, Unified Communications",323515.0,"VERN AI is a patented emotion recognition system that provides analysis of communication in real time. VERN works right out of the box, without any need to pre-train on terabytes of data.",1-10,1.0,Seed,2021-07-13,,Pre-Seed,,2.0,1-10,Private,,,3.0,0.0,,2,2019,30055,False,False
Solar Panels Reviews Org,2020-10-02,https://solarpanelsreviews.org/,"Texas City, Texas, United States",Commerce and Shopping,Consumer Reviews,2480322.0,"Solarpanelsreviews.org is your one-stop resource for all information relating to solar-powered devices and accessories. Our goal is to educate and guide consumers through the process of understanding, comparing, and selecting the best solar products available on the market today. Cuong Tran and his team of collaborators hold the belief that solarpanelsreviews.org is a trustworthy and informative website when it comes to solar energy. With its comprehensive range of product reviews, knowledge sharing, and expert advice, this platform empowers users with the necessary confidence and information to make the most of solar energy. Install our application, Make it more convenient for you to read and follow Solarpanelsreviews.org.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,81606,False,False
Oncodea,2021-01-01,https://oncodea.com/,"Saint Paul, Minnesota, United States",Health Care,"Health Care, Health Diagnostics, Medical",160516.0,"Oncodea focuses on non-invasive and affordable technology to detect cancers in their early stages. The company was founded in 2021 and is headquartered in St. Paul, Minnesota, United States.",1-10,1.0,,2022-12-06,6000.0,Grant,6000.0,1.0,1-10,Private,,,,,,1,2021,19130,False,False
Trav Media Group,2019-01-01,https://www.travmediagroup.com,"Cleveland, Ohio, United States","Content and Publishing, Design, Media and Entertainment, Software","Graphic Design, Photography, Web Development",2772040.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,86470,False,False
KSK Global Solutions,2019-01-01,http://www.kskglobalsolutions.com,"Hollywood, Florida, United States","Administrative Services, Professional Services","Consulting, Recruiting, Staffing Agency",1948744.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2019,71144,False,False
Engage Real Estate Group,2018-01-01,http://www.engagerealestate.net,"Greenville, South Carolina, United States",Real Estate,"Property Management, Real Estate, Residential",1545080.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,63312,False,False
Feminade,2020-01-01,https://feminade.com/,"Miami, Florida, United States","Commerce and Shopping, Health Care","E-Commerce, Health Care, Health Diagnostics, Hospital",262911.0,"Feminade is an online concierge for women's hormone and reproductive health. We help women get to the root-cause of their symptoms through advanced at-home testing, telehealth, evidence-based holistic treatments, and education.",1-10,2.0,Seed,2023-06-27,,Grant,,1.0,1-10,Private,,,0.0,1.0,,2,2020,26577,False,False
AttacheWorks,2020-01-01,https://www.attacheworks.com,"Sacramento, California, United States","Information Technology, Media and Entertainment, Professional Services, Software","Advice, Consulting, Information Technology, Software",2343378.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,79128,False,False
People Runway,2018-01-01,https://www.peoplerunway.team/,"Palo Alto, California, United States","Administrative Services, Information Technology","Business Information Systems, Human Resources",2177808.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,75236,False,False
PlaneAhead,2021-02-01,https://planeahead.co,"Houston, Texas, United States","Internet Services, Travel and Tourism","Internet, Travel",119218.0,We are the only company that exchanges your airline tickets automatically when your purchased tickets go down. We then send you the airline credit for the difference.,1-10,1.0,Seed,2021-09-01,250000.0,Pre-Seed,250000.0,1.0,1-10,Private,,,,,,0,2021,15403,False,False
Evoove,2021-01-01,https://www.evoove.com,"Folsom, California, United States","Commerce and Shopping, Professional Services","Employment, Marketplace, Recruiting",480391.0,"Evoove provides demand pay, health insurance, and pension plan services. They provide technology, compensation, tracking, administration, payroll, and digital enrollment services. They provide recurring commissions, tax filing, and marketplace services.",101-250,,,,,,,,101-250,Private,,,,,,6,2021,37171,False,False
DevPro Biopharma,2020-01-01,https://www.devprobiopharma.com,"Basking Ridge, New Jersey, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Pharmaceutical",411184.0,"DevPro Biopharma offers clinical programmes and studies ranging from protocol design to product approval, and also clinical safety management, regulatory strategy, and inspection readiness. They offer clinical development services to venture capital firms or start-ups looking for a development arm, and also to pharmaceutical companies that licence or acquire product development rights.",11-50,,,,,,,,11-50,Private,,,0.0,1.0,,6,2020,34355,False,False
PigPug Health,2018-05-01,http://pigpug.co,"Brooklyn, New York, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care",227663.0,PigPug offers ADHD and autism neurofeedback therapy at home. They also provide neurofeedback brain-training games to help children overcome attention deficit disorder and increase their learning abilities.,11-50,2.0,Seed,2019-09-22,,Convertible Note,,4.0,11-50,Private,,,1.0,0.0,,2,2018,24247,False,False
"9258 Wealth Management, LLC",2018-01-01,https://www.9258wealth.com/,"Cincinnati, Ohio, United States","Financial Services, Professional Services","Consulting, Financial Services, Wealth Management",1195790.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,56391,False,False
Hatchback Cottages,2019-01-01,https://www.hatchbackcottages.com/,"Seattle, Washington, United States",Real Estate,"Construction, Property Development, Real Estate",1199851.0,"Hatchback Cottages creating flexible, sociable, and financially secure futures for Seattle homeowners with DADU's.",1-10,1.0,Early Stage Venture,2020-07-22,,Series B,,,1-10,Private,,,,,,2,2019,56304,False,False
TechChicago,2021-01-01,https://gotechchicago.com/,"Chicago, Illinois, United States","Administrative Services, Information Technology, Professional Services","Information Technology, Recruiting, Virtual Workforce",1148872.0,"TechChicago is on a mission to find tech professionals who started in Chicago and wants to return. It was founded in 2021 and is headquartered in Chicago, Illinois, United States.",1-10,,,,,,,,1-10,Private,,,,,,6,2021,54751,False,False
Traction IQ,2018-01-01,https://www.tractioniq.co,"Raleigh, North Carolina, United States","Financial Services, Professional Services, Sales and Marketing","Consulting, Financial Services, Marketing",2274303.0,"Traction IQ is a company that provides consulting services primarily to startups. Their main focus is to assist startups in launching their businesses, gaining traction in their respective markets, and connecting them with potential investors. They have developed a unique framework that enables startup founders to launch successful and profitable companies by understanding their target market. They also offer services to companies that are not in the initial stages of launching, providing them with the necessary support to grow and expand their businesses.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,78654,False,False
Priomatics,2019-01-01,https://www.priomatics.com/,"Tipp City, Ohio, United States","Manufacturing, Science and Engineering","Industrial, Industrial Automation, Manufacturing",1575404.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,64292,False,False
Long Point Digital,2019-01-01,https://longpointdigital.com,"Grand Junction, Colorado, United States","Advertising, Design, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Email Marketing, Graphic Design, SEO, Social Media, Web Design, Web Development",1453506.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,61968,False,False
Sincerus Advisory,2019-01-01,https://sincerusadv.com,"New York, New York, United States","Financial Services, Media and Entertainment","Advice, Finance, Wealth Management",3100323.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,90536,False,False
My Brio Top,2020-01-20,https://www.mybriotop.com/,"Chewsville, Maryland, United States",Commerce and Shopping,"E-Commerce, Retail",1838671.0,"My Brio Top came up with the idea of creating a little online retail store. My Brio Top is based in Maryland, USA, and sells and ships worldwide. We specialize on general store, as well as Health and Beauty items, Sports and Fitness Items, Fashion Products, Top Pets Products, Backpack and Briefcase items and Tech Accessories products.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,68461,False,False
