company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Advie,2020-11-27,https://www.adviebusiness.com/,"Sioux Falls, South Dakota, United States","Advertising, Data and Analytics, Professional Services, Sales and Marketing, Software","Advertising, Business Intelligence, Consulting, Marketing, Software",1431304.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2020,60819,False,False
Bloomstack,2018-07-20,https://www.bloomstack.com,"Scotts Valley, California, United States","Community and Lifestyle, Food and Beverage, Health Care, Information Technology, Professional Services, Software","Cannabis, Compliance, Information Technology, PaaS, Software",869215.0,,11-50,,,,,,,,11-50,Private,,,0.0,1.0,,6,2018,49098,False,False
Amer Adjust,2018-01-01,https://ameradjust.com,"Coppell, Texas, United States",Financial Services,"Commercial Insurance, Insurance, Property Insurance",1732948.0,"Amer Adjust provides national commercial and residential property adjusting solutions. They offer insurance adjusting, daily claims, property management, and catastrophic claims adjusting services. Their customers contact through prone and email.",5001-10000,,,,,,,,5001-10000,Private,,,,,,6,2018,67407,False,False
Famometer,2021-01-01,https://www.famometer.com,"San Jose, California, United States","Internet Services, Media and Entertainment, Sales and Marketing","Marketing, SEO, Social Media",2741621.0,"Famometer got something for everyone on the internet. Boost up your business and personal social meida accounts, Search Engine ranking, social media and email accounts and much more.",1-10,,,,,,,2.0,1-10,Private,,,,,,6,2021,85396,False,False
BELatina,2019-01-01,http://belatina.com,"Sonoma, California, United States","Community and Lifestyle, Content and Publishing, Media and Entertainment","Journalism, Media and Entertainment, Women's",664178.0,"BELatina is a leading Latina digital platform spanning fashion, politics, technology, celebrities, health, beauty, work, sex, friendship, food and more. BELatina's smart, informative and fun editorial aims to inspire its core Latina audience to be the best versions of themselves, and compel them to reach outward, especially with regard to human and women's rights. Our team of Latina/Afro-Latinx writers and editors are from diverse backgrounds with an endless range of interests.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,43428,False,False
Elmwood Agency,2019-01-01,https://www.elmwoodagency.com/,"Elma, New York, United States",Financial Services,"Auto Insurance, Financial Services, Insurance, Life Insurance",1817003.0,Elmwood Agency is an independent insurance agency that specializes exclusively in individual and family policies.,11-50,,,,,,,,11-50,Private,,,,,,6,2019,68851,False,False
AICenter,2023-03-24,https://www.aicenter.ai/,"New York, New York, United States","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), B2B, B2C, Communities, Software",402670.0,"AI Center is a platform that solves the biggest problem of consumer AI products - an ocean of products for a pond of customers - by matching users with the AI products for their needs. Our goal is to ensure customers find the AI Tools they for all their needs, and companies to reach the customers their products were built for.",1-10,,,,,,,,1-10,Private,,,,,,6,2023,33982,False,False
Asensys,2020-01-01,http://www.asensys.com/,"Seattle, Washington, United States","Blockchain and Cryptocurrency, Information Technology, Other, Privacy and Security","Blockchain, Network Security",126147.0,"Asensys is a new-generation, high performance system that brings throughput and state put to a new, scalable level. Asensys aims to meet the needs of then modern digital economy with its novel blockchain infrastructure that will enable web users to realize the full potential of the internet by providing the foundation upon which decentralized applications can be built.",1-10,1.0,Seed,2020-04-07,2700000.0,Angel,2700000.0,2.0,1-10,Private,,,,,,0,2020,16111,False,False
Value Logistics,2019-01-01,http://valueloads.com,"Smyrna, Georgia, United States",Transportation,"Logistics, Supply Chain Management",867182.0,,501-1000,,,,,,,,501-1000,Private,,,,,,6,2019,49054,False,False
CMI Group,2020-01-01,https://cmigrp.com,"Phoenix, Arizona, United States","Design, Manufacturing, Other, Science and Engineering","Commercial, Industrial Automation, Machinery Manufacturing, Product Design",356496.0,"CMI Group provides machined component parts, precision multi-axis machining, prototypes and development programs, advanced manufacturin,g, assembly and integration services, complex machining, exotic alloys, and assembled components to the aerospace and commercial industries.",251-500,,,,,,,,251-500,Private,,,,,,6,2020,31800,False,False
Rhove,2018-01-01,https://rhove.com ,"Columbus, Ohio, United States","Financial Services, Real Estate, Software","FinTech, Real Estate, Software",373337.0,"Rhove's platform allows people to invest in real estate assets without having to meet a minimum account balance or income requirement, providing opportunities to all. The contact mode is by mail, phone, and physical address.",11-50,,M&A,,,,,,11-50,Private,,,0.0,3.0,,5,2018,32610,False,False
Inspire Innovations,2018-01-01,http://inspireinnovations.com,"Boulder, Colorado, United States","Financial Services, Health Care, Information Technology, Other","Financial Services, Health Care, Information Technology, Insurance, Small and Medium Businesses",309975.0,,51-100,,,,,,,,51-100,Private,,,,,,6,2018,29308,False,False
Procapita Partners,2019-01-01,https://procapita.com,"New York, New York, United States","Community and Lifestyle, Financial Services, Lending and Investments, Media and Entertainment, Other, Professional Services","Accounting, Advice, Banking, Consulting, Financial Services, Retirement, Risk Management, Wealth Management",978718.0,"Procapita Partners is an investment platform for multi-family offices dedicated to the empowerment of their clients by providing holistic services, expertise, and technology, protecting their assets, and igniting their entrepreneurial passions within a supportive community. Their services include wealth management, alternative investments, investment properties, hedge funds, cash management, private banking, accounting, and estate planning.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,51821,False,False
Six Second Stories,2018-01-01,http://sixsecondstories.com/,"Durham, North Carolina, United States",Media and Entertainment,Media and Entertainment,3099425.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,90552,False,False
Netra AI,2022-10-03,http://mykait.ai,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Software",216052.0,"Netra is an AI company focused on combining computer vision and LLM's to create autonomous agents that actually do tasks. Our product Kait can be told to take on any job at any company and she will do it.  She can create workflows for any job and any tasks, than complete those workflows or tasks. You can even ask her to be a radiologist and she can tell you if your brain MRI has an anomaly. We have built Kait for any business of any size. She could be used by your local plumber to create sales leads, your doctor to help with reading xrays, your accountant, your local bar owner, or a large scale enterprise. Netra AI was created by a team of experts in technology with a history of executing large scale transformational projects.",11-50,1.0,Seed,2023-03-02,,Pre-Seed,,,11-50,Private,,,,,,2,2022,23346,False,False
MeVero Inc.,2019-05-19,https://www.mevero.com,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Productivity Tools, Software",461107.0,"Mevero enables an user to effectively pursue his/her passion .  Mevero offers a host of Services, Applications & Tools which the user can use to pursue the area of passion.  Whilst pursuing one's passion, an user can have different needs like Learning, Coaching, Working, Earning or Financing.  Mevero offers Applications & Tools in each of these areas for the user to effectively pursue one's passion.  So if you are looking to undertake a course around your area of passion, talk to a Life Coach,  find effective collaborators, monetise your passion or raise money for your projects, Mevero is the platform for you.  With Mevero, you will find all the Applications & Tools necessary to pursue your passion under one umbrella Mevero will have the following Applications & Tools required to effectively pursue your passion a. Learn how to overcome your barriers in the pursuit of your passion b. Identify your exact passion with the help of AI Life Coach c. Learn from Courses around your area of passion d. Learn from Experts around your area of passion e. Read Books/Content around your area of passion f. Consult Life Coaches to shape your journey g. Find effective collaborators to pursue your passion h. Create & pursue projects and events around your area of passion i. Monetise your passion in our digital peer-to-peer Marketplace j. Offer your services to Businesses/Corporate as a freelancer k. Raise money to fund your Projects l. Get your daily dose of motivation from our content feed m.Receive curated knowledge around your area of passion everyday on your mobile",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2019,36416,False,False
Tensile AI,2018-01-01,https://www.tensileai.com,"Raleigh, North Carolina, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Machine Learning",441406.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,35635,False,False
Shopney,2019-01-01,https://shopney.co/,"Lewes, Delaware, United States","Apps, Commerce and Shopping, Internet Services, Mobile, Software","Apps, E-Commerce, Internet, Mobile Apps",194334.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,21710,False,False
Json Api App,2020-01-01,https://www.jsonapi.co/,"Wilmington, Delaware, United States","Apps, Information Technology, Software","Information Technology, Software, Web Apps",1038548.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,52466,False,False
Heads Together Health,2020-01-01,https://headstogetherhealth.com,"Chapel Hill, North Carolina, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Software","Apps, Electronic Health Record (EHR), Health Care, Machine Learning",1224608.0,"Heads Together Health brings a unique combination of relevant clinical trials with a technology platform, machine learning, and modeling that can make powerful impacts on patient outcomes. They have designed and developed a concussion management technology solution that provides value for many different stakeholder groups.",1-10,,,,,,,2.0,1-10,Private,,,,,,6,2020,57133,False,False
Vision Quest Velocity LLC,2021-01-01,https://www.vqvelocity.com,"Highland Park, Illinois, United States",Software,Software,121283.0,Science-driven indoor cycling software that uses your unique physiology to shape your training.Velocity will leverage the more than 20 years of experience and knowledge from Vision Quest Coaching to introduce a unique and differentiated offering in the SAAS indoor cycling space. The launch of Velocity will be led by former professional cyclist Robbie Ventura.,1-10,1.0,Seed,2021-07-26,3400000.0,Seed,3400000.0,1.0,1-10,Private,,,,,,0,2021,15612,False,False
Watershed Moment,2020-01-01,https://watershedmoment.com,"Los Angeles, California, United States","Administrative Services, Professional Services","Consulting, Human Resources, Management Consulting",1420385.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,61038,False,False
Worklife,2021-03-26,https://worklife.so,"Dover, Delaware, United States","Administrative Services, Software","Human Resources, SaaS",150041.0,,1-10,1.0,,2023-02-23,25000.0,Grant,25000.0,1.0,1-10,Private,,,,,,1,2021,18273,False,False
Sensori Safety,2021-08-16,http://www.sensorisafety.com,"Louisville, Kentucky, United States","Data and Analytics, Design, Information Technology, Professional Services, Software","Consulting, Data Mining, Data Visualization, Information Technology",138607.0,"We're using data to prevent accidents in the workplace. We're uncovering the hidden risks and learning the injury patterns that keep your team from reaching their goal of zero injuries. We believe workers can be injury free, but it starts with your data.",1-10,3.0,Seed,2023-12-30,5000.0,Seed,46500.0,1.0,1-10,Private,,,,,,0,2021,17318,False,False
Splice,2021-01-01,https://www.splice-it.com/,"Norfolk, Virginia, United States","Software, Transportation","Logistics, Shipping, Software, Supply Chain Management",186090.0,"Splice is a data automation and API-led connectivity platform for shipping and logistics. We connect, translate and automate data and apply our universal integration capacity to extend and strengthen ecosystems. Data is everywhere, but too often it is inaccessible or incompatible with the applications that need it. Splice bridges the data and process gaps to resolve complex technical challenges and make systems interoperable. We offer three main products. - Splice Platform is a low-code workflow automation system. - Splice Exports tracks export receiving windows at over 50 terminals in North America and with major ocean carriers. - Yard Spot creates a common operating picture of container yards and intermodal assets to drive yard productivity and higher asset utilization. Splice drives three key outcomes. Productivity - Enable event-driven automation across systems. - Speed up processes and performance. - Save time handling data and eliminate rework. Efficiency - Integrate once to offer boundless connections. - Automate processes to decrease OpEx. Technology Optimization - As modern middleware, Splice bridges process gaps. - Optimize systems to enhance current technology investments and decrease CapEx. Splice enables many systems to act like one. Single Point of Integration: - Utilize 100+ pre-built integrations to save time and cost. Once a connection is in place, it can be reused to save time and expense. Data Translation: - Logistics data comes in many formats and flavors, and Splice translates them so systems speak the same language and everyone stays on the same page. Individualized Workflows: - As a low-code platform, Splice makes it fast and easy to replicate or reorganize the workflows.",1-10,2.0,,2023-08-15,62700.0,Grant,62700.0,3.0,1-10,Private,,,0.0,2.0,,1,2021,21076,False,False
Alpha Infrastructure Partners,2019-01-01,https://alpha-infra.com/,"Mchenry, Illinois, United States","Other, Real Estate, Software","Construction, Developer Platform, Infrastructure",181916.0,"Alpha Infrastructure Partners is a platform of businesses that seek to capitalize on infrastructure and industrial growth, long-term economic trends, and the utilization of technology to positively impact world markets and their stakeholders. It was founded in 2019 and is based in Mchenry, Illinois.",1-10,1.0,Seed,2019-07-15,100000.0,Seed,100000.0,3.0,1-10,Private,,,,,,0,2019,20770,False,False
Bell & Porter,2020-01-01,https://www.bellandporter.com,"Raleigh, North Carolina, United States","Advertising, Media and Entertainment, Sales and Marketing","Advertising, Content Creators, Digital Marketing",1988932.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,72030,False,False
New England Hemp Farm,2019-01-01,https://www.newenglandhempfarm.com,"Groton, Connecticut, United States","Agriculture and Farming, Community and Lifestyle, Food and Beverage, Health Care","Agriculture, Cannabis, Medical",1205834.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,56175,False,False
Behave Candy,2020-01-01,https://www.eatbehave.com/,"New York, New York, United States",Food and Beverage,"Food and Beverage, Food Processing, Snack Food",162041.0,"Behave Candy makes delicious, low sugar, all-natural ingredients, guilt-free candy.",1-10,2.0,Seed,2022-01-01,,Seed,,1.0,1-10,Private,,,0.0,1.0,,2,2020,19253,False,False
Trebletree,2021-03-01,https://trebletree.co/,"Hooksett, New Hampshire, United States","Advertising, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Digital Marketing, SEO, Social Media",1796695.0,,1-10,,,,,,,2.0,1-10,Private,,,,,,6,2021,67678,False,False
ETHIC Cooperative,2019-04-01,http://ethic.coop,"Dallas, Texas, United States","Community and Lifestyle, Travel and Tourism","Leisure, Tourism, Travel",2991504.0,,1-10,,,,,,,2.0,1-10,Private,,,,,,6,2019,89220,False,False
Lyra,2021-01-01,https://paywithlyra.com,"Houston, Texas, United States","Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Financial Services, Payments",623267.0,"Lyra is a virtual card provider that allows users to create and fund cards using cryptocurrency. Lyra allows users to design their own card, set spending restrictions for it, and fund it with any of their 10+ supported cryptocurrencies. Lyra is headquartered in Houston, Texas and was founded in 2021.",1-10,1.0,,2022-09-07,,Venture - Series Unknown,,,1-10,Private,,,,,,3,2021,42166,False,False
Savion,2019-01-01,https://savionenergy.com/,"Kansas City, Missouri, United States",Energy,"Energy, Energy Management, Energy Storage",220804.0,"Savion develops utility-scale, greenfield solar photovoltaic power projects across the country for renewable and cost-effective energy. The projects they develop are situated in the best solar resource area within their respective markets, are environmentally compatible with the surrounding vicinity, are strategically located near transmission infrastructure, and are managed to yield the lowest cost of delivered power possible.",101-250,,M&A,,,,,,101-250,Private,,,,,,5,2019,23734,False,False
Marketing By Monrae,2018-01-01,https://marketingbymonrae.com,"Atlanta, Georgia, United States","Advertising, Sales and Marketing","Advertising, Brand Marketing, Digital Marketing, Social Media Marketing",777394.0,"Marketing by Monrae is a creative space for entrepreneurs to find resources to assist them with improving their digital marketing strategies, business structure, and content. The MBM brand helps businesses who didn't have the financial resources to hire a full-time marketing team and offer required growth tactics. Digital boot camps, webinars, and e-books are used to do this.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,46640,False,False
Mimosa Bark Store,2021-10-01,http://mimosabarkstore.com,"Nampa, Idaho, United States",Commerce and Shopping,E-Commerce,270517.0,"We offer high-quality Mimosa Hostilis Root Bark (MHRB) in powdered and whole bark forms. We carry varieties from Mexico and Brazil. We also provide various related products, including Caapi, Chacruna, Chalipong, Hawaiin Baby Woodrose Seeds & more!",1-10,,,,,,,,1-10,Private,,,,,,6,2021,27053,False,False
HyperFog,2020-05-01,https://www.hyperfog.com,"Green Village, New Jersey, United States","Consumer Electronics, Hardware, Internet Services, Transportation","Automotive, Consumer Electronics, Internet of Things",228810.0,"HyperFog provides the tools to integrate fleet cleaning into ground transportation using app based requests for rapid fogging technology. They clean spaces, including hotels and ground transportation vehicles, using fogging and IOT technology. They offer services for riders, drivers, and fleet businesses to rapidly disperse cleaning chemicals into vehicle interiors in between rides.",1-10,1.0,Seed,2020-06-01,70000.0,Pre-Seed,70000.0,1.0,1-10,Private,,,0.0,0.0,,0,2020,24328,False,False
Mako M3,2019-01-01,https://mako-m3.com,"Syracuse, New York, United States","Commerce and Shopping, Consumer Electronics, Hardware, Real Estate","Building Material, Electronics, Lighting, Wholesale",593040.0,Mako M3 is a distributor of LED sports lighting. Their customers contact them through phone and online applications.,11-50,,,,,,,1.0,11-50,Private,,,12.0,0.0,Lighting,6,2019,41186,False,False
Dope Music Promotions,2018-12-05,https://dopemusicpromotions.com/,"Las Vegas, Nevada, United States","Advertising, Media and Entertainment, Music and Audio, Sales and Marketing","Advertising, Digital Marketing, Music",1035959.0,"Dope Music Promotions serves the best music promotion service in the market for affordable prices.Whether you are on Soudcloud,Spotify, Youtube or any other music platform here at Dope Music promotion you can grow your regular fanbase through our music promotion campaigns. We can definitely help you to improve your Social Media presence by offering some simple, clean and effective campaigns packages with 100% results and satisfaction guaranteed! We got both viral and organic packages. Viral packages help you to boost numbers and get more popular through out the music industry and organic packages help you build a regular audience around you.So look no further here is the best place to get a jump start for your music career.",51-100,,,,,,,,51-100,Private,,,,,,6,2018,52404,False,False
Vigorpath,2018-01-01,https://vigorpath.com,"Tappan, New York, United States","Commerce and Shopping, Health Care","E-Commerce, Health Care",3123007.0,"Over the years, the health and wellness industry has been booming. People discovered that being healthy meant so much more than just physical fitness. More people considered a holistic approach to health with an overall holistic goal of being physically, mentally, emotionally, spiritually, and physiologically healthy. Today, you’ll be happy to know that the wellness industry already covers nutrition, beauty, physical fitness, and alternative streams of therapy and rejuvenation. All these begins with the self, Vigor Path helps with the process of health and wellness by being ambassadors of change. Vigor Path believes that with a healthy mind and body, plus a commitment to the wellness lifestyle, we are all going to achieve the health and wellness we deserve. With a brand that promotes ‘Better Health through Better Choices,’ Vigor Path showcases a large collection of products – important and popular product brands, that encourage us with a well-rounded healthy lifestyle. Every product that you will see on the website contributes to the overall wellness of the self and the family.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,90282,False,False
Wimo Games,2021-02-01,https://www.wimogames.com,"Austin, Texas, United States","Design, Gaming","Gaming, Graphic Design, Video Games",410292.0,"Wimo Games provides mobile game development, graphic design, animation services, video game development, and publishing services. The contact mode is by mail, phone, and physical address.",51-100,,,,,,,,51-100,Private,,,,,,6,2021,34310,False,False
Wired2Perform,2019-01-22,https://www.wired2perform.com,"Ponte Vedra Beach, Florida, United States","Administrative Services, Software","Human Resources, Software",1268267.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,57704,False,False
Signedeal,2020-08-24,https://signedeal.com,"Miami, Florida, United States","Data and Analytics, Information Technology, Sales and Marketing, Software","Big Data, Business Intelligence, Data Mining, Database, Enterprise Software, Information Technology, SaaS, Sales",408598.0,"The Negotiation Automation Company. Signedeal gives your organization the ability to execute high-volume micro-negotiations in a scalable and cost-effective way. Signedeal is an end-to-end Negotiation Process Automation SaaS (NPA), focused to help all companies to e-negotiate documents, amend existing contracts or walkthrough the sales cycle to close deals automatically. Signedeal can engage, negotiate, and close at the volume that companies need in a fully automated way. With its AI framework, each negotiation improves the performance of the future ones.",1-10,2.0,Seed,2021-07-01,,Pre-Seed,,2.0,1-10,Private,,,0.0,1.0,,2,2020,34231,False,False
Badoni Behavioral Services,2020-01-01,https://badonibehavioral.com,"Memphis, Tennessee, United States",Health Care,"Child Care, Health Care, Mental Health, Rehabilitation",1733912.0,"Badoni Behavioral Services offers applied behavior analysis services and evidence-based therapy to offer treatment to kids with autism spectrum disorder. They serve to teach communication skills, socialisation skills, relationship skills, play and leisure skills, coping skills, daily living skills (domestic and personal), motor skills, and community safety skills.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,67389,False,False
Upskill VR,2019-01-01,https://upskillvr.com/,"Washington, District of Columbia, United States","Education, Government and Military, Hardware, Software","Augmented Reality, Public Safety, Software, Training, Virtual Reality",666304.0,"Upskill VR is a virtual reality training platform that empowers people to save lives.  With CPR as the first focus, we use virtual reality technology to train people in realistic emergency environments with the vital necessary skills needed to save someone's life when an emergency arises.",1-10,1.0,,2020-11-01,,Non-equity Assistance,,1.0,1-10,Private,,,,,,3,2019,43497,False,False
Ladybug Tools,2018-01-01,https://www.ladybug.tools,"Fairfax, Virginia, United States","Design, Education, Software","Education, Graphic Design, Software",470421.0,,11-50,,,,,,,1.0,11-50,Private,,,0.0,2.0,,6,2018,36791,False,False
Empire Medical,2020-01-01,https://www.empiremed.org,"Wildomar, California, United States","Commerce and Shopping, Education, Health Care","Medical, Training, Wholesale",1693326.0,"Empire Medical represents arthrex products and surgical techniques. Their products are for orthobiologics and arthroplasty fields such as shoulder, knee, elbow, hand and wrist, foot and ankle, hip, and imaging and resection. Arthrex is developing new technologies with potential multispecialty applications.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,66642,False,False
Pursuit Packages,2019-01-01,https://www.pursuitpackages.com,"Columbus, Ohio, United States","Administrative Services, Transportation","Delivery, Packaging Services, Warehousing",2211453.0,Pursuit Packages is a delivery service partner with amazon. They provide delivery services and work exclusively with Amazon. They address inquiries through phone calls and emails.,51-100,,,,,,,,51-100,Private,,,,,,6,2019,75502,False,False
ABE Global,2018-03-01,https://abe.io/,"Dallas, Texas, United States","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other","Blockchain, Stock Exchanges, Trading Platform",65644.0,"ABE Global is an exchange platform for 24/7asset trading. It operates in Europe, North America, and Asia. ABE will provide access and liquidity to issuers and investors by using the performance of a traditional securities exchange and the flexibility of DLT (distributed ledger technology). Led by an experienced team of financial products and system experts — John Pigott (BondPoint), Joel Blom (Thinkorswim, Inc.), and Roderick Psaila (AgriBank PLC) — ABE will maximize market accessibility and democratize capital for more efficient financial products.",1-10,1.0,Seed,2018-08-15,3000000.0,Seed,3000000.0,3.0,1-10,Private,,,,,,0,2018,8932,False,False
The Legacy Group,2021-01-01,https://legacygroupny.com,"Syosset, New York, United States","Community and Lifestyle, Financial Services, Other, Professional Services","Asset Management, Financial Services, Retirement, Risk Management",1232993.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2021,56968,False,False
