company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
PA Unveiled,2020-08-01,https://paunveiled.com/,"Etters, Pennsylvania, United States","Community and Lifestyle, Events",Wedding,2577287.0,"PA Unveiled is a wedding planning company that helps couples plan their special day. PA Unveiled has over 300,000 monthly readers and has helped over 1 million couples plan their weddings.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2020,83228,False,False
UrbanForm,2019-01-01,https://www.urbanform.us/,"Portland, Oregon, United States","Information Technology, Internet Services","Information Technology, Internet",469183.0,"UrbanForm is a zoning information provider it gives required information within seconds.UrbanForm controls the process of locating, analyzing, computing, and documenting the pertinent zoning regulations and building information.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,36738,False,False
Performance Personnel Partners,2019-01-01,http://www.performancepersonnel.com,"Tampa, Florida, United States","Administrative Services, Professional Services","Employment, Recruiting, Staffing Agency",668503.0,"Performance Personnel was built on a dedication to helping organizations find staffing experience and deliver candidates at the highest level. By remaining focused on quality and service excellence, we have quickly differentiated ourselves as a partner our clients can trust, no matter what industry they may be in.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,43552,False,False
Spartan Cyber Services,2019-01-01,https://spartancyberservices.com/,"Bowling Green, Kentucky, United States",Information Technology,"Information Services, Information Technology",2589424.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,83047,False,False
Clearyst,2021-01-01,https://www.clearyst.com,"Austin, Texas, United States","Information Technology, Other, Social Impact, Software, Sustainability","Information Technology, Social Impact, Software, Sustainability",262656.0,"Clearyst offers integrated sustainability software to align, plan, and expedite ESG priorities. Its centralized shared services and support model captures economies of scale, achieve consistent operational excellence, and captures horizontal integration opportunities. Together, its platform creates exponential value and a sustainable impact on humanity and the planet. The company was founded in 2021 and is based in Austin, Texas.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,26563,False,False
Northbank Partners,2019-01-01,https://northbankpartners.com,"Richmond, Virginia, United States","Community and Lifestyle, Financial Services, Media and Entertainment, Other, Professional Services","Advice, Consulting, Financial Services, Retirement",989608.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,52098,False,False
Homematchx,2019-04-24,http://homematchx.com,"Dallas, Texas, United States","Commerce and Shopping, Information Technology, Real Estate","E-Commerce, Information Technology, Real Estate",1207859.0,Homematchx is a match-making network that connects buyers and sellers everywhere for a future home sale. Homematchx uses data points to produce a match score and finds the best options to a real estate need when people are ready. It is an early entry to the market giving people options to a perfect match without waiting to find one. Homematchx allows people to evaluate how the market is responding before a buying or selling opportunity ever takes place.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2019,56113,False,False
SunLife,2019-01-01,https://sunlifenow.com,"Wilmington, Delaware, United States","Energy, Natural Resources, Professional Services, Sustainability","Consulting, Energy, Energy Management, Renewable Energy, Solar",487766.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,5,2019,37459,False,False
World Play League,2022-01-01,https://worldplayleague.com/,"Wilmington, Delaware, United States","Apps, Gaming, Mobile, Software","Gaming, Mobile Apps",391206.0,World Play League is a game publisher owned by the community. WPL provides tooling and infrastructure for game studios while creating a next-generation game league for players.,1-10,1.0,Seed,2023-05-19,0.0,Pre-Seed,0.0,,1-10,Private,,,,,,2,2,2022,33462,False,False
Berkshire Healthcare Staffing Solutions,2021-01-01,https://bhstaffingsolutions.com,"Florida, New York, United States","Administrative Services, Health Care, Professional Services","Employment, Health Care, Recruiting, Staffing Agency",1169680.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,3,2021,55621,False,False
Airporia,2021-01-01,https://www.airporia.com/,"Troy, Michigan, United States","Commerce and Shopping, Travel and Tourism","E-Commerce, Travel",2342059.0,"Airporia is a global travel search site that compares the prices of millions of flights, hotels, car rentals from hundreds of travel sites to bring you the best price every time. Our search tool provides the best available prices from hundreds of booking sites! It is easy to compare and choose the lowest price every time. We don’t add booking fees or inflate the price in any way. Our process is simple: you are taken directly to our partner sites, where the booking is completed with one click. We facilitate your search, ensuring you get the best prices there are out there. WHAT WE DO Airporia uses a refined metasearch tool that retrieves information from several search engines, compiling the best rates into one list. There are many metasearch engines, but our platform explicitly serves travelers by comparing flights, hotels, and car rental deals. To simplify your booking process, we show you an overview of available travel options and the latest existing prices. Our uncomplicated method saves you the trouble of scrubbing the Internet for deals and still gives you a choice to pick the option on the list that suits you. OUR VISION We think everybody should have the opportunity to travel the world. We imagine a planet where our differences don't divide us, where our dissimilarities are a source of inspiration and development, not xenophobia and prejudice. We hope to achieve our dream of a diversified world by making travel cheaper and encouraging each of us to stay curious and be progressive.   OUR MISSION Our mission at Airporia is to empower you to make confident decisions when purchasing flights, hotels, and car rentals. We see our site as more than just an excellent search tool; it takes you one step closer to where you need to be. ABOUT THE FOUNDER  Nasib Gul founded Airporia in 2021. His business is based in Michigan, where he resides with his family. Nasib enjoys traveling and staying active, and this website is his way to share that joy with everyone on earth. At Airporia, we’re excited to connect you with the best travel deals, and we take great pride in fueling your mission to see the world for less. TRAVEL BLOG Our travel blog is a fascinating section curated by Nasib! It features luxury hotels, things to do, destinations, tips, and news. Created to encourage travel to cities worldwide, it's a good read that may inspire your next trip.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,79151,False,False
Ethical Digital,2018-04-01,https://ethicaldigital.com,"Phoenix, Arizona, United States","Advertising, Design, Internet Services, Sales and Marketing","Advertising, Digital Marketing, Email Marketing, Graphic Design, Marketing, SEO, Social Media Advertising, Social Media Management, Social Media Marketing, Web Design",844054.0,"Ethical Digital helps businesses large and small find and retain customers online. As a full-service digital marketing solution, we build websites, manage advertising and social media campaigns, and much more. Our ethos is: No BS, no snake oil, none of the usual digital marketing tricks that are used to keep clients paying for campaigns that aren't working. We focus on the tools that work and the metrics that matter. The result is a more efficient, more innovative, and more ethical approach to digital marketing. Whether your business needs PPC, SEO, graphic design, blog content, animated videos, or any other digital service, we have the solution to meet your needs and budget.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2018,48425,False,False
Kollectiff,2021-01-01,https://kollectiff.com/,"Los Angeles, California, United States","Advertising, Blockchain and Cryptocurrency, Content and Publishing, Internet Services, Media and Entertainment, Other, Professional Services, Sales and Marketing, Software","Advertising, Blockchain, Consulting, Creative Agency, Metaverse, Non-Fungible Token (NFT), Software, Web3",854941.0,"Kollectiff is an award-winning Web 3.0 innovation lab and metaverse studio that specializes in serving agencies and brands seeking to develop cutting-edge Metaverse experiences, blockchain-based games, decentralized applications, non-fungible token collections, and web3 software solutions. From concept to implementation, Kollectiff has designed and executed some of the most successful Metaverse campaigns for clients such as Acura (Honda), Patron Tequila (Bacardi), and Pedigree (Mars).",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,48737,False,False
Gnymble,2020-01-01,https://gnymble.com,"Norfolk, Virginia, United States","Apps, Internet Services, Messaging and Telecommunications, Software","SMS, Software, Web Apps",797543.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,47188,False,False
CBidds,2019-12-01,http://www.cbidds.com,"Los Angeles, California, United States","Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Information Technology","Cannabis, E-Commerce, Information Technology, Marketplace, Wholesale",904816.0,"Cbidds’s mission is to lead the B2B cannabis marketplace industry safely, securely, accessibly, and recognizably to retailers, cultivators, and distributors with the ultimate goal to serve the entire legal cannabis industry.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2019,50000,False,False
Vastcart,2020-12-22,https://vastcart.com,"Houston, Texas, United States","Commerce and Shopping, Food and Beverage, Internet Services","E-Commerce, Grocery, Internet, Marketplace, Retail, Shopping",574565.0,Vastcart is Houston's marketplace to discover and support local individuals and small businesses. Vastcart was founded to give independent sellers across Houston and surrounding a platform to come together as one local “Everything Store”.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2020,40576,False,False
Steel Patriot Partners,2019-01-01,https://www.steelpatriotpartners.com,"Leesburg, Virginia, United States","Information Technology, Privacy and Security, Professional Services","Compliance, Cyber Security, Information Technology, Network Security",346756.0,"Steel Patriot Partners is your compliance and governance ally. The company provides expert analysis of an organization’s cybersecurity architecture, and then creates and implements a strategic plan to reach desired outcomes. We clearly communicate a customer’s compliance needs, providing valuable and understandable guidance to both technical and non-technical business leaders. Our goal is to improve your organization’s technological maturity by serving as an integrated and trusted partner. We help your organization meet compliance standards, create strong governance, and create a higher baseline of security to improve business success.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,31321,False,False
Oberon Americas,2019-01-01,https://oberonamericas.com,"Naples, Florida, United States","Information Technology, Internet Services, Software","Cloud Storage, Information Technology, Software",1243274.0,"Oberon Americas team is building the internet of printers with a comprehensive middleware platform that helps print dealers and original equipment manufacturer monitor and monetize their machines in the field. They specialize in researching, designing, and delivering cloud software platforms for printers of all brands and models.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,0.0,1.0,,6,5,2019,56747,False,False
CereBulb,2019-01-01,https://www.cerebulb.com ,"Jersey City, New Jersey, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Information Technology, Web Development",742423.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,5,2019,45674,False,False
Caloudi,2019-01-01,https://www.caloudi.com,"San Francisco, California, United States","Information Technology, Internet Services, Software","Cloud Computing, Information Technology, Software",2406800.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,79657,False,False
Glass Box Capital,2019-01-01,https://www.glassboxcapital.com/,"Irvine, California, United States","Financial Services, Lending and Investments","Commercial Lending, Financial Services, Lending",2281340.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,78526,False,False
Convene Capital,2021-01-01,https://www.convenecapital.com,"New York, New York, United States","Financial Services, Lending and Investments, Real Estate","Commercial Lending, Commercial Real Estate, Financial Services, Real Estate Investment",942754.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,50931,False,False
Avona Technologies,2020-01-01,https://avonatech.com,"Maryville, Tennessee, United States","Design, Hardware, Sales and Marketing","Digital Marketing, Telecommunications, Web Design",956923.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,51289,False,False
Krasan Consulting Services,2019-01-01,https://krasanconsulting.com,"Chicago, Illinois, United States","Information Technology, Professional Services","Information Technology, IT Management, Management Consulting",681557.0,"Krasan Consulting Services is an information technology solutions integrator and technology management consulting firm. They offer services such as application development and modernization, data engineering and analytics, enterprise resource planning, cyber security, application integration, IT consulting, and public sector services.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,43920,False,False
WETx,2019-01-01,https://www.wetx.io,"Salt Lake City, Utah, United States","Information Technology, Natural Resources, Science and Engineering, Sustainability","Environmental Engineering, Information Technology, Water",355229.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,31748,False,False
Wildfire Alliance,2021-01-01,http://www.wildfirealliance.com,"Portland, Oregon, United States","Consumer Electronics, Government and Military, Hardware, Privacy and Security","Consumer Electronics, Public Safety, Security",1089466.0,"Wildfire Alliance is an approach to protect property from wildfires. Wildfire Alliance was founded in 2021 and was headquartered in Portland, Oregon.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,53644,False,False
Circle City Gurus,2022-08-26,https://www.circlecitygurus.com/,"Indianapolis, Indiana, United States","Information Technology, Sales and Marketing, Software","Digital Marketing, Information Technology, Software",2284294.0,"Circle City Gurus provides premium and aggressive marketing strategies, designs websites, creates mobile applications, and enhances search engine optimization to help grow brands and their audience.",11-50,0.0,,,0.0,,0.0,0.0,11-50,Private,,,,,,6,1,2022,78481,False,False
Silicon FinTech Bay,2019-05-29,https://www.siliconfintechbay.com/,"Redwood City, California, United States","Financial Services, Real Estate","Coworking, Financial Services, FinTech, InsurTech",473952.0,"A world class FinTech ecosystem and a dedicated FinTech incubator located in the heart of downtown Redwood City, California. Silicon FinTech Bay delivers access to capital, events, and worldwide partners to our global partners and fintech startup network.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2019,36930,False,False
Anchor Advisors,2022-01-01,https://www.anchoradvisors.co,"Boston, Massachusetts, United States","Administrative Services, Information Technology, Other, Real Estate","Facilities Support Services, Facility Management, Technical Support",2584282.0,"Anchor Advisors offers master planning, site selection, due diligence, project management, programming and strategic planning, construction mitigation, relocation and implementation, and integrated facilities management services.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2022,83120,False,False
Creative Engaged,2020-01-01,https://creativeengaged.com,"Fort Lauderdale, Florida, United States","Advertising, Sales and Marketing","Advertising, Brand Marketing, Marketing",2497960.0,"Creative Engaged is a marketing agency. Their services include communication, implementation, analysis, and interpretation of market information to develop a brand, and they create brands, products, and advertising services for marketing and business needs.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,81321,False,False
Infinite Power,2018-11-27,https://infinitepower.me/,"Miami, Florida, United States","Apps, Mobile, Software","Mobile Apps, Software",2421262.0,"Infinite Power is a Mobile App that brings together 3 simple and powerful tools to improve your life and the lives of your loved ones by training you in the systematic and sustainable practice of world-renowned concepts to discover the infinite power of your mind and use this power to your advantage by improving any aspect of your life.  Whether you want to reduce stress, turn problems into opportunities, control addictions, become mindful to enjoy more of every moment, improve your relationships or your physical and mental health. Everything you long for can be achieved through the synergistic use of the three tools with which you will achieve the reprogramming of your subconscious mind, the focus of your conscious mind and the incorporation of good and better habits.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,81007,False,False
Swoops,2021-01-01,https://www.playswoops.com,"Remote, Oregon, United States","Blockchain and Cryptocurrency, Gaming, Information Technology, Other, Software, Sports","Basketball, Blockchain, Fantasy Sports, Information Technology, Simulation",59384.0,"Swoops develops and creates a basketball simulation game with the help of blockchain technology. It allows users to create, manage, and build teams and their skills, and compete with other teams while earning digitally.",1-10,1.0,Seed,2022-02-12,3500000.0,Seed,3500000.0,,1-10,Private,,,,,,0,3,2021,8060,False,False
